date,/m/03g3w_0,/m/03g3w,batch_id
2021-02-01,61.0,61.0,1
2021-02-02,68.0,68.0,1
2021-02-03,67.0,67.0,1
2021-02-04,62.0,62.0,1
2021-02-05,64.0,64.0,1
2021-02-06,67.0,67.0,1
2021-02-07,75.0,75.0,1
2021-02-08,68.0,68.0,1
2021-02-09,67.0,67.0,1
2021-02-10,68.0,68.0,1
2021-02-11,52.0,52.0,1
2021-02-12,46.0,46.0,1
2021-02-13,67.0,67.0,1
2021-02-14,47.0,47.0,1
2021-02-15,44.0,44.0,1
2021-02-16,44.0,44.0,1
2021-02-17,64.0,64.0,1
2021-02-18,59.0,59.0,1
2021-02-19,69.0,69.0,1
2021-02-20,58.0,58.0,1
2021-02-21,85.0,85.0,1
2021-02-22,47.0,47.0,1
2021-02-23,69.0,69.0,1
2021-02-24,58.0,58.0,1
2021-02-25,60.0,60.0,1
2021-02-26,38.0,38.0,1
2021-02-27,55.0,55.0,1
2021-02-28,72.0,72.0,1
2021-03-01,80.0,80.0,1
2021-03-02,36.0,36.0,1
2021-03-03,58.0,58.0,1
2021-03-04,82.0,82.0,1
2021-03-05,45.0,45.0,1
2021-03-06,68.0,68.0,1
2021-03-07,55.0,55.0,1
2021-03-08,78.0,78.0,1
2021-03-09,83.0,83.0,1
2021-03-10,50.0,50.0,1
2021-03-11,100.0,100.0,1
2021-03-12,47.0,47.0,1
2021-03-13,51.0,51.0,1
2021-03-14,96.0,96.0,1
2021-03-15,57.0,57.0,1
2021-03-16,73.0,73.0,1
2021-03-17,56.0,56.0,1
2021-03-18,70.0,70.0,1
2021-03-19,39.0,39.0,1
2021-03-20,46.0,46.0,1
2021-03-21,69.0,69.0,1
2021-03-22,63.0,63.0,1
2021-03-23,45.0,45.0,1
2021-03-24,64.0,64.0,1
2021-03-25,58.0,58.0,1
2021-03-26,64.0,64.0,1
2021-03-27,69.0,69.0,1
2021-03-28,74.0,74.0,1
2021-03-29,61.0,61.0,1
2021-03-30,52.0,52.0,1
2021-03-31,65.0,65.0,1
2021-04-01,55.0,55.0,1
2021-04-02,51.0,51.0,1
2021-04-03,61.0,61.0,1
2021-04-04,54.0,54.0,1
2021-04-05,45.0,45.0,1
2021-04-06,60.0,60.0,1
2021-04-07,53.0,53.0,1
2021-04-08,66.0,66.0,1
2021-04-09,50.0,50.0,1
2021-04-10,49.0,49.0,1
2021-04-11,75.0,75.0,1
2021-04-12,57.0,57.0,1
2021-04-13,51.0,51.0,1
2021-04-14,48.0,48.0,1
2021-04-15,62.0,62.0,1
2021-04-16,86.0,86.0,1
2021-04-17,61.0,61.0,1
2021-04-18,81.0,81.0,1
2021-04-19,68.0,68.0,1
2021-04-20,57.0,57.0,1
2021-04-21,53.0,53.0,1
2021-04-22,45.0,45.0,1
2021-04-23,75.0,75.0,1
2021-04-24,75.0,75.0,1
2021-04-25,95.0,95.0,1
2021-04-26,65.0,65.0,1
2021-04-27,58.0,58.0,1
2021-04-28,67.0,67.0,1
2021-04-29,73.0,73.0,1
2021-04-30,50.0,50.0,1
2021-05-01,43.0,43.0,1
2021-05-02,86.0,86.0,1
2021-05-03,53.0,53.0,1
2021-05-04,65.0,65.0,1
2021-05-05,74.0,74.0,1
2021-05-06,49.0,49.0,1
2021-05-07,44.0,44.0,1
2021-05-08,70.0,70.0,1
2021-05-09,88.0,88.0,1
2021-05-10,53.0,53.0,1
2021-05-11,44.0,44.0,1
2021-05-12,48.0,48.0,1
2021-05-13,71.0,71.0,1
2021-05-14,49.0,49.0,1
