date,/m/0h6zk_0,/m/0h6zk,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,48.0,48.0,1
2021-02-03,74.0,74.0,1
2021-02-04,66.0,66.0,1
2021-02-05,50.0,50.0,1
2021-02-06,49.0,49.0,1
2021-02-07,65.0,65.0,1
2021-02-08,63.0,63.0,1
2021-02-09,79.0,79.0,1
2021-02-10,52.0,52.0,1
2021-02-11,61.0,61.0,1
2021-02-12,46.0,46.0,1
2021-02-13,39.0,39.0,1
2021-02-14,43.0,43.0,1
2021-02-15,52.0,52.0,1
2021-02-16,31.0,31.0,1
2021-02-17,42.0,42.0,1
2021-02-18,42.0,42.0,1
2021-02-19,69.0,69.0,1
2021-02-20,50.0,50.0,1
2021-02-21,28.0,28.0,1
2021-02-22,54.0,54.0,1
2021-02-23,23.0,23.0,1
2021-02-24,51.0,51.0,1
2021-02-25,51.0,51.0,1
2021-02-26,35.0,35.0,1
2021-02-27,48.0,48.0,1
2021-02-28,55.0,55.0,1
2021-03-01,75.0,75.0,1
2021-03-02,58.0,58.0,1
2021-03-03,59.0,59.0,1
2021-03-04,48.0,48.0,1
2021-03-05,28.0,28.0,1
2021-03-06,26.0,26.0,1
2021-03-07,46.0,46.0,1
2021-03-08,61.0,61.0,1
2021-03-09,52.0,52.0,1
2021-03-10,64.0,64.0,1
2021-03-11,68.0,68.0,1
2021-03-12,70.0,70.0,1
2021-03-13,37.0,37.0,1
2021-03-14,44.0,44.0,1
2021-03-15,71.0,71.0,1
2021-03-16,55.0,55.0,1
2021-03-17,86.0,86.0,1
2021-03-18,76.0,76.0,1
2021-03-19,96.0,96.0,1
2021-03-20,58.0,58.0,1
2021-03-21,66.0,66.0,1
2021-03-22,64.0,64.0,1
2021-03-23,68.0,68.0,1
2021-03-24,53.0,53.0,1
2021-03-25,51.0,51.0,1
2021-03-26,60.0,60.0,1
2021-03-27,38.0,38.0,1
2021-03-28,45.0,45.0,1
2021-03-29,55.0,55.0,1
2021-03-30,25.0,25.0,1
2021-03-31,46.0,46.0,1
2021-04-01,44.0,44.0,1
2021-04-02,57.0,57.0,1
2021-04-03,79.0,79.0,1
2021-04-04,54.0,54.0,1
2021-04-05,39.0,39.0,1
2021-04-06,33.0,33.0,1
2021-04-07,56.0,56.0,1
2021-04-08,65.0,65.0,1
2021-04-09,47.0,47.0,1
2021-04-10,27.0,27.0,1
2021-04-11,53.0,53.0,1
2021-04-12,22.0,22.0,1
2021-04-13,43.0,43.0,1
2021-04-14,83.0,83.0,1
2021-04-15,54.0,54.0,1
2021-04-16,61.0,61.0,1
2021-04-17,53.0,53.0,1
2021-04-18,53.0,53.0,1
2021-04-19,67.0,67.0,1
2021-04-20,69.0,69.0,1
2021-04-21,86.0,86.0,1
2021-04-22,79.0,79.0,1
2021-04-23,41.0,41.0,1
2021-04-24,55.0,55.0,1
2021-04-25,57.0,57.0,1
2021-04-26,57.0,57.0,1
2021-04-27,47.0,47.0,1
2021-04-28,70.0,70.0,1
2021-04-29,71.0,71.0,1
2021-04-30,42.0,42.0,1
2021-05-01,38.0,38.0,1
2021-05-02,42.0,42.0,1
2021-05-03,74.0,74.0,1
2021-05-04,56.0,56.0,1
2021-05-05,54.0,54.0,1
2021-05-06,71.0,71.0,1
2021-05-07,62.0,62.0,1
2021-05-08,38.0,38.0,1
2021-05-09,54.0,54.0,1
2021-05-10,41.0,41.0,1
2021-05-11,51.0,51.0,1
2021-05-12,50.0,50.0,1
2021-05-13,32.0,32.0,1
2021-05-14,49.0,49.0,1
