name,MAE(t+1),MSE(t+1),MAE(t+2),MSE(t+2),MAE(t+3),MSE(t+3),MAE(t+4),MSE(t+4),MAE(t+5),MSE(t+5),MAE(t+6),MSE(t+6),MAE(t+7),MSE(t+7),MAE(t+8),MSE(t+8),MAE(t+9),MSE(t+9),MAE(t+10),MSE(t+10),MAE(t+11),MSE(t+11),MAE(t+12),MSE(t+12),MAE(t+13),MSE(t+13),MAE(t+14),MSE(t+14),MAE(t+15),MSE(t+15),MAE(t+16),MSE(t+16),MAE(t+17),MSE(t+17),MAE(t+18),MSE(t+18),MAE(t+19),MSE(t+19),MAE(t+20),MSE(t+20),nb_test_datapoints,days_train,days_valid,days_test
walk 1 model 1,4.178632531396456,42.55607550091,5.0205009746239915,70.95404347837832,6.685854219628971,128.61528198526756,8.002402909753137,188.81858411772373,9.485922963859412,266.7794869264287,10.551258947072064,303.9068518185707,12.324672871295137,433.4644721440775,12.136042157241278,417.9100463485168,12.671197242192212,450.94939993834925,13.40616275096277,538.4703867479877,13.225831692462956,487.9229779180079,13.342704970898648,491.3672524563527,13.561965223373155,486.99105276288736,14.254182347045216,564.2973037956053,13.644180949348101,492.34451530730297,13.529802692313458,481.46482185825414,13.6128606312404,482.54405041451633,14.040560176678577,543.402656191975,13.263408064741956,454.44442394672745,13.509071217451579,513.005148520881,690.0,220.0,30.0,30.0
walk 1 model 2,16.425894540068583,718.443461697001,16.50224910731857,793.410131275297,16.887558782848043,884.2668992730501,17.37664296855999,988.5229640120161,18.05158966749118,1123.0757654042734,19.02064487006878,1291.3567760939245,20.185851530999322,1499.515630482205,21.367723563053367,1703.714666928267,22.76859508820426,1948.2549219595805,24.23946579694208,2211.4350494854225,25.711839033944013,2494.4644215649323,27.10015258768653,2785.0018727910933,28.321435254814947,3086.826858666834,29.490699969615093,3407.7602322604957,30.670143104787734,3739.7726380595186,31.69647995125983,4077.868781151354,32.6963175196544,4440.7790443462145,33.6158107484614,4795.408790300547,34.495380273164024,5141.379698092955,35.42143926208542,5482.115930200189,690.0,220.0,30.0,30.0
walk 1 model assembled,4.96115238389355,61.83428104231559,5.624048793496464,96.31533774800103,6.984044662756103,154.07393710843868,7.978768403289216,218.8524064753662,9.413134908647997,305.550552936905,10.509186239185405,355.12308778110423,12.174860692585419,496.40579849213606,12.258326276624674,500.8303275693634,12.762850812460462,556.946696056402,13.601418634183318,666.2377363364791,13.75735518021361,644.6211188586301,14.021379309105269,674.5937394927953,14.413601538414953,691.7150891358086,15.350980131516685,793.2560031656149,15.1930787636696,749.1317578892377,15.202467468238973,759.5696774436802,15.340840434222544,784.4136981452912,15.774858653797308,876.4581524330389,15.022880628368169,794.3137704897215,15.543498575232164,887.3789517805457,690.0,220.0,30.0,30.0
walk 2 model 1,8.53658289579678,241.91380499558053,9.087588131824537,259.36466267105817,9.23126065614912,253.83351330949736,10.294341134809832,315.55337787664433,11.169256111526833,361.4097351466396,11.775922755447768,372.6321222643359,12.824049538911522,457.09006428633944,13.123563803884073,456.59457187198313,13.378648788618461,479.7092856297742,13.755630094332675,515.01774328175,14.51253649525721,597.8371279514943,14.5766062859627,590.8839518036046,15.16190789865317,678.0562963717945,15.279604979222693,700.313180049854,15.434268468127083,727.4592345601899,14.968704167027392,683.8832116741927,15.317065761143473,754.9266356441074,14.957727040643627,716.681532953593,14.829980632887988,714.257665107864,14.926538725897636,757.9991822157218,690.0,250.0,30.0,30.0
walk 2 model 2,14.993325391661648,592.1569873296066,16.178334514821405,736.9039945487883,16.917708042368094,836.8278549297713,17.53957179639079,918.0342958286894,18.234959445508164,1001.5260110462361,18.85741337210433,1083.733498151821,19.459526292452548,1167.7908500019753,20.03788149253027,1248.7489784263173,20.625039543190244,1328.6538491608176,21.138166535084704,1401.5828570434903,21.574087393965655,1469.1402893272239,21.96288427911066,1528.7749789368543,22.359080320443606,1581.7742626660088,22.686923628634396,1624.0524353013047,22.887550865829866,1649.4044465912611,22.973505645372768,1663.7465910271944,22.94010601984337,1666.0848318773092,22.83385857891592,1657.9195819301467,22.704570503360113,1643.549541472889,22.62180936887675,1628.7358236408513,690.0,250.0,30.0,30.0
walk 2 model assembled,9.009887031793566,242.4586550795193,9.509761331350049,264.98054891983,9.75221088660715,266.7851805737043,10.629961488671855,314.35858960022756,11.407587242521469,352.9584680096838,11.975327308027861,371.5695831014026,12.828814112083634,437.81178825876356,13.067740457540069,444.3948920346947,13.379406885305263,467.1852925662211,13.74819087204165,497.1324921491386,14.3000826272666,558.1468988743601,14.55547670108684,560.199078720677,14.954338439349533,625.3772425228477,14.934934190413896,646.6630968393363,15.029207254367762,667.6821405412595,14.720192734172125,642.4116319115254,14.935643912729025,691.8197329576503,14.782027771278415,666.397215238883,14.758675601015126,665.0963794463677,14.815965041095733,693.5306203753496,690.0,250.0,30.0,30.0
walk 3 model 1,3.1959956333445145,19.190916125930183,4.427743918914157,41.48528630113911,6.299701976171455,91.70931782186808,7.041495598790935,109.8454789528188,8.441828158372296,176.2117374642241,9.41038165107587,235.30797703174326,10.243284867602505,297.99522598563135,10.595436576383651,317.9684560849887,10.900182293730316,362.82784338301974,11.759347878519344,451.9968771375254,12.136674950827654,498.7253483996498,12.032682377891328,496.3903052138113,12.02130582750453,518.0510186170354,12.362908703037853,552.1216564544392,12.46196483521961,566.6054120237773,13.340503293840017,658.1175541765509,13.560736207514761,674.0571101178261,13.091590057216928,616.8952722125773,13.366033745171476,638.1051586549424,13.95177115607412,718.5281868521242,690.0,280.0,30.0,30.0
walk 3 model 2,18.692038015348047,840.9625417018472,19.414105301837782,933.4962376313085,19.7645630429219,989.7748733004844,19.87813167826387,1012.1974488601927,19.986434653942396,1040.603258791962,20.2061528428359,1074.7742723400534,20.48422821634379,1110.4608526849136,20.773394597803485,1140.0117469350628,20.977813295558004,1163.6528104830197,21.169077616680088,1177.3506284463567,21.417291829929276,1190.4115261563522,21.648581253819813,1203.145078199717,21.798459757392045,1216.0479722778089,21.948954278393973,1228.4796195309082,22.112559399187873,1251.1490074267092,22.288296426162034,1279.6047667742923,22.438745800580843,1316.9039377747122,22.52862827918416,1357.406304174315,22.566565562368538,1398.5144759736027,22.63445272888932,1434.2581441756402,690.0,280.0,30.0,30.0
walk 3 model assembled,3.661037484359759,27.193291463442932,5.955941235377433,77.68203248599835,7.150552497619931,117.51129125364224,8.112886280795532,144.49011182496886,9.055290449707053,195.17542767377137,9.937767215633068,251.3360341450226,10.642252964697287,309.40080869166735,11.160053557653265,340.02347543934053,11.497616162094031,380.9094106880399,12.002645403934252,445.53343922073856,12.357371260494704,483.716966060435,12.447195016357108,492.47465005656653,12.460192653211406,512.9548202598738,12.74392426617241,539.988341312773,12.9609297947208,556.1675710920348,13.529558198043762,620.9462903014035,13.724462456195052,639.5579566644225,13.621755318395405,612.7260518183728,13.807048698331124,635.5257667952295,14.280604708050056,693.3088273717708,690.0,280.0,30.0,30.0
walk 4 model 1,2.9678247730793372,19.213439594340677,3.796002352934942,31.6491452213977,4.790391805664853,46.35278938284566,5.710713639545905,64.990996491488,6.8657438220162605,102.08836967108421,7.668824081989803,123.06847829300878,8.404002310536942,156.0255897052197,8.664812011851096,169.26960123363912,8.798690228052365,177.26816466758206,9.166992297972218,187.92635750223127,9.189066559333915,194.99907872127778,9.342383613337821,205.63243920981262,9.523938606097891,212.50066310214174,9.533534769611299,218.59014796024522,9.637722889449275,230.182496410667,9.740417544492074,242.09956290029257,9.865218400963686,257.20489289868914,9.888707395387321,264.6636161190736,10.032836554444533,281.4693904404813,10.152289187887918,296.0858101529623,690.0,310.0,30.0,30.0
walk 4 model 2,16.438128726298615,716.7085658397352,17.182961457534105,756.1760503358796,16.99746953360274,717.3559496317187,16.847345469458617,691.6258894945905,16.948373342765986,684.1200755915529,17.15354665714244,687.2224584528367,17.441859694614955,697.7712627993552,17.65604868899679,705.6755697967321,17.75369204112733,712.2739035880851,17.81383528955837,717.0765779358734,17.72232827026934,716.372441544767,17.560686680612864,716.2720325650503,17.35979059346592,712.4497971268347,17.20232649365938,708.3656323108407,17.136010730876656,706.310649177664,16.994603092018153,696.7533019359256,16.807691795235478,682.9496798077024,16.641475115789447,667.9497097862236,16.435740829555147,651.8898540234236,16.19752631110852,636.1437557888574,690.0,310.0,30.0,30.0
walk 4 model assembled,3.2932630558658227,21.257853906533686,4.812493886345104,46.42427557663209,5.712317544089218,66.3681204092081,6.362426501176249,80.0305071221024,7.284547303265295,102.41040112672896,7.9266196790488745,127.18068058487268,8.50865273556111,146.06571408698812,8.705156185853204,156.92375642220074,8.869885002109797,165.45990877403105,9.130308838158582,183.1625029346479,9.202368710082855,191.5109047176717,9.45760359406861,196.67560503624694,9.660157072071307,206.43712241972878,9.792509397732474,216.83063933197747,9.958104649811775,231.92241530439452,10.10006857821725,245.38322396944926,10.256701695144377,266.1346048030261,10.331256344386253,274.1509171674319,10.44288309718141,289.0959251460947,10.493105226964163,301.7164579914674,690.0,310.0,30.0,30.0
