LOC,DATE,TOT_HOSP,NEW_HOSP
BE,2020-02-01,0.0,0.0
BE,2020-02-02,0.0,0.0
BE,2020-02-03,0.0,0.0
BE,2020-02-04,0.0,0.0
BE,2020-02-05,0.0,0.0
BE,2020-02-06,0.0,0.0
BE,2020-02-07,0.0,0.0
BE,2020-02-08,0.0,0.0
BE,2020-02-09,0.0,0.0
BE,2020-02-10,0.0,0.0
BE,2020-02-11,0.0,0.0
BE,2020-02-12,0.0,0.0
BE,2020-02-13,0.0,0.0
BE,2020-02-14,0.0,0.0
BE,2020-02-15,0.0,0.0
BE,2020-02-16,0.0,0.0
BE,2020-02-17,0.0,0.0
BE,2020-02-18,0.0,0.0
BE,2020-02-19,0.0,0.0
BE,2020-02-20,0.0,0.0
BE,2020-02-21,0.0,0.0
BE,2020-02-22,0.0,0.0
BE,2020-02-23,0.0,0.0
BE,2020-02-24,0.0,0.0
BE,2020-02-25,0.0,0.0
BE,2020-02-26,0.0,0.0
BE,2020-02-27,0.0,0.0
BE,2020-02-28,0.0,0.0
BE,2020-02-29,0.0,0.0
BE,2020-03-01,0.0,0.0
BE,2020-03-02,0.0,0.0
BE,2020-03-03,0.0,0.0
BE,2020-03-04,0.0,0.0
BE,2020-03-05,0.0,0.0
BE,2020-03-06,0.0,0.0
BE,2020-03-07,0.0,0.0
BE,2020-03-08,0.0,0.0
BE,2020-03-09,0.0,0.0
BE,2020-03-10,0.0,0.0
BE,2020-03-11,0.0,0.0
BE,2020-03-12,37.57142857142857,37.57142857142857
BE,2020-03-13,90.42857142857143,52.857142857142854
BE,2020-03-14,160.85714285714286,70.42857142857143
BE,2020-03-15,253.14285714285714,92.28571428571429
BE,2020-03-16,373.14285714285717,120.0
BE,2020-03-17,531.4285714285714,158.28571428571428
BE,2020-03-18,729.1428571428571,197.71428571428572
BE,2020-03-19,928.8571428571429,199.71428571428572
BE,2020-03-20,1145.0,216.14285714285714
BE,2020-03-21,1389.4285714285713,244.42857142857142
BE,2020-03-22,1685.857142857143,296.42857142857144
BE,2020-03-23,2010.2857142857142,324.42857142857144
BE,2020-03-24,2373.285714285714,363.0
BE,2020-03-25,2759.5714285714284,386.2857142857143
BE,2020-03-26,3170.285714285714,410.7142857142857
BE,2020-03-27,3600.8571428571427,430.57142857142856
BE,2020-03-28,3998.5714285714284,397.7142857142857
BE,2020-03-29,4355.428571428572,356.85714285714283
BE,2020-03-30,4682.142857142857,326.7142857142857
BE,2020-03-31,4955.428571428572,273.2857142857143
BE,2020-04-01,5161.571428571428,206.14285714285714
BE,2020-04-02,5316.428571428572,154.85714285714286
BE,2020-04-03,5439.571428571428,123.14285714285714
BE,2020-04-04,5542.714285714285,103.14285714285714
BE,2020-04-05,5600.0,57.285714285714285
BE,2020-04-06,5634.571428571428,34.57142857142857
BE,2020-04-07,5649.0,14.428571428571429
BE,2020-04-08,5650.0,1.0
BE,2020-04-09,5638.857142857143,-11.142857142857142
BE,2020-04-10,5609.571428571428,-29.285714285714285
BE,2020-04-11,5584.142857142857,-25.428571428571427
BE,2020-04-12,5542.857142857143,-41.285714285714285
BE,2020-04-13,5477.285714285715,-65.57142857142857
BE,2020-04-14,5395.142857142857,-82.14285714285714
BE,2020-04-15,5302.428571428572,-92.71428571428571
BE,2020-04-16,5216.428571428572,-86.0
BE,2020-04-17,5136.714285714285,-79.71428571428571
BE,2020-04-18,5027.142857142857,-109.57142857142857
BE,2020-04-19,4912.285714285715,-114.85714285714286
BE,2020-04-20,4794.0,-118.28571428571429
BE,2020-04-21,4666.428571428572,-127.57142857142857
BE,2020-04-22,4533.285714285715,-133.14285714285714
BE,2020-04-23,4394.428571428572,-138.85714285714286
BE,2020-04-24,4248.714285714285,-145.71428571428572
BE,2020-04-25,4101.285714285715,-147.42857142857142
BE,2020-04-26,3970.1428571428573,-131.14285714285714
BE,2020-04-27,3832.0,-138.14285714285714
BE,2020-04-28,3676.8571428571427,-155.14285714285714
BE,2020-04-29,3551.5714285714284,-125.28571428571429
BE,2020-04-30,3419.5714285714284,-132.0
BE,2020-05-01,3291.5714285714284,-128.0
BE,2020-05-02,3168.0,-123.57142857142857
BE,2020-05-03,3038.0,-130.0
BE,2020-05-04,2919.285714285714,-118.71428571428571
BE,2020-05-05,2815.285714285714,-104.0
BE,2020-05-06,2692.714285714286,-122.57142857142857
