LOC,DATE,TOT_HOSP(t+1),TOT_HOSP(t+2),TOT_HOSP(t+3),TOT_HOSP(t+4),TOT_HOSP(t+5),TOT_HOSP(t+6),TOT_HOSP(t+7),TOT_HOSP(t+8),TOT_HOSP(t+9),TOT_HOSP(t+10),TOT_HOSP(t+11),TOT_HOSP(t+12),TOT_HOSP(t+13),TOT_HOSP(t+14),TOT_HOSP(t+15),TOT_HOSP(t+16),TOT_HOSP(t+17),TOT_HOSP(t+18),TOT_HOSP(t+19),TOT_HOSP(t+20)
BE,2021-03-09,1938.142857142857,1948.857142857143,1965.7142857142858,1983.142857142857,2008.857142857143,2042.142857142857,2076.1428571428573,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573
BE,2021-03-10,1948.857142857143,1965.7142857142858,1983.142857142857,2008.857142857143,2042.142857142857,2076.1428571428573,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427
BE,2021-03-11,1965.7142857142858,1983.142857142857,2008.857142857143,2042.142857142857,2076.1428571428573,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427
BE,2021-03-12,1983.142857142857,2008.857142857143,2042.142857142857,2076.1428571428573,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286
BE,2021-03-13,2008.857142857143,2042.142857142857,2076.1428571428573,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714
BE,2021-03-14,2042.142857142857,2076.1428571428573,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0
BE,2021-03-15,2076.1428571428573,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714
BE,2021-03-16,2112.5714285714284,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284
BE,2021-03-17,2146.285714285714,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284
BE,2021-03-18,2183.4285714285716,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716
