name,MAE(t+1),MSE(t+1),MAE(t+2),MSE(t+2),MAE(t+3),MSE(t+3),MAE(t+4),MSE(t+4),MAE(t+5),MSE(t+5),MAE(t+6),MSE(t+6),MAE(t+7),MSE(t+7),MAE(t+8),MSE(t+8),MAE(t+9),MSE(t+9),MAE(t+10),MSE(t+10),MAE(t+11),MSE(t+11),MAE(t+12),MSE(t+12),MAE(t+13),MSE(t+13),MAE(t+14),MSE(t+14),MAE(t+15),MSE(t+15),MAE(t+16),MSE(t+16),MAE(t+17),MSE(t+17),MAE(t+18),MSE(t+18),MAE(t+19),MSE(t+19),MAE(t+20),MSE(t+20),nb_test_datapoints,days_train,days_valid,days_test
walk 1 model 1,6.460961892692794,95.52438531287675,8.31596143884935,150.20281362427843,9.096450707071124,186.11573733440025,9.886507741600953,215.42345723997903,9.295705323239043,199.4051394555459,13.165012726872604,373.149384987586,13.669938190600796,393.79655346141453,15.135327766413015,453.85189319521845,17.005025954680285,593.5050280084054,15.928733745071543,539.4065548048338,17.264852545775984,626.0296081406266,19.232410588866692,762.8345917429859,18.534898729150346,702.0605484284476,19.018455256867245,753.4213509842091,22.719178623945986,1053.9117991076891,22.036013171834185,999.043474346537,23.724990182365335,1175.4693949394027,24.888781794698204,1261.2337748651196,24.727078703530236,1217.9048482790558,24.58691456784452,1191.5303005382912,690.0,250.0,10.0,30.0
walk 1 model 2,45.62130567195742,3817.507548842048,46.74236564411015,4143.866539175314,48.08505254652867,4510.750402289935,48.328916887036094,4589.928370163153,47.56726374256947,4417.93572760811,46.27823429209563,4133.098660440474,44.89217676851228,3836.8114372543355,43.55407542581389,3566.1048799181544,42.40139864095435,3342.140098989464,41.40027181810966,3162.695678847549,40.621181900018726,3033.5335415907257,40.09421291069953,2948.7554261561327,39.743524886229245,2895.891926450879,39.56111784848282,2871.0384093732055,39.52111235611352,2866.01827573019,39.55908958124725,2872.4720260159434,39.72538114155653,2892.865463154839,40.01959942746964,2934.442641151561,40.35271727935522,2984.182528473016,40.68693728055964,3035.7711834511233,690.0,250.0,10.0,30.0
walk 1 model assembled,8.06882831603598,141.33153330108058,9.926434884585946,198.91603955579728,13.925792341782671,393.2760504350526,14.943101486051532,454.11185959149094,13.766290292409138,389.4637434861177,14.435252584976679,393.9481978587547,16.848356524338133,540.9062967768696,18.058787261156304,617.1392383764132,18.779235914392753,679.1223761456904,18.413516305260536,635.9196309997317,18.070765241398053,644.5538219151729,20.41652093944498,814.5919083556194,20.484464692165524,791.5334003411328,20.75957087769519,807.8907068251666,23.328088356039302,1062.2152088463429,22.477042064474862,992.7651694620873,23.990605273688573,1135.9111607636378,25.822409758687535,1254.9029962814968,25.812724806198684,1239.27887764044,25.077040458752894,1174.5338217303863,690.0,250.0,10.0,30.0
walk 2 model 1,3.688638962499847,26.512862748143515,7.6726069311054035,114.32966509403602,5.887906745703998,67.97437906977873,7.0426920428779525,96.8926302263668,8.083024510167386,130.52505808396197,9.371949336457197,165.66662336315787,9.637973344989316,169.40176836136058,10.655220155698663,194.84729998148944,11.782830415484087,266.5250144468476,13.620936813944372,339.7415395272361,14.050811397091461,376.06828139182886,14.521407090321844,381.5144255224456,17.393554408752653,622.5838339484303,16.472696402650456,475.52888169959044,19.038344370701783,666.9952477499246,19.28056314003424,646.9214730405442,18.886675043135693,602.8007340894715,19.952712172684762,695.5504924364666,20.16904268753453,713.2723698453951,20.84039734949975,763.1763271498476,690.0,280.0,10.0,30.0
walk 2 model 2,40.37242913421392,2877.5110799881204,44.11847357589514,3583.9131895162077,46.830482246429035,4168.770237935032,47.80845933808305,4394.035475720527,47.49288274312612,4321.791326241547,46.404748037833826,4072.287095321109,45.089262652668616,3773.918102707212,43.86021718356917,3506.028992368975,42.89059771437575,3296.5343647402196,42.23000770330921,3153.2647609271526,41.861679623043074,3064.2472639764733,41.73858359615255,3016.2158859352394,41.83341867109264,3008.921147350063,42.05947291895469,3033.2837613717675,42.440931219738694,3087.0167811125343,42.89759565604151,3157.0757414709756,43.35789679261714,3235.6228388344725,43.73289947258017,3309.8064019929943,44.06622825957231,3389.884546757076,44.403077082604334,3469.118413001967,690.0,280.0,10.0,30.0
walk 2 model assembled,4.315541390146039,36.10564764403233,10.581553269587221,210.75384354972496,6.873376900545368,88.27695334504138,7.3221404371918055,97.99569111756931,11.113426957638856,225.6482855302878,11.238477925731031,231.57336583706538,13.319789531950383,313.5754964097673,13.367372974488068,309.7611800176115,12.262459140343447,276.56766579381775,14.311797651296821,368.5284332976315,14.457694740522484,379.02985244402066,15.304939770890023,415.1456661335909,18.369640461270603,625.1902655636625,17.87352114960273,565.668901340684,20.205532768745105,742.8236425176954,20.889199994297744,769.2101552680526,19.558141599191398,655.5958372257437,21.89769853352266,838.6197223552276,20.704812953832473,756.3276168378275,22.435757942007186,887.5013419663054,690.0,280.0,10.0,30.0
walk 3 model 1,4.566285574510234,38.648573145794124,4.3577614653925,39.80270541444467,5.735935815668995,68.94085311091462,6.525444217745073,90.97470982978362,9.110997778979401,182.87014639259607,7.705299204773049,129.0244816172289,8.664182528402995,168.45718828372864,8.581520279297914,165.26876082953095,9.937059601592228,228.65213297301986,10.639668832062194,262.75714869093514,10.235443899893124,240.33716599820877,10.479304473938162,267.72525117463135,11.003181444586673,289.7551809809906,10.84926811878725,298.68531148476166,12.166181920922313,347.12092517477,11.513547765344812,322.9367043014229,11.78900438638454,340.1681905989206,12.681672110320621,384.0707137058743,13.081038907102421,415.09834658322507,12.598714503590365,385.2070057399459,690.0,310.0,10.0,30.0
walk 3 model 2,32.50834412861067,2027.9538243424684,29.667878972422752,1742.3193966728588,29.98482064529482,1787.9504213885687,30.590885044871904,1875.22574751439,30.492624221726725,1882.0531715187585,29.646828648170324,1800.8096477649644,28.34468967174149,1674.8100299989098,26.984772208314503,1540.6846725212035,25.977816405306204,1430.8181485609202,25.1987075813562,1349.1270626533853,24.520213527758433,1289.5721399878792,24.02584449716729,1249.795345613058,23.680803747650977,1220.5549302811005,23.397316968021414,1194.1954641618954,23.160451163909933,1174.4862016164539,22.967394275941697,1161.5026438959042,22.808861688748145,1150.8671132725501,22.665647527248456,1144.3610975203726,22.506417447933245,1136.3140684250216,22.388772945818687,1135.6983739113891,690.0,310.0,10.0,30.0
walk 3 model assembled,4.8454395399824195,44.77377086551869,5.138908517829629,53.055610280381835,5.8733483766176695,70.90831574360917,6.694500400018005,90.66532737623436,10.595315290287177,242.86688298924327,9.53101806872627,192.89894632658465,9.85687215451622,206.02472792886113,8.840157167561063,167.2720155790169,10.56407294293122,252.29848413301207,11.778057040042766,315.1212868739309,11.438201300549956,294.66718548682564,10.831719707850349,276.4342047656352,11.314067166537711,309.3855497050023,11.809958116164117,343.6760337560563,12.937251600222057,390.6120862376792,11.837923266033702,343.0391673317701,12.091762170929831,359.4138340865464,13.238389404516038,429.3595401998858,13.562891091520498,440.6367187301969,13.200397258663765,428.7261118357785,690.0,310.0,10.0,30.0
walk 4 model 1,3.24693082266219,24.79875579462567,4.121118499440437,36.45474216091292,5.0411605949480816,55.06943969614133,7.888283613293313,158.37383569525758,8.309446616264115,196.12466598795916,8.785420627981491,203.87847925944922,9.610052346566201,276.71061552120426,9.310826035278925,255.74993913917262,11.789824950223016,381.60736631439124,11.37981761471826,377.6175004453872,14.23414458838557,569.0140403020184,14.142010161268297,584.1789376627399,14.658840983609364,607.6129492915396,17.382355959241444,853.089541349879,17.403731004187296,845.9938710102339,18.164682499092567,893.521008554135,18.2101104491616,880.6050605585431,20.465456862416794,1098.9285197091858,19.997773183820545,1016.5216049451426,21.80074807417814,1172.083273613819,690.0,340.0,10.0,30.0
