name,MAE(t+1),MSE(t+1),MAE(t+2),MSE(t+2),MAE(t+3),MSE(t+3),MAE(t+4),MSE(t+4),MAE(t+5),MSE(t+5),MAE(t+6),MSE(t+6),MAE(t+7),MSE(t+7),MAE(t+8),MSE(t+8),MAE(t+9),MSE(t+9),MAE(t+10),MSE(t+10),MAE(t+11),MSE(t+11),MAE(t+12),MSE(t+12),MAE(t+13),MSE(t+13),MAE(t+14),MSE(t+14),MAE(t+15),MSE(t+15),MAE(t+16),MSE(t+16),MAE(t+17),MSE(t+17),MAE(t+18),MSE(t+18),MAE(t+19),MSE(t+19),MAE(t+20),MSE(t+20),nb_test_datapoints,days_train,days_valid,days_test
walk 1 model 1,317.0910328519515,301121.42875767546,162.11759666063776,66691.31580297471,418.4295795732892,551104.2474026884,347.46558510205773,405714.6185955366,1727.9799449833781,7298209.173630001,2796.6604365575886,16582655.380463595,345.5399578872427,263252.90128866787,2150.060343858074,10244128.876915451,357.57102214031346,430425.5842374838,282.3379767131607,258254.59728293578,1688.8598855774928,5687768.174579124,663.2602910991534,869210.6473301507,4303.116664576875,41282087.389537215,1298.962486371478,3467880.332343266,1138.3295282653366,2596740.750175536,182.30694886636059,105963.76909519325,133.9701405728582,36260.5598656976,398.91897755103554,562620.4453694816,948.3119766112314,1775737.1487406865,1665.7514096197365,5535534.189866311,690.0,250.0,10.0,30.0
walk 1 model 2,1186.0344333587477,2975489.957815065,1130.8610239796021,2675736.556477643,1080.1506227574246,2416015.639561303,1034.9791999025135,2196029.693545033,995.5778195888614,2012208.1785699467,961.6813038279066,1859511.918288013,932.681066738153,1732589.2199007324,908.089618528063,1627316.1463409683,887.3054818502878,1539856.4106375093,869.7366588083124,1466940.2390738702,854.9239976950074,1406118.739826048,842.4247059958326,1355150.0379800338,831.8695911210025,1312166.557719508,822.9488062982978,1275781.8873962518,815.3490267972774,1244589.0512219784,808.8753858846666,1217722.3149681306,803.3297013711245,1194363.2691151951,798.5625287654244,1173939.1314705051,794.3867686723831,1155777.4592412994,790.6878087231343,1139500.6657690962,690.0,250.0,10.0,30.0
walk 1 model assembled,375.49665391499434,380489.28176608635,202.6126526895764,117534.5830476214,413.27430327595096,534976.9466179641,201.19123645411278,130824.16443858885,1183.868074520576,3584236.5806762287,2772.4633558127207,16292551.14336884,436.94940547429763,405315.81847661646,1901.6450288202375,7880521.480321707,280.9197236529045,227662.6152453495,278.798007112112,249520.694077454,1522.0245023644084,4596941.85095021,673.0919252916891,891663.9015558695,4254.958858423647,40340846.8857844,1203.6913367617917,2938847.608109046,1133.9510286873272,2574960.6513172705,195.58349997242038,85233.99456527509,189.00869715870272,72446.09729179791,283.7901567391973,277283.9904216988,946.1503592218183,1765860.576728835,1653.5962759869174,5451334.644861207,690.0,250.0,10.0,30.0
walk 2 model 1,703.8527831778085,969646.5777001184,171.56456405963476,106624.67290041644,1999.6657175674181,7670301.028241954,2896.4935271624463,16643492.669028021,144.9554095716457,47685.99901269904,525.34459639958,498425.6194207363,2928.2047765810803,16569689.072457857,432.28264974432153,390811.0565996652,946.8393985772632,1633616.6930531343,2573.4360396746524,12632611.893188192,2576.1883502648234,12827964.979511786,365.7992020968327,233644.91466037178,2009.5267397916082,7685064.1098182425,1056.3782823641475,2004030.447279481,528.2829131350818,513687.2073961074,815.5893051059963,1197299.0371386632,1331.2249890983628,3205564.138074598,301.8977049865094,172229.96177096342,1525.4688146902158,4330397.681860463,1016.0100657153083,2419070.1784186237,690.0,280.0,10.0,30.0
walk 2 model 2,1020.8091223683662,1950138.645560465,988.210788811907,1805177.9720416656,957.6655879430397,1676082.1589948188,929.5017618112189,1562290.8826093702,904.0421148005972,1463360.0140650638,881.5731190081215,1378805.564323076,862.2700531361269,1307978.3789138447,846.0226097033877,1249515.0997961746,832.7505147750333,1202243.3747020909,822.2793505836469,1165045.2852440593,814.3247478595679,1136532.200163127,808.5509102246776,1115336.6366543474,804.6774339561383,1100393.6584236263,802.4071627966365,1090674.8480864672,801.5315114702493,1085609.9431381633,801.7514553974378,1084313.4310306797,802.8234213937633,1085997.6480180232,804.5603617050135,1090126.8244496668,806.8970880318868,1096413.988334187,809.6334410574613,1104231.3196649689,690.0,280.0,10.0,30.0
walk 2 model assembled,703.8527831778085,969646.5777001184,143.26218998476588,40733.57935324536,1791.2657976332148,6121263.16969563,2805.5137118120374,15589020.320019156,211.2742152202203,73656.16546397863,591.7234473913603,628531.4971707019,2515.018044833466,12136051.78578529,187.29318962057687,84521.73433073908,924.0216330651201,1540770.7160975528,2549.5064552184713,12392374.782251295,2552.499029106235,12585435.52823506,365.7992020968327,233644.91466037178,1842.907689933598,6411588.250130831,1052.9304809938983,1989534.0124721054,579.2571502623848,601278.2201313789,815.3946944256805,1195210.9678432557,1225.5409324092143,2688615.738888685,306.90360643848896,176708.75942546222,1381.752180238046,3502946.747697412,653.6463577839155,1124473.2235902974,690.0,280.0,10.0,30.0
walk 3 model 1,148.45977672000362,44934.64232641093,2256.7266537338573,9336934.373055171,1017.257627865823,1902645.3190708212,465.89717551383444,408512.57123374456,123.40642920705352,28614.50948709034,2286.689508819582,9623595.87291435,1437.9921564309484,3768114.665977699,139.11050603917914,34308.59803554338,190.34531040270627,81325.74055673821,1396.4708827743366,3572138.6328013525,115.02121647465552,28285.86333264359,131.61381050725907,29808.159221002574,557.8823727704478,612997.2255154833,292.15328583292825,206505.09038025193,566.481636343338,632738.460123231,178.55768452954345,78719.54556145138,519.8963530640181,556820.1170540234,1697.0067844390871,5349688.03715167,650.5844147490667,860375.6651793926,152.62879000954007,58606.76002362114,690.0,310.0,10.0,30.0
walk 3 model 2,1095.5898693643494,2166166.1525256154,1073.5837569123219,2067499.6575289122,1053.9686759997103,1983310.4871932138,1036.413125233028,1911280.3787255713,1020.6262876562939,1849284.516923663,1006.3094230658763,1795712.9009232991,993.2683390154348,1749155.133607935,981.3609191639816,1708414.557477056,970.4419149157908,1672495.686439365,960.3334367315707,1640481.7851257476,950.9168089517148,1611745.3641085317,942.1010452383049,1585799.9494629493,933.7969873400699,1562226.3815464387,925.930888430672,1540635.5618836177,918.4563622131109,1520872.5870642974,911.3526739325823,1502884.680150918,904.6455190516399,1486794.7736031138,898.3252563117198,1472447.0282169199,892.3397027349363,1459705.6361881692,886.7638698323168,1448739.26961182,690.0,310.0,10.0,30.0
walk 3 model assembled,139.75985240561124,49155.74692749734,2240.7423871873584,9203471.71404921,1024.0879738605536,1915698.692852827,465.89717551383444,408512.57123374456,204.73754087886462,86909.15068951609,2269.2851465764265,9474899.484426862,1431.7608134034742,3734459.572770647,175.64865167511172,70709.98195985044,325.68217887404563,207751.9932865681,1309.2434376729443,3124978.3675389807,115.02121647465552,28285.86333264359,130.15944425729003,29294.505307648054,557.8823727704478,612997.2255154833,292.15328583292825,206505.09038025193,566.481636343338,632738.460123231,183.10569823010363,83354.43919835836,524.1739734604248,564381.5062562166,1537.2705607773592,4377563.70292464,664.0515638187561,888717.604313618,152.62879000954007,58606.76002362114,690.0,310.0,10.0,30.0
walk 4 model 1,2832.669815486804,15575369.912068577,2329.5488759571977,10413279.015537245,106.02868084246089,16426.245859789113,704.3980443788605,1114421.546475676,1252.054655293094,3210025.239377851,1541.3487930175697,4754325.0076665515,1495.1023804619213,4586468.094006296,1161.1066825195733,2970248.9900884028,886.6476979503011,1565554.1314057305,495.90087344167574,559847.0335804371,535.5027849185549,463947.3532082905,151.578458214201,79401.43252592918,239.60118685262296,228174.7586172227,142.93973133568934,87912.24642671131,451.46352278273065,312383.626776963,602.4576108695553,923941.7145618899,2983.5123580474524,18220939.11921132,1290.931409575114,3636651.3380608927,2329.453851095638,11200513.900924193,1928.626035404404,8219504.840025633,690.0,340.0,10.0,30.0
