LOC,DATE,NEW_HOSP(t+1),NEW_HOSP(t+2),NEW_HOSP(t+3),NEW_HOSP(t+4),NEW_HOSP(t+5),NEW_HOSP(t+6),NEW_HOSP(t+7),NEW_HOSP(t+8),NEW_HOSP(t+9),NEW_HOSP(t+10),NEW_HOSP(t+11),NEW_HOSP(t+12),NEW_HOSP(t+13),NEW_HOSP(t+14),NEW_HOSP(t+15),NEW_HOSP(t+16),NEW_HOSP(t+17),NEW_HOSP(t+18),NEW_HOSP(t+19),NEW_HOSP(t+20)
BE,2021-03-09,3.5714285714285716,10.714285714285714,16.857142857142858,17.428571428571427,25.714285714285715,33.285714285714285,34.0,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857
BE,2021-03-10,10.714285714285714,16.857142857142858,17.428571428571427,25.714285714285715,33.285714285714285,34.0,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571
BE,2021-03-11,16.857142857142858,17.428571428571427,25.714285714285715,33.285714285714285,34.0,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0
BE,2021-03-12,17.428571428571427,25.714285714285715,33.285714285714285,34.0,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854
BE,2021-03-13,25.714285714285715,33.285714285714285,34.0,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857
BE,2021-03-14,33.285714285714285,34.0,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715
BE,2021-03-15,34.0,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715,32.285714285714285
BE,2021-03-16,36.42857142857143,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715,32.285714285714285,24.285714285714285
BE,2021-03-17,33.714285714285715,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715,32.285714285714285,24.285714285714285,13.0
BE,2021-03-18,37.142857142857146,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715,32.285714285714285,24.285714285714285,13.0,15.857142857142858
BE,2021-03-19,45.285714285714285,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715,32.285714285714285,24.285714285714285,13.0,15.857142857142858,23.142857142857142
BE,2021-03-20,47.0,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715,32.285714285714285,24.285714285714285,13.0,15.857142857142858,23.142857142857142,22.857142857142858
BE,2021-03-21,50.142857142857146,50.0,58.285714285714285,63.42857142857143,64.0,66.57142857142857,69.42857142857143,66.57142857142857,74.71428571428571,49.0,32.857142857142854,33.57142857142857,42.714285714285715,32.285714285714285,24.285714285714285,13.0,15.857142857142858,23.142857142857142,22.857142857142858,-5.285714285714286
