name,MAE(t+1),MSE(t+1),MAE(t+2),MSE(t+2),MAE(t+3),MSE(t+3),MAE(t+4),MSE(t+4),MAE(t+5),MSE(t+5),MAE(t+6),MSE(t+6),MAE(t+7),MSE(t+7),MAE(t+8),MSE(t+8),MAE(t+9),MSE(t+9),MAE(t+10),MSE(t+10),MAE(t+11),MSE(t+11),MAE(t+12),MSE(t+12),MAE(t+13),MSE(t+13),MAE(t+14),MSE(t+14),MAE(t+15),MSE(t+15),MAE(t+16),MSE(t+16),MAE(t+17),MSE(t+17),MAE(t+18),MSE(t+18),MAE(t+19),MSE(t+19),MAE(t+20),MSE(t+20),nb_test_datapoints,days_train,days_valid,days_test
walk 1 model 1,206.31577435013642,135632.58224646377,204.80208911145417,132397.58704016457,205.36728624221425,143108.17540893448,199.34688881662788,135299.9322902816,189.83288199778167,112674.21052153052,191.0786017984584,123286.84208817,185.9343833725891,103181.85861238351,181.39543949387826,107725.67125558246,180.04053749376683,92183.08672954218,178.6363300702586,98269.08641183023,175.20942763215987,90421.26776113556,182.67371883234358,91586.45017827187,187.47704184395917,84053.07673020882,195.51028510581375,86365.1877041538,193.1854232949993,85256.61387079199,206.2361934965936,89787.72700872445,215.03297776721774,94699.5560360554,224.7050956631299,99868.56157075417,255.18228433502384,125991.64863385212,246.21972116288697,117190.8905425845,690.0,220.0,30.0,30.0
walk 1 model 2,820.0220355327077,1440360.4518883713,813.115344280781,1413893.9240898637,806.1225087572567,1379813.6200638558,792.4370059797726,1320362.175487215,775.3965619272819,1249080.3483202814,756.0528626584614,1170923.1856890158,735.3443625216656,1090924.1903361594,714.3244755872785,1013663.3931639087,693.7789876033555,941365.2634665548,674.4229291139926,875389.7064178886,656.5664237243543,816064.0711450556,640.0935321616339,763189.8746429392,625.0209915973634,716252.3807867649,611.190699996218,674461.1821379672,598.35017743239,637294.4584741367,586.6168563945446,604094.7344941101,575.5291337214644,574219.7582802909,565.1479581465634,547596.5665518492,555.320280196109,523867.46815558965,545.9978472212579,502774.06240644644,690.0,220.0,30.0,30.0
walk 1 model assembled,206.31577435013642,135632.58224646377,204.80208911145417,132397.58704016457,205.36728624221425,143108.17540893448,199.34688881662788,135299.9322902816,189.83288199778167,112674.21052153052,191.0786017984584,123286.84208817,185.9343833725891,103181.85861238351,181.39543949387826,107725.67125558246,180.04053749376683,92183.08672954218,178.6363300702586,98269.08641183023,175.20942763215987,90421.26776113556,182.67371883234358,91586.45017827187,187.47704184395917,84053.07673020882,195.51028510581375,86365.1877041538,193.1854232949993,85256.61387079199,206.2361934965936,89787.72700872445,215.03297776721774,94699.5560360554,224.7050956631299,99868.56157075417,255.18228433502384,125991.64863385212,246.21972116288697,117190.8905425845,690.0,220.0,30.0,30.0
walk 2 model 1,73.32137914780019,13759.390347913464,58.64189043045043,7593.252223620729,82.17984497650814,15949.093733622296,65.28609661374782,8592.88106282305,67.81414468342727,9095.283021894664,76.34919953869496,11355.261815818862,80.9673409442231,12498.421636903791,125.3194484676633,32121.011676706872,138.0891877861497,37789.19662009461,115.74266282733427,24872.705760036435,161.22301224862554,49768.05328694284,147.87310320684372,39787.87382495775,154.60100110510115,42993.38213072652,211.96292871678577,80275.80145698813,194.92112950706078,66400.2557051039,252.15648099601128,109248.53630393879,233.63598121125736,91644.11466130106,258.29728803733354,109495.21215056643,286.7469837697149,133142.09942323138,348.91541779532446,194465.55118142557,690.0,250.0,30.0,30.0
walk 2 model 2,829.422505159556,1184650.949476617,839.6983951658935,1217838.6923055365,840.3886064387256,1220810.9950651068,834.4468734289549,1201563.4030537421,829.574762959806,1185490.5147793505,828.1759781431707,1180556.8919042058,829.7446899656924,1185179.677838095,833.1274779280764,1195686.7199001627,837.4125414337923,1209213.1014912152,841.9573983033742,1223603.9883052243,846.3435450968566,1237373.6036990439,850.4966474845588,1250239.0609629473,854.3741248506107,1261943.787477901,858.0638497744904,1272696.1291539217,861.5793132791606,1282536.730847066,865.017557825509,1291759.696065708,868.4816614774936,1300805.2538211842,871.9178308197675,1309631.5829815853,875.3959316601663,1318497.2754074,878.9751824727708,1327798.7232552778,690.0,250.0,30.0,30.0
walk 2 model assembled,73.32137914780019,13759.390347913464,58.64189043045043,7593.252223620729,82.17984497650814,15949.093733622296,65.28609661374782,8592.88106282305,67.81414468342727,9095.283021894664,76.34919953869496,11355.261815818862,80.9673409442231,12498.421636903791,125.3194484676633,32121.011676706872,138.0891877861497,37789.19662009461,115.74266282733427,24872.705760036435,161.22301224862554,49768.05328694284,147.87310320684372,39787.87382495775,154.60100110510115,42993.38213072652,211.96292871678577,80275.80145698813,194.92112950706078,66400.2557051039,252.15648099601128,109248.53630393879,233.63598121125736,91644.11466130106,258.29728803733354,109495.21215056643,286.7469837697149,133142.09942323138,348.91541779532446,194465.55118142557,690.0,250.0,30.0,30.0
walk 3 model 1,16.694498622886396,603.3475370732509,19.517429077353796,866.3273506812642,29.991974008453557,2005.2350250627562,46.780781980873876,4479.443934669047,39.765816719734396,3866.4058454509222,60.90857825269359,7691.1918395742905,56.68990778320817,7729.1768469185745,68.95087195015347,11385.550311274908,82.03232083527936,15439.354660462828,108.9282385405547,23765.65520052939,115.75503565509872,26739.76174265312,131.1301502034285,33669.71135473931,143.52688250926715,39952.540159176075,157.78381698639996,47701.08294368473,151.69688628099968,45998.05091394892,163.70238158145062,52434.359664471296,193.7557503532426,69299.3170466702,204.14603591271307,76576.58145909155,197.86956645341644,73209.42627542547,209.43177671235048,80816.58566985397,690.0,280.0,30.0,30.0
walk 3 model 2,728.4941978563181,935819.4963668477,731.4601293589681,941223.4733693032,725.8576742328095,925634.1808605149,720.6219859519475,913214.29565421,718.2285011126677,908822.7485719455,718.1707657208998,910828.1124468086,719.848506842041,916352.744599374,722.132001886049,923362.2781074742,723.9865185238679,930503.8305239935,725.3302022966042,937251.4620131165,725.9091264492232,943513.5158086561,725.7665417297036,949128.5601746072,725.0456892825553,954286.3098955929,723.6796566116883,959149.050225105,721.8037151945056,963791.7622658026,719.5478564793768,968293.9941775935,717.0788565985408,972672.773397431,714.3682119368272,976875.7227214614,711.515814268959,980806.7833471297,708.5419558993528,984295.7514183596,690.0,280.0,30.0,30.0
walk 3 model assembled,16.694498622886396,603.3475370732509,19.517429077353796,866.3273506812642,29.991974008453557,2005.2350250627562,46.780781980873876,4479.443934669047,39.765816719734396,3866.4058454509222,60.90857825269359,7691.1918395742905,56.68990778320817,7729.1768469185745,68.95087195015347,11385.550311274908,82.03232083527936,15439.354660462828,108.9282385405547,23765.65520052939,115.75503565509872,26739.76174265312,131.1301502034285,33669.71135473931,143.52688250926715,39952.540159176075,157.78381698639996,47701.08294368473,151.69688628099968,45998.05091394892,163.70238158145062,52434.359664471296,193.7557503532426,69299.3170466702,204.14603591271307,76576.58145909155,197.86956645341644,73209.42627542547,209.43177671235048,80816.58566985397,690.0,280.0,30.0,30.0
walk 4 model 1,15.17864433746654,670.8243526061322,29.764814567960833,2221.9665999551416,22.323459842437046,1716.2507054957257,27.549658174692482,2504.7087363553683,42.50067421180612,4737.4640271858925,33.02545732138811,3379.4100424885264,52.33806215764075,6883.8447138323345,45.151392244453504,6237.029028181555,65.901596293637,10583.804033491695,54.95689693948502,8513.530699349143,60.35182161113992,9641.34634137179,66.04927180509398,11068.583476343223,75.30624125225944,14548.003249013942,102.25440835182714,24423.231589135656,90.84089534198775,20435.97435450812,117.39358593089733,32130.818179339418,127.65345570739997,38258.882360495176,115.23628624783781,30848.641369005167,145.87458293433022,50161.895098943445,134.27108181702675,41165.00486680429,690.0,310.0,30.0,30.0
