date,/m/0cjf0_0,/m/0cjf0
2020-06-01,22.0,22.0
2020-06-02,57.0,57.0
2020-06-03,31.0,31.0
2020-06-04,21.0,21.0
2020-06-05,35.0,35.0
2020-06-06,36.0,36.0
2020-06-07,31.0,31.0
2020-06-08,42.0,42.0
2020-06-09,18.0,18.0
2020-06-10,47.0,47.0
2020-06-11,48.0,48.0
2020-06-12,25.0,25.0
2020-06-13,52.0,52.0
2020-06-14,45.0,45.0
2020-06-15,47.0,47.0
2020-06-16,41.0,41.0
2020-06-17,23.0,23.0
2020-06-18,67.0,67.0
2020-06-19,56.0,56.0
2020-06-20,42.0,42.0
2020-06-21,51.0,51.0
2020-06-22,44.0,44.0
2020-06-23,61.0,61.0
2020-06-24,26.0,26.0
2020-06-25,79.0,79.0
2020-06-26,26.0,26.0
2020-06-27,46.0,46.0
2020-06-28,22.0,22.0
2020-06-29,19.0,19.0
2020-06-30,34.0,34.0
2020-07-01,39.0,39.0
2020-07-02,30.0,30.0
2020-07-03,60.0,60.0
2020-07-04,47.0,47.0
2020-07-05,45.0,45.0
2020-07-06,20.0,20.0
2020-07-07,64.0,64.0
2020-07-08,70.0,70.0
2020-07-09,38.0,38.0
2020-07-10,39.0,39.0
2020-07-11,46.0,46.0
2020-07-12,53.0,53.0
2020-07-13,28.0,28.0
2020-07-14,46.0,46.0
2020-07-15,27.0,27.0
2020-07-16,43.0,43.0
2020-07-17,36.0,36.0
2020-07-18,21.0,21.0
2020-07-19,53.0,53.0
2020-07-20,47.0,47.0
2020-07-21,26.0,26.0
2020-07-22,41.0,41.0
2020-07-23,71.0,71.0
2020-07-24,80.0,80.0
2020-07-25,62.0,62.0
2020-07-26,56.0,56.0
2020-07-27,48.0,48.0
2020-07-28,28.0,28.0
2020-07-29,46.0,46.0
2020-07-30,41.0,41.0
2020-07-31,12.0,12.0
2020-08-01,31.0,31.0
2020-08-02,65.0,65.0
2020-08-03,52.0,52.0
2020-08-04,48.0,48.0
2020-08-05,56.0,56.0
2020-08-06,39.0,39.0
2020-08-07,51.0,51.0
2020-08-08,30.0,30.0
2020-08-09,83.0,83.0
2020-08-10,42.0,42.0
2020-08-11,52.0,52.0
2020-08-12,62.0,62.0
2020-08-13,26.0,26.0
2020-08-14,37.0,37.0
2020-08-15,45.0,45.0
2020-08-16,40.0,40.0
2020-08-17,36.0,36.0
2020-08-18,32.0,32.0
2020-08-19,42.0,42.0
2020-08-20,53.0,53.0
2020-08-21,43.0,43.0
2020-08-22,6.0,6.0
2020-08-23,51.0,51.0
2020-08-24,25.0,25.0
2020-08-25,72.0,72.0
2020-08-26,53.0,53.0
2020-08-27,27.0,27.0
2020-08-28,58.0,58.0
2020-08-29,23.0,23.0
2020-08-30,55.0,55.0
2020-08-31,36.0,36.0
2020-09-01,38.0,38.0
2020-09-02,64.0,64.0
2020-09-03,42.0,42.0
2020-09-04,60.0,60.0
2020-09-05,42.0,42.0
2020-09-06,62.0,62.0
2020-09-07,37.0,37.0
2020-09-08,52.0,52.0
2020-09-09,79.0,79.0
2020-09-10,64.0,64.0
2020-09-11,50.0,50.0
2020-09-12,38.0,38.0
2020-09-13,75.0,75.0
2020-09-14,100.0,100.0
2020-09-15,58.0,58.0
2020-09-16,89.0,89.0
2020-09-17,27.0,27.0
2020-09-18,66.0,66.0
2020-09-19,81.0,81.0
2020-09-20,48.0,48.0
2020-09-21,51.0,51.0
2020-09-22,46.0,46.0
2020-09-23,65.0,65.0
2020-09-24,46.0,46.0
2020-09-25,33.0,33.0
2020-09-26,42.0,42.0
2020-09-27,35.0,35.0
2020-09-28,61.0,61.0
2020-09-29,48.0,48.0
2020-09-30,42.0,42.0
