date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0_20,/m/0cjf0_21,/m/0cjf0_22,/m/0cjf0_23,/m/0cjf0_24,/m/0cjf0_25,/m/0cjf0_26,/m/0cjf0_27,/m/0cjf0_28,/m/0cjf0_29,/m/0cjf0_30,/m/0cjf0_31,/m/0cjf0_32,/m/0cjf0_33,/m/0cjf0_34,/m/0cjf0_35,/m/0cjf0_36,/m/0cjf0_37,/m/0cjf0_38,/m/0cjf0_39,/m/0cjf0_40,/m/0cjf0_41,/m/0cjf0_42,/m/0cjf0_43,/m/0cjf0_44,/m/0cjf0_45,/m/0cjf0_46,/m/0cjf0_47,/m/0cjf0_48,/m/0cjf0_49,/m/0cjf0_50,/m/0cjf0_51,/m/0cjf0_52,/m/0cjf0_53,/m/0cjf0_54,/m/0cjf0_55,/m/0cjf0_56,/m/0cjf0_57,/m/0cjf0_58,/m/0cjf0_59,/m/0cjf0_60,/m/0cjf0_61,/m/0cjf0_62,/m/0cjf0_63,/m/0cjf0_64,/m/0cjf0_65,/m/0cjf0_66,/m/0cjf0_67,/m/0cjf0_68,/m/0cjf0_69,/m/0cjf0_70,/m/0cjf0_71,/m/0cjf0_72,/m/0cjf0_73,/m/0cjf0_74,/m/0cjf0_75,/m/0cjf0_76,/m/0cjf0_77,/m/0cjf0_78,/m/0cjf0_79,/m/0cjf0_80,/m/0cjf0_81,/m/0cjf0_82,/m/0cjf0_83,/m/0cjf0_84,/m/0cjf0_85,/m/0cjf0_86,/m/0cjf0_87,/m/0cjf0_88,/m/0cjf0_89,/m/0cjf0_90,/m/0cjf0_91,/m/0cjf0_92,/m/0cjf0_93,/m/0cjf0_94,/m/0cjf0_95,/m/0cjf0_96,/m/0cjf0_97,/m/0cjf0_98,/m/0cjf0_99,/m/0cjf0,batch_id
2020-02-01,34.0,29.0,30.0,40.0,24.0,18.0,27.0,27.0,28.0,20.0,24.0,28.0,26.0,15.0,35.0,35.0,22.0,28.0,28.0,28.0,15.0,20.0,31.0,24.0,34.0,23.0,36.0,26.0,31.0,15.0,27.0,30.0,32.0,19.0,31.0,34.0,20.0,31.0,20.0,13.0,23.0,27.0,17.0,21.0,20.0,17.0,21.0,30.0,24.0,23.0,36.0,21.0,26.0,19.0,30.0,26.0,30.0,32.0,32.0,26.0,25.0,16.0,25.0,25.0,23.0,27.0,32.0,21.0,29.0,31.0,33.0,36.0,24.0,19.0,33.0,24.0,25.0,31.0,23.0,26.0,21.0,27.0,23.0,13.0,36.0,35.0,25.0,21.0,27.0,32.0,18.0,29.0,31.0,31.0,17.0,27.0,22.0,32.0,28.0,30.0,26.615039739148155,1
2020-02-02,35.0,23.0,31.0,32.0,45.0,30.0,24.0,33.0,28.0,29.0,34.0,31.0,23.0,45.0,34.0,32.0,31.0,27.0,34.0,29.0,30.0,39.0,30.0,43.0,30.0,30.0,39.0,34.0,36.0,31.0,33.0,34.0,39.0,33.0,23.0,30.0,41.0,39.0,21.0,25.0,35.0,30.0,18.0,30.0,35.0,24.0,33.0,32.0,31.0,25.0,35.0,22.0,33.0,22.0,33.0,21.0,25.0,40.0,46.0,41.0,44.0,25.0,36.0,31.0,38.0,24.0,45.0,39.0,16.0,33.0,31.0,26.0,28.0,29.0,22.0,23.0,30.0,34.0,17.0,25.0,31.0,41.0,32.0,25.0,27.0,26.0,29.0,27.0,31.0,32.0,22.0,34.0,34.0,27.0,25.0,39.0,30.0,32.0,31.0,27.0,31.577338496026083,1
2020-02-03,37.0,18.0,24.0,14.0,27.0,18.0,23.0,14.0,16.0,35.0,21.0,16.0,28.0,14.0,17.0,26.0,16.0,27.0,23.0,18.0,18.0,22.0,17.0,11.0,22.0,14.0,25.0,26.0,27.0,22.0,18.0,18.0,19.0,14.0,19.0,19.0,13.0,13.0,18.0,23.0,21.0,16.0,12.0,15.0,10.0,22.0,25.0,21.0,16.0,17.0,21.0,23.0,23.0,16.0,23.0,23.0,24.0,28.0,25.0,29.0,17.0,24.0,29.0,20.0,15.0,18.0,15.0,16.0,23.0,14.0,26.0,12.0,18.0,21.0,19.0,24.0,20.0,34.0,14.0,18.0,20.0,29.0,12.0,24.0,24.0,23.0,17.0,17.0,11.0,21.0,26.0,16.0,17.0,23.0,24.0,14.0,19.0,16.0,21.0,18.0,20.470756062767475,1
2020-02-04,40.0,27.0,15.0,30.0,21.0,25.0,24.0,22.0,16.0,23.0,31.0,30.0,21.0,17.0,24.0,35.0,22.0,26.0,28.0,25.0,23.0,25.0,31.0,29.0,34.0,29.0,36.0,30.0,33.0,30.0,27.0,23.0,23.0,26.0,34.0,30.0,32.0,23.0,31.0,17.0,26.0,15.0,15.0,29.0,26.0,25.0,27.0,38.0,13.0,20.0,33.0,39.0,25.0,22.0,34.0,21.0,37.0,30.0,25.0,30.0,32.0,31.0,35.0,32.0,28.0,32.0,27.0,22.0,29.0,28.0,38.0,24.0,27.0,29.0,29.0,31.0,26.0,27.0,20.0,17.0,32.0,37.0,20.0,20.0,41.0,24.0,33.0,22.0,39.0,28.0,22.0,28.0,22.0,20.0,33.0,24.0,29.0,28.0,28.0,26.0,27.695129406969635,1
2020-02-05,45.0,17.0,21.0,27.0,26.0,14.0,19.0,20.0,17.0,25.0,29.0,20.0,20.0,17.0,30.0,38.0,23.0,20.0,17.0,19.0,22.0,17.0,20.0,14.0,20.0,20.0,18.0,23.0,30.0,18.0,12.0,26.0,33.0,25.0,17.0,25.0,29.0,29.0,27.0,21.0,45.0,18.0,38.0,30.0,28.0,31.0,17.0,26.0,25.0,21.0,27.0,21.0,24.0,21.0,31.0,26.0,27.0,35.0,26.0,19.0,35.0,27.0,19.0,17.0,19.0,31.0,26.0,26.0,23.0,28.0,23.0,19.0,29.0,29.0,28.0,22.0,26.0,32.0,22.0,32.0,27.0,21.0,24.0,19.0,18.0,30.0,29.0,26.0,30.0,18.0,26.0,30.0,19.0,21.0,22.0,33.0,23.0,19.0,27.0,27.0,24.9439576115753,1
2020-02-06,27.0,18.0,12.0,12.0,14.0,18.0,9.0,10.0,22.0,22.0,22.0,17.0,13.0,23.0,17.0,17.0,21.0,17.0,16.0,28.0,20.0,19.0,17.0,13.0,18.0,18.0,25.0,18.0,18.0,14.0,13.0,7.0,20.0,22.0,15.0,21.0,26.0,23.0,10.0,19.0,28.0,15.0,17.0,24.0,12.0,25.0,21.0,21.0,13.0,13.0,20.0,11.0,21.0,15.0,12.0,14.0,18.0,18.0,18.0,21.0,19.0,16.0,16.0,16.0,21.0,23.0,19.0,18.0,18.0,24.0,18.0,8.0,19.0,14.0,11.0,15.0,17.0,16.0,21.0,21.0,14.0,18.0,23.0,18.0,17.0,23.0,14.0,21.0,22.0,17.0,20.0,24.0,13.0,10.0,16.0,17.0,19.0,12.0,17.0,11.0,17.97432239657632,1
2020-02-07,17.0,15.0,11.0,14.0,23.0,18.0,20.0,24.0,17.0,19.0,14.0,21.0,13.0,14.0,10.0,22.0,14.0,17.0,12.0,22.0,9.0,19.0,8.0,16.0,7.0,18.0,23.0,15.0,14.0,18.0,11.0,23.0,26.0,11.0,17.0,20.0,19.0,19.0,12.0,27.0,24.0,18.0,10.0,10.0,14.0,14.0,16.0,18.0,18.0,15.0,17.0,16.0,21.0,15.0,18.0,23.0,11.0,22.0,19.0,22.0,24.0,13.0,16.0,18.0,17.0,19.0,13.0,17.0,21.0,15.0,18.0,18.0,13.0,22.0,18.0,19.0,20.0,17.0,15.0,18.0,14.0,8.0,18.0,15.0,17.0,12.0,21.0,10.0,19.0,13.0,7.0,21.0,15.0,12.0,12.0,17.0,12.0,18.0,7.0,28.0,16.884043203586714,1
2020-02-08,14.0,18.0,15.0,19.0,29.0,16.0,19.0,20.0,15.0,10.0,21.0,24.0,25.0,17.0,25.0,24.0,20.0,24.0,21.0,19.0,13.0,15.0,10.0,14.0,18.0,16.0,21.0,24.0,18.0,22.0,15.0,19.0,26.0,19.0,26.0,23.0,22.0,14.0,17.0,17.0,13.0,8.0,24.0,14.0,22.0,14.0,24.0,17.0,16.0,18.0,18.0,19.0,16.0,21.0,17.0,20.0,16.0,19.0,9.0,19.0,23.0,14.0,23.0,19.0,17.0,20.0,14.0,20.0,20.0,16.0,15.0,21.0,16.0,16.0,18.0,21.0,17.0,25.0,16.0,7.0,19.0,17.0,15.0,12.0,16.0,17.0,17.0,21.0,22.0,25.0,20.0,15.0,18.0,25.0,23.0,16.0,13.0,16.0,10.0,18.0,18.55512533115957,1
2020-02-09,21.0,18.0,14.0,21.0,32.0,15.0,19.0,26.0,20.0,16.0,14.0,22.0,20.0,21.0,17.0,15.0,19.0,20.0,12.0,14.0,26.0,15.0,14.0,17.0,21.0,17.0,14.0,20.0,20.0,22.0,16.0,17.0,31.0,14.0,15.0,25.0,17.0,15.0,15.0,22.0,21.0,18.0,17.0,9.0,11.0,21.0,12.0,19.0,15.0,16.0,18.0,12.0,22.0,8.0,21.0,20.0,13.0,12.0,26.0,27.0,25.0,16.0,10.0,19.0,15.0,18.0,17.0,16.0,17.0,13.0,28.0,17.0,16.0,26.0,17.0,22.0,21.0,12.0,16.0,16.0,14.0,23.0,17.0,9.0,17.0,17.0,12.0,10.0,24.0,15.0,16.0,19.0,14.0,18.0,10.0,20.0,12.0,17.0,20.0,21.0,18.025270022416958,1
2020-02-10,12.0,11.0,10.0,18.0,15.0,12.0,13.0,17.0,12.0,10.0,16.0,11.0,14.0,11.0,10.0,18.0,17.0,8.0,8.0,18.0,14.0,4.0,12.0,13.0,15.0,7.0,15.0,12.0,9.0,13.0,10.0,6.0,11.0,19.0,14.0,14.0,12.0,19.0,11.0,11.0,13.0,7.0,18.0,12.0,8.0,10.0,11.0,17.0,14.0,10.0,18.0,15.0,19.0,9.0,16.0,11.0,18.0,20.0,9.0,23.0,8.0,6.0,16.0,18.0,18.0,17.0,14.0,8.0,14.0,9.0,15.0,12.0,9.0,16.0,9.0,17.0,11.0,19.0,12.0,13.0,14.0,16.0,12.0,10.0,12.0,16.0,13.0,15.0,11.0,14.0,8.0,8.0,13.0,12.0,16.0,14.0,13.0,11.0,12.0,13.0,13.185245567556551,1
