date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21
2020-11-15,17.0,35.0,29.0,42.0,22.0,16.0,51.0,54.0,26.0,23.0,34.46389496717724
2020-11-16,42.0,34.0,42.0,33.0,35.0,8.0,33.0,52.0,20.0,11.0,33.91684901531728
2020-11-17,26.0,9.0,0.0,25.0,21.0,8.0,8.0,15.0,10.0,6.0,14.00437636761488
2020-11-18,34.0,17.0,21.0,40.0,21.0,23.0,25.0,30.0,15.0,11.0,25.929978118161923
2020-11-19,26.0,26.0,35.0,32.0,35.0,15.0,25.0,53.0,5.0,6.0,28.22757111597374
2020-11-20,0.0,44.0,36.0,16.0,7.0,0.0,17.0,38.0,26.0,11.0,21.334792122538293
2020-11-21,35.0,27.0,22.0,34.0,29.0,16.0,34.0,31.0,10.0,17.0,27.899343544857768
2020-11-22,18.0,0.0,7.0,8.0,14.0,16.0,43.0,16.0,10.0,23.0,16.95842450765864
2020-11-23,43.0,26.0,21.0,24.0,21.0,23.0,34.0,23.0,10.0,34.0,28.33698030634573
2020-11-24,33.0,34.0,21.0,47.0,34.0,15.0,24.0,30.0,30.0,44.0,34.135667396061265
2020-11-25,49.0,32.0,33.0,31.0,40.0,44.0,24.0,36.0,19.0,11.0,34.901531728665205
2020-11-26,43.0,52.0,21.0,33.0,28.0,31.0,42.0,15.0,26.0,0.0,31.83807439824945
2020-11-27,33.0,34.0,21.0,24.0,28.0,23.0,17.0,30.0,10.0,28.0,27.133479212253828
2020-11-28,34.0,69.0,36.0,16.0,14.0,31.0,50.0,53.0,21.0,39.0,39.71553610503282
2020-11-29,34.0,0.0,28.0,24.0,21.0,15.0,16.0,15.0,10.0,0.0,17.833698030634572
2020-11-30,33.0,25.0,27.0,39.0,13.0,44.0,24.0,36.0,15.0,5.0,28.555798687089712
2020-12-01,17.0,34.0,7.0,16.0,0.0,22.0,32.0,0.0,25.0,16.0,18.490153172866517
2020-12-02,25.0,25.0,27.0,40.0,34.0,52.0,49.0,29.0,20.0,16.0,34.68271334792122
2020-12-03,9.0,26.0,14.0,41.0,35.0,53.0,33.0,23.0,10.0,17.0,28.555798687089712
2020-12-04,49.0,25.0,34.0,16.0,20.0,15.0,16.0,29.0,20.0,27.0,27.461706783369802
2020-12-05,26.0,18.0,22.0,41.0,15.0,47.0,26.0,31.0,16.0,23.0,28.993435448577678
2020-12-06,17.0,35.0,50.0,58.0,14.0,23.0,17.0,23.0,26.0,23.0,31.291028446389493
2020-12-07,17.0,17.0,14.0,25.0,21.0,38.0,17.0,23.0,15.0,28.0,23.522975929978116
2020-12-08,26.0,51.0,56.0,40.0,35.0,15.0,33.0,38.0,20.0,17.0,36.2144420131291
2020-12-09,17.0,60.0,42.0,40.0,28.0,38.0,42.0,23.0,36.0,11.0,36.87089715536105
2020-12-10,44.0,27.0,51.0,93.0,43.0,47.0,43.0,23.0,47.0,29.0,48.905908096280086
2020-12-11,18.0,9.0,15.0,8.0,29.0,16.0,0.0,8.0,0.0,17.0,13.129102844638949
2020-12-12,18.0,54.0,44.0,34.0,15.0,24.0,26.0,47.0,37.0,17.0,34.57330415754923
2020-12-13,37.0,46.0,22.0,26.0,52.0,24.0,44.0,89.0,33.0,36.0,44.748358862144414
2020-12-14,35.0,17.0,14.0,16.0,28.0,31.0,0.0,38.0,15.0,22.0,23.632385120350108
2020-12-15,18.0,36.0,22.0,50.0,22.0,8.0,52.0,24.0,31.0,29.0,31.94748358862144
2020-12-16,36.0,54.0,37.0,60.0,37.0,16.0,44.0,55.0,27.0,29.0,43.21663019693654
