date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0
2021-02-26,21.0,21.0,0.0,15.0,12.0,10.0,0.0,13.0,29.0,11.0,16.216216216216214
2021-02-27,34.0,11.0,26.0,32.0,13.0,23.0,41.0,42.0,0.0,46.0,32.92383292383292
2021-02-28,100.0,100.0,88.0,95.0,100.0,65.0,53.0,67.0,46.0,100.0,100.0
2021-03-01,51.0,31.0,48.0,29.0,12.0,51.0,37.0,38.0,43.0,21.0,44.34889434889435
2021-03-02,0.0,11.0,35.0,15.0,0.0,42.0,25.0,0.0,44.0,43.0,26.41277641277641
2021-03-03,31.0,53.0,24.0,59.0,59.0,41.0,75.0,64.0,58.0,62.0,64.61916461916462
2021-03-04,20.0,31.0,35.0,57.0,0.0,20.0,24.0,24.0,28.0,20.0,31.818181818181817
2021-03-05,10.0,10.0,24.0,0.0,12.0,0.0,0.0,13.0,29.0,0.0,12.03931203931204
2021-03-06,51.0,10.0,0.0,15.0,48.0,51.0,25.0,37.0,86.0,32.0,43.61179361179361
2021-03-07,21.0,31.0,48.0,73.0,36.0,41.0,12.0,38.0,43.0,21.0,44.717444717444714
2021-03-08,40.0,21.0,58.0,57.0,35.0,40.0,84.0,49.0,42.0,31.0,56.142506142506136
2021-03-09,30.0,31.0,35.0,29.0,24.0,30.0,36.0,12.0,57.0,10.0,36.11793611793612
2021-03-10,19.0,19.0,11.0,14.0,0.0,0.0,11.0,0.0,13.0,20.0,13.144963144963144
2021-03-11,70.0,72.0,47.0,43.0,59.0,50.0,25.0,100.0,28.0,21.0,63.26781326781326
2021-03-12,31.0,42.0,35.0,59.0,24.0,31.0,100.0,63.0,29.0,42.0,56.01965601965602
2021-03-13,41.0,30.0,23.0,71.0,23.0,20.0,36.0,36.0,42.0,20.0,42.01474201474202
2021-03-14,0.0,20.0,44.0,81.0,34.0,29.0,35.0,23.0,67.0,20.0,43.36609336609336
2021-03-15,16.0,32.0,28.0,34.0,46.0,16.0,29.0,29.0,11.0,16.0,31.57248157248157
2021-03-16,27.0,54.0,31.0,50.0,41.0,18.0,32.0,32.0,62.0,27.0,45.945945945945944
2021-03-17,0.0,20.0,11.0,14.0,34.0,0.0,12.0,36.0,55.0,20.0,24.815724815724813
2021-03-18,30.0,31.0,11.0,43.0,23.0,30.0,35.0,49.0,28.0,41.0,39.434889434889435
2021-03-19,31.0,0.0,0.0,29.0,48.0,41.0,38.0,50.0,29.0,52.0,39.06633906633906
2021-03-20,19.0,19.0,22.0,54.0,22.0,28.0,34.0,23.0,67.0,10.0,36.60933660933661
2021-03-21,49.0,59.0,34.0,28.0,34.0,29.0,23.0,12.0,55.0,40.0,44.59459459459459
