date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2021-04-18,75.0,77.0,72.0,76.0,71.0,78.57142857142857,67.0,67.70833333333333,80.68181818181819,55.0,76.1864105911725
2021-04-19,75.0,78.0,81.0,82.0,76.0,91.83673469387755,88.0,85.41666666666667,82.95454545454545,90.0,87.85269278466559
2021-04-20,92.0,100.0,91.0,85.0,86.0,100.0,96.0,100.0,100.0,95.0,100.0
2021-04-21,83.0,94.0,100.0,76.0,89.0,89.79591836734694,83.0,73.95833333333333,94.31818181818181,100.0,93.44681836178437
2021-04-22,100.0,91.0,77.0,74.0,92.0,92.85714285714286,79.0,98.95833333333333,95.45454545454545,97.0,94.94920863968484
2021-04-23,82.0,96.0,78.0,73.0,60.0,98.9795918367347,76.0,95.83333333333333,76.13636363636364,83.0,86.661300402797
2021-04-24,59.0,61.0,66.0,68.0,68.0,78.57142857142857,82.0,72.91666666666667,76.13636363636364,66.0,73.82269406078929
2021-04-25,82.0,70.0,71.0,60.0,85.0,80.61224489795919,66.0,69.79166666666667,90.9090909090909,68.0,78.65746057922928
2021-04-26,71.0,85.0,81.0,86.0,84.0,100.0,75.0,88.54166666666667,79.54545454545455,78.0,87.62826679493344
2021-04-27,79.0,75.0,75.0,53.0,80.0,68.36734693877551,67.0,64.58333333333333,67.04545454545455,69.0,73.86202484841941
2021-04-28,68.0,85.0,79.0,66.0,78.0,81.63265306122449,90.0,73.95833333333333,76.13636363636364,80.0,82.2991904794626
2021-04-29,82.0,87.0,85.0,76.0,80.0,88.77551020408163,73.0,89.58333333333333,71.5909090909091,92.0,87.29627011939938
2021-04-30,83.0,81.0,82.0,78.0,77.0,95.91836734693878,90.0,95.83333333333333,90.9090909090909,86.0,90.96939593538235
2021-05-01,74.0,85.0,72.0,72.0,59.0,80.61224489795919,80.0,83.33333333333333,80.68181818181819,72.0,80.27803136646675
2021-05-02,63.0,60.0,66.0,71.0,60.0,76.53061224489795,63.0,63.541666666666664,67.04545454545455,83.0,71.22938978381154
2021-05-03,62.0,90.0,80.0,67.0,82.0,74.48979591836735,68.0,71.875,75.0,75.0,78.87458157866322
2021-05-04,61.0,83.0,74.0,54.0,69.0,74.48979591836735,70.0,68.75,76.13636363636364,67.0,73.79641900050063
2021-05-05,61.0,68.0,61.0,64.0,59.0,64.28571428571429,79.0,63.541666666666664,56.81818181818182,68.0,68.21646166884264
2021-05-06,86.0,78.0,73.0,68.0,67.0,81.63265306122449,72.0,81.25,71.5909090909091,79.0,80.15593250287128
2021-05-07,70.0,76.0,68.0,56.0,69.0,68.36734693877551,77.0,60.416666666666664,68.18181818181819,57.0,70.89585521558311
2021-05-08,60.0,56.0,54.0,53.0,54.0,67.34693877551021,58.0,70.83333333333333,68.18181818181819,56.0,63.21291960747744
2021-05-09,61.0,59.0,49.0,44.0,54.0,50.0,50.0,64.58333333333333,62.5,53.0,57.89241622574956
2021-05-10,61.0,71.0,55.0,57.0,63.0,78.57142857142857,58.0,67.70833333333333,63.63636363636363,54.0,66.55197095673286
2021-05-11,73.0,80.0,79.0,70.0,82.0,100.0,81.0,77.08333333333333,85.22727272727273,82.0,85.64133397466732
2021-05-12,84.0,82.0,75.0,65.0,70.0,89.79591836734694,99.0,82.29166666666667,81.81818181818181,79.0,85.49267374097306
2021-05-13,68.0,86.0,60.0,48.0,71.0,67.34693877551021,59.0,60.416666666666664,71.5909090909091,82.0,71.25444598233715
2021-05-14,67.0,62.0,59.0,64.0,72.0,85.71428571428571,75.0,83.33333333333333,79.54545454545455,82.0,77.2056162532353
2021-05-15,68.0,63.0,53.0,59.0,55.0,66.3265306122449,64.0,56.25,57.95454545454545,63.0,64.0773625467503
2021-05-16,50.0,60.0,62.0,50.0,55.0,67.34693877551021,58.0,58.333333333333336,72.72727272727273,62.0,63.00608940064721
2021-05-17,64.0,79.0,65.0,72.0,67.0,77.55102040816327,69.0,71.875,71.5909090909091,61.0,73.86422534381718
2021-05-18,64.0,65.0,60.0,53.0,72.0,66.3265306122449,62.0,58.333333333333336,70.45454545454545,73.0,68.16025496297605
2021-05-19,57.0,56.0,66.0,53.0,48.0,68.36734693877551,53.0,57.291666666666664,78.4090909090909,61.0,63.287630107358
2021-05-20,60.0,63.0,70.0,61.0,65.0,74.48979591836735,74.0,75.0,69.31818181818181,67.0,71.83153203561368
2021-05-21,59.0,44.0,33.0,44.0,48.0,67.34693877551021,54.0,54.166666666666664,51.13636363636363,56.0,54.03703376492493
2021-05-22,45.0,55.0,51.0,43.0,52.0,44.89795918367347,43.0,38.541666666666664,47.72727272727273,42.0,48.90655011403312
2021-05-23,43.0,35.0,45.0,42.0,44.0,57.142857142857146,49.0,47.916666666666664,47.72727272727273,46.0,48.337227146750955
2021-05-24,36.0,41.0,33.0,37.0,43.0,45.91836734693877,43.0,42.708333333333336,45.45454545454545,41.0,43.183200649187036
2021-05-25,53.0,59.0,57.0,53.0,56.0,56.12244897959184,63.0,61.458333333333336,57.95454545454545,64.0,61.43230981666355
2021-05-26,56.0,67.0,67.0,54.0,55.0,75.51020408163265,73.0,72.91666666666667,63.63636363636363,55.0,67.62573908832411
2021-05-27,56.0,73.0,63.0,47.0,55.0,72.44897959183673,53.0,48.958333333333336,57.95454545454545,64.0,62.47215432589582
2021-05-28,51.0,59.0,52.0,49.0,44.0,59.183673469387756,54.0,62.5,44.31818181818182,51.0,55.6615719881026
2021-05-29,37.0,45.0,43.0,24.0,46.0,50.0,41.0,44.791666666666664,40.90909090909091,37.0,43.24875741542409
2021-05-30,41.0,36.0,52.0,33.0,36.0,42.857142857142854,50.0,44.791666666666664,30.681818181818183,41.0,43.10377012757966
2021-05-31,94.0,93.0,92.0,100.0,100.0,93.87755102040816,100.0,95.83333333333333,89.77272727272727,84.0,99.73371551602845
