date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-03-23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-03-24,89.0,87.5,87.6923076923077,89.0,87.5,86.36363636363636,90.76923076923077,87.6923076923077,90.0,90.76923076923077,86.36363636363636,90.47619047619048,92.06349206349206,89.0625,90.47619047619048,88.0,89.0625,88.88888888888889,87.6923076923077,90.625,88.94987096237097
2020-03-25,85.0,84.375,83.07692307692308,84.0,85.9375,81.81818181818181,83.07692307692308,84.61538461538461,85.0,86.15384615384616,81.81818181818181,85.71428571428571,87.3015873015873,82.8125,84.12698412698413,84.0,82.8125,85.71428571428571,84.61538461538461,85.9375,84.3953484015984
2020-03-26,80.0,79.6875,80.0,81.0,82.8125,78.78787878787878,80.0,80.0,80.0,81.53846153846153,78.78787878787878,84.12698412698413,82.53968253968254,79.6875,82.53968253968254,82.0,81.25,80.95238095238095,81.53846153846153,79.6875,80.84682054057053
2020-03-27,83.0,82.8125,80.0,82.0,82.8125,80.3030303030303,80.0,81.53846153846153,81.0,81.53846153846153,80.3030303030303,82.53968253968254,84.12698412698413,82.8125,84.12698412698413,82.0,82.8125,82.53968253968254,81.53846153846153,82.8125,82.03086392773892
2020-03-28,84.0,85.9375,83.07692307692308,84.0,84.375,80.3030303030303,84.61538461538461,84.61538461538461,86.0,83.07692307692308,83.33333333333333,87.3015873015873,85.71428571428571,84.375,85.71428571428571,86.0,85.9375,84.12698412698413,84.61538461538461,85.9375,84.65280032467531
2020-03-29,79.0,78.125,78.46153846153847,77.0,78.125,75.75757575757575,78.46153846153847,78.46153846153847,80.0,78.46153846153847,77.27272727272727,79.36507936507937,79.36507936507937,76.5625,80.95238095238095,80.0,78.125,77.77777777777777,78.46153846153847,78.125,78.39304063991565
2020-03-30,73.0,73.4375,70.76923076923077,73.0,73.4375,71.21212121212122,72.3076923076923,70.76923076923077,71.0,70.76923076923077,71.21212121212122,74.60317460317461,73.01587301587301,71.875,73.01587301587301,72.0,73.4375,73.01587301587301,72.3076923076923,73.4375,72.38115564990565
2020-03-31,69.0,68.75,69.23076923076923,67.0,68.75,66.66666666666667,69.23076923076923,66.15384615384616,68.0,67.6923076923077,66.66666666666667,66.66666666666667,69.84126984126983,67.1875,69.84126984126983,68.0,68.75,68.25396825396825,67.6923076923077,67.1875,68.0280753968254
2020-04-01,65.0,67.1875,66.15384615384616,66.0,67.1875,65.15151515151516,67.6923076923077,66.15384615384616,67.0,66.15384615384616,65.15151515151516,66.66666666666667,66.66666666666667,67.1875,69.84126984126983,68.0,67.1875,65.07936507936508,66.15384615384616,67.1875,66.64010954323454
2020-04-02,65.0,65.625,66.15384615384616,65.0,65.625,65.15151515151516,66.15384615384616,63.07692307692308,65.0,67.6923076923077,63.63636363636363,66.66666666666667,69.84126984126983,65.625,68.25396825396825,65.0,65.625,65.07936507936508,66.15384615384616,67.1875,65.8773708929959
2020-04-03,81.0,81.25,81.53846153846153,81.0,82.8125,78.78787878787878,81.53846153846153,81.53846153846153,81.0,81.53846153846153,78.78787878787878,82.53968253968254,82.53968253968254,79.6875,84.12698412698413,83.0,81.25,82.53968253968254,81.53846153846153,79.6875,81.38507985070484
2020-04-04,83.0,82.8125,83.07692307692308,81.0,82.8125,81.81818181818181,81.53846153846153,84.61538461538461,82.0,83.07692307692308,81.81818181818181,84.12698412698413,82.53968253968254,84.375,85.71428571428571,83.0,84.375,82.53968253968254,83.07692307692308,84.375,83.08458069708071
2020-04-05,83.0,81.25,84.61538461538461,82.0,82.8125,80.3030303030303,84.61538461538461,81.53846153846153,84.0,83.07692307692308,81.81818181818181,84.12698412698413,84.12698412698413,81.25,84.12698412698413,86.0,84.375,82.53968253968254,81.53846153846153,82.8125,82.99632312132312
2020-04-06,64.0,67.1875,66.15384615384616,66.0,68.75,65.15151515151516,67.6923076923077,64.61538461538461,66.0,67.6923076923077,63.63636363636363,66.66666666666667,66.66666666666667,67.1875,69.84126984126983,68.0,67.1875,65.07936507936508,66.15384615384616,65.625,66.46435196747697
2020-04-07,60.0,60.9375,60.0,61.0,60.9375,60.60606060606061,61.53846153846154,60.0,61.0,60.0,59.09090909090909,61.904761904761905,60.317460317460316,59.375,61.904761904761905,60.0,60.9375,61.904761904761905,60.0,60.9375,60.61960886335887
2020-04-08,58.0,57.8125,56.92307692307692,57.0,60.9375,57.57575757575758,58.46153846153846,58.46153846153846,59.0,58.46153846153846,57.57575757575758,58.73015873015873,60.317460317460316,57.8125,60.317460317460316,59.0,59.375,60.317460317460316,60.0,59.375,58.77271235708736
2020-04-09,54.0,54.6875,53.84615384615385,55.0,56.25,56.06060606060606,55.38461538461539,53.84615384615385,57.0,55.38461538461539,54.54545454545455,58.73015873015873,58.73015873015873,54.6875,57.142857142857146,56.0,54.6875,55.55555555555556,55.38461538461539,56.25,55.658672230547225
2020-04-10,56.0,57.8125,56.92307692307692,56.0,57.8125,54.54545454545455,56.92307692307692,56.92307692307692,57.0,56.92307692307692,54.54545454545455,58.73015873015873,58.73015873015873,57.8125,58.73015873015873,57.0,56.25,55.55555555555556,56.92307692307692,56.25,56.86949127261627
