date,/m/0fd23_0,/m/0fd23_1,/m/0fd23_2,/m/0fd23_3,/m/0fd23_4,/m/0fd23_5,/m/0fd23_6,/m/0fd23_7,/m/0fd23_8,/m/0fd23_9,/m/0fd23
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,23.0,0.0,5.913978494623656
2020-02-02,25.0,27.0,0.0,31.0,23.0,0.0,20.0,0.0,0.0,0.0,16.93548387096774
2020-02-03,22.0,0.0,49.0,54.0,0.0,0.0,17.0,25.0,20.0,0.0,25.134408602150536
2020-02-04,25.0,53.0,57.0,95.0,0.0,45.0,38.0,29.0,46.0,0.0,52.15053763440859
2020-02-05,25.0,27.0,29.0,64.0,22.0,23.0,0.0,28.0,23.0,22.0,35.34946236559139
2020-02-06,26.0,0.0,0.0,33.0,0.0,24.0,21.0,59.0,0.0,0.0,21.908602150537632
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,26.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.618279569892472
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,71.0,26.0,27.0,30.0,42.0,65.0,38.0,54.0,22.0,44.0,56.317204301075265
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,23.0,0.0,0.0,30.0,21.0,22.0,0.0,27.0,22.0,22.0,22.446236559139784
2020-02-13,0.0,28.0,0.0,0.0,0.0,23.0,0.0,0.0,24.0,0.0,10.080645161290322
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,30.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,8.602150537634408
2020-02-16,51.0,28.0,87.0,33.0,47.0,24.0,20.0,0.0,23.0,23.0,45.16129032258064
2020-02-17,0.0,0.0,0.0,0.0,22.0,0.0,19.0,0.0,0.0,22.0,8.46774193548387
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,25.0,27.0,0.0,0.0,23.0,0.0,20.0,0.0,23.0,0.0,15.86021505376344
2020-02-20,25.0,55.0,0.0,63.0,23.0,0.0,0.0,59.0,23.0,0.0,33.33333333333333
2020-02-21,25.0,0.0,58.0,67.0,24.0,24.0,64.0,61.0,0.0,0.0,43.41397849462365
2020-02-22,0.0,30.0,32.0,0.0,25.0,0.0,22.0,0.0,25.0,0.0,18.01075268817204
2020-02-23,0.0,0.0,29.0,33.0,23.0,0.0,20.0,29.0,0.0,47.0,24.327956989247312
2020-02-24,49.0,0.0,0.0,0.0,46.0,0.0,20.0,28.0,44.0,22.0,28.091397849462364
2020-02-25,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,5.913978494623656
2020-02-26,24.0,0.0,0.0,29.0,21.0,0.0,19.0,27.0,22.0,43.0,24.86559139784946
2020-02-27,23.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.0,0.0,10.618279569892472
2020-02-28,0.0,27.0,28.0,32.0,66.0,0.0,59.0,28.0,23.0,69.0,44.623655913978496
2020-02-29,26.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,23.0,0.0,10.75268817204301
2020-03-01,0.0,0.0,0.0,0.0,0.0,22.0,19.0,28.0,22.0,0.0,12.231182795698924
2020-03-02,23.0,25.0,27.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,15.725806451612902
2020-03-03,24.0,78.0,54.0,30.0,22.0,0.0,39.0,0.0,67.0,22.0,45.16129032258064
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,26.0,0.0,30.0,0.0,43.0,19.0,27.0,0.0,0.0,19.489247311827956
2020-03-06,0.0,26.0,28.0,61.0,0.0,0.0,19.0,0.0,22.0,0.0,20.96774193548387
2020-03-07,26.0,28.0,60.0,0.0,24.0,23.0,0.0,30.0,0.0,23.0,28.763440860215052
2020-03-08,0.0,0.0,27.0,30.0,0.0,0.0,0.0,27.0,0.0,0.0,11.29032258064516
2020-03-09,0.0,25.0,0.0,0.0,21.0,22.0,0.0,27.0,0.0,21.0,15.591397849462364
2020-03-10,47.0,51.0,0.0,59.0,21.0,43.0,38.0,52.0,86.0,21.0,56.18279569892473
2020-03-11,23.0,50.0,53.0,29.0,0.0,0.0,0.0,53.0,43.0,21.0,36.55913978494623
2020-03-12,0.0,51.0,27.0,0.0,0.0,0.0,0.0,28.0,64.0,43.0,28.629032258064512
2020-03-13,0.0,56.0,56.0,0.0,22.0,23.0,79.0,28.0,23.0,0.0,38.5752688172043
2020-03-14,0.0,28.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,23.0,13.037634408602148
2020-03-15,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.408602150537634
2020-03-16,43.0,23.0,0.0,53.0,0.0,20.0,0.0,0.0,19.0,0.0,21.236559139784944
2020-03-17,20.0,22.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,37.0,15.32258064516129
2020-03-18,0.0,47.0,25.0,54.0,56.0,0.0,34.0,48.0,39.0,19.0,43.27956989247312
2020-03-19,67.0,72.0,51.0,28.0,39.0,81.0,68.0,50.0,81.0,82.0,83.19892473118279
2020-03-20,21.0,23.0,25.0,54.0,19.0,19.0,34.0,0.0,19.0,38.0,33.87096774193548
2020-03-21,23.0,50.0,52.0,0.0,40.0,64.0,36.0,26.0,22.0,0.0,42.06989247311827
2020-03-22,23.0,100.0,79.0,29.0,62.0,21.0,36.0,53.0,0.0,42.0,59.81182795698924
2020-03-23,0.0,0.0,21.0,24.0,17.0,0.0,0.0,21.0,17.0,0.0,13.440860215053762
