date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2021-04-18,22.0,29.0,17.0,22.0,28.0,25.0,23.0,27.0,28.0,19.0,24.0
2021-04-19,39.0,54.0,45.0,43.0,41.0,39.0,30.0,31.0,46.0,36.0,40.4
2021-04-20,34.0,33.0,33.0,32.0,30.0,38.0,28.0,35.0,40.0,27.0,33.0
2021-04-21,29.0,40.0,31.0,29.0,30.0,24.0,33.0,21.0,43.0,32.0,31.2
2021-04-22,32.0,48.0,40.0,32.0,41.0,46.0,26.0,34.0,32.0,44.0,37.5
2021-04-23,18.0,31.0,21.0,28.0,25.0,17.0,18.0,23.0,24.0,17.0,22.2
2021-04-24,20.0,22.0,20.0,13.0,12.0,18.0,11.0,17.0,17.0,13.0,16.3
2021-04-25,17.0,9.0,15.0,15.0,18.0,16.0,13.0,22.0,12.0,14.0,15.1
2021-04-26,17.0,33.0,21.0,24.0,23.0,15.0,19.0,16.0,16.0,22.0,20.6
2021-04-27,20.0,27.0,21.0,19.0,22.0,26.0,25.0,23.0,23.0,33.0,23.9
2021-04-28,18.0,18.0,25.0,24.0,25.0,28.0,24.0,20.0,28.0,29.0,23.9
2021-04-29,24.0,32.0,33.0,25.0,29.0,30.0,30.0,29.0,32.0,24.0,28.8
2021-04-30,39.0,50.0,37.0,31.0,39.0,35.0,37.0,35.0,37.0,43.0,38.3
2021-05-01,36.0,35.0,32.0,31.0,29.0,35.0,25.0,24.0,29.0,28.0,30.4
2021-05-02,15.0,19.0,17.0,15.0,20.0,17.0,20.0,13.0,16.0,18.0,17.0
2021-05-03,38.0,40.0,39.0,28.0,40.0,36.0,32.0,42.0,42.0,45.0,38.2
2021-05-04,21.0,23.0,24.0,21.0,29.0,36.0,25.0,30.0,34.0,32.0,27.5
2021-05-05,27.0,32.0,24.0,29.0,26.0,45.0,27.0,27.0,23.0,26.0,28.6
2021-05-06,44.0,52.0,40.0,42.0,46.0,46.0,31.0,44.0,44.0,43.0,43.2
2021-05-07,47.0,34.0,40.0,33.0,47.0,45.0,44.0,46.0,37.0,37.0,41.0
2021-05-08,36.0,28.0,25.0,26.0,30.0,33.0,24.0,27.0,26.0,25.0,28.0
2021-05-09,18.0,30.0,26.0,21.0,25.0,25.0,28.0,26.0,29.0,26.0,25.4
2021-05-10,41.0,50.0,40.0,33.0,44.0,31.0,26.0,44.0,37.0,44.0,39.0
2021-05-11,51.0,44.0,47.0,45.0,53.0,40.0,48.0,55.0,42.0,43.0,46.8
2021-05-12,58.0,59.0,54.0,53.0,57.0,47.0,53.0,59.0,60.0,54.0,55.4
2021-05-13,37.0,38.0,35.0,21.0,40.0,39.0,35.0,48.0,30.0,37.0,36.0
2021-05-14,31.0,34.0,46.0,34.0,41.0,35.0,35.0,36.0,34.0,44.0,37.0
2021-05-15,40.0,46.0,40.0,32.0,34.0,37.0,29.0,34.0,24.0,42.0,35.8
2021-05-16,16.0,25.0,22.0,21.0,28.0,22.0,21.0,24.0,22.0,19.0,22.0
2021-05-17,23.0,30.0,35.0,25.0,35.0,38.0,34.0,39.0,33.0,30.0,32.2
2021-05-18,26.0,32.0,28.0,28.0,23.0,26.0,36.0,26.0,24.0,35.0,28.4
2021-05-19,33.0,41.0,36.0,27.0,43.0,28.0,43.0,29.0,36.0,32.0,34.8
2021-05-20,50.0,52.0,52.0,39.0,46.0,38.0,39.0,47.0,52.0,50.0,46.5
2021-05-21,37.0,39.0,36.0,26.0,53.0,32.0,33.0,33.0,42.0,47.0,37.8
2021-05-22,18.0,24.0,19.0,23.0,11.0,22.0,13.0,19.0,13.0,23.0,18.5
2021-05-23,15.0,19.0,13.0,12.0,15.0,11.0,19.0,17.0,18.0,18.0,15.7
2021-05-24,22.0,29.0,27.0,21.0,32.0,25.0,28.0,19.0,27.0,32.0,26.2
2021-05-25,27.0,25.0,18.0,39.0,38.0,26.0,26.0,24.0,37.0,29.0,28.9
2021-05-26,32.0,37.0,25.0,18.0,34.0,32.0,24.0,20.0,28.0,19.0,26.9
2021-05-27,28.0,35.0,38.0,28.0,38.0,28.0,29.0,31.0,31.0,33.0,31.9
2021-05-28,29.0,27.0,35.0,27.0,35.0,31.0,26.0,31.0,33.0,41.0,31.5
2021-05-29,24.0,29.0,28.0,21.0,30.0,22.0,20.0,30.0,18.0,27.0,24.9
2021-05-30,21.0,16.0,12.0,22.0,19.0,23.0,24.0,18.0,17.0,28.0,20.0
2021-05-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
