date,/g/1213j0cz_0,/g/1213j0cz_1,/g/1213j0cz_2,/g/1213j0cz_3,/g/1213j0cz_4,/g/1213j0cz_5,/g/1213j0cz_6,/g/1213j0cz_7,/g/1213j0cz_8,/g/1213j0cz_9,/g/1213j0cz_10,/g/1213j0cz_11,/g/1213j0cz_12,/g/1213j0cz_13,/g/1213j0cz_14,/g/1213j0cz_15,/g/1213j0cz_16,/g/1213j0cz_17,/g/1213j0cz_18,/g/1213j0cz_19,/g/1213j0cz
2020-10-05,0.0,49.0,0.0,0.0,48.0,0.0,45.0,47.0,0.0,0.0,0.0,88.0,44.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,28.828828828828833
2020-10-06,91.0,0.0,31.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,90.0,0.0,47.0,0.0,84.0,0.0,0.0,89.0,0.0,50.0,43.40704340704341
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,0.0,55.0,0.0,51.0,0.0,53.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,52.0,96.0,0.0,0.0,0.0,33.333333333333336
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,7.944307944307944
2020-10-11,0.0,55.0,35.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,100.0,0.0,36.0,0.0,0.0,0.0,0.0,100.0,55.0,35.62653562653563
2020-10-12,94.0,0.0,0.0,49.0,0.0,50.0,49.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,93.0,0.0,42.50614250614251
2020-10-13,95.0,0.0,0.0,50.0,51.0,0.0,100.0,0.0,0.0,98.0,97.0,96.0,0.0,35.0,89.0,100.0,93.0,94.0,95.0,53.0,93.85749385749386
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15,96.0,0.0,33.0,0.0,0.0,0.0,49.0,0.0,88.0,99.0,0.0,0.0,0.0,0.0,89.0,49.0,91.0,0.0,0.0,52.0,52.9074529074529
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,8.026208026208028
2020-10-18,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,21.212121212121215
