date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2021-04-18,19.0,17.0,29.0,23.0,24.0,18.0,22.0,25.0,17.0,22.0,21.6
2021-04-19,28.0,39.0,37.0,27.0,28.0,23.0,32.0,38.0,32.0,35.0,31.9
2021-04-20,37.0,37.0,44.0,40.0,47.0,36.0,42.0,39.0,28.0,35.0,38.5
2021-04-21,48.0,43.0,38.0,35.0,49.0,36.0,53.0,44.0,33.0,44.0,42.3
2021-04-22,27.0,36.0,29.0,37.0,36.0,30.0,36.0,28.0,31.0,36.0,32.6
2021-04-23,23.0,28.0,26.0,32.0,24.0,17.0,22.0,21.0,22.0,28.0,24.3
2021-04-24,17.0,14.0,11.0,20.0,23.0,19.0,29.0,15.0,14.0,18.0,18.0
2021-04-25,16.0,16.0,11.0,9.0,15.0,14.0,16.0,12.0,11.0,9.0,12.9
2021-04-26,20.0,22.0,19.0,25.0,24.0,21.0,19.0,17.0,13.0,20.0,20.0
2021-04-27,21.0,25.0,20.0,23.0,15.0,19.0,21.0,25.0,16.0,21.0,20.6
2021-04-28,24.0,24.0,28.0,28.0,22.0,19.0,29.0,26.0,26.0,25.0,25.1
2021-04-29,43.0,26.0,31.0,24.0,38.0,35.0,26.0,25.0,20.0,33.0,30.1
2021-04-30,41.0,47.0,48.0,33.0,34.0,34.0,45.0,29.0,24.0,29.0,36.4
2021-05-01,26.0,26.0,27.0,22.0,22.0,20.0,28.0,26.0,22.0,33.0,25.2
2021-05-02,20.0,28.0,19.0,19.0,19.0,12.0,26.0,18.0,20.0,22.0,20.3
2021-05-03,19.0,39.0,28.0,26.0,31.0,29.0,28.0,27.0,23.0,31.0,28.1
2021-05-04,19.0,39.0,28.0,21.0,37.0,29.0,26.0,29.0,26.0,26.0,28.0
2021-05-05,28.0,23.0,16.0,28.0,25.0,24.0,28.0,25.0,19.0,23.0,23.9
2021-05-06,39.0,33.0,41.0,31.0,24.0,25.0,32.0,32.0,37.0,41.0,33.5
2021-05-07,36.0,43.0,35.0,36.0,34.0,33.0,37.0,32.0,35.0,33.0,35.4
2021-05-08,26.0,26.0,25.0,29.0,28.0,20.0,39.0,18.0,25.0,23.0,25.9
2021-05-09,17.0,23.0,29.0,23.0,26.0,17.0,18.0,26.0,18.0,20.0,21.7
2021-05-10,36.0,33.0,38.0,28.0,36.0,35.0,41.0,36.0,36.0,23.0,34.2
2021-05-11,44.0,52.0,34.0,50.0,48.0,38.0,39.0,48.0,40.0,40.0,43.3
2021-05-12,41.0,48.0,41.0,41.0,35.0,36.0,41.0,37.0,30.0,33.0,38.3
2021-05-13,34.0,32.0,33.0,42.0,35.0,37.0,35.0,39.0,26.0,20.0,33.3
2021-05-14,39.0,30.0,34.0,26.0,33.0,32.0,38.0,30.0,27.0,30.0,31.9
2021-05-15,25.0,29.0,17.0,10.0,29.0,18.0,22.0,28.0,23.0,32.0,23.3
2021-05-16,21.0,36.0,22.0,23.0,23.0,28.0,20.0,28.0,19.0,34.0,25.4
2021-05-17,36.0,29.0,18.0,32.0,30.0,22.0,33.0,38.0,33.0,26.0,29.7
2021-05-18,32.0,34.0,39.0,26.0,38.0,36.0,32.0,31.0,27.0,41.0,33.6
2021-05-19,27.0,33.0,30.0,27.0,30.0,30.0,37.0,32.0,28.0,36.0,31.0
2021-05-20,29.0,22.0,30.0,23.0,26.0,26.0,24.0,32.0,27.0,22.0,26.1
2021-05-21,29.0,28.0,30.0,31.0,32.0,24.0,34.0,32.0,27.0,29.0,29.6
2021-05-22,18.0,23.0,21.0,11.0,15.0,16.0,15.0,16.0,17.0,27.0,17.9
2021-05-23,15.0,14.0,13.0,24.0,19.0,9.0,24.0,20.0,17.0,12.0,16.7
2021-05-24,22.0,30.0,32.0,26.0,22.0,20.0,32.0,28.0,26.0,23.0,26.1
2021-05-25,46.0,33.0,37.0,27.0,37.0,32.0,37.0,32.0,31.0,34.0,34.6
2021-05-26,27.0,28.0,17.0,26.0,26.0,21.0,34.0,30.0,19.0,30.0,25.8
2021-05-27,31.0,23.0,18.0,20.0,22.0,17.0,23.0,27.0,23.0,23.0,22.7
2021-05-28,32.0,33.0,39.0,23.0,30.0,29.0,27.0,23.0,30.0,28.0,29.4
2021-05-29,33.0,22.0,37.0,31.0,34.0,28.0,32.0,25.0,27.0,23.0,29.2
2021-05-30,30.0,31.0,35.0,27.0,38.0,31.0,29.0,29.0,18.0,30.0,29.8
2021-05-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
