date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc
2020-02-01,11.0,6.0,4.0,12.0,7.0,8.0,10.0,11.0,10.0,7.0,9.492273730684328
2020-02-02,8.0,12.0,4.0,11.0,10.0,11.0,17.0,11.0,13.0,7.0,11.479028697571744
2020-02-03,5.0,8.0,13.0,10.0,6.0,10.0,14.0,12.0,6.0,15.0,10.927152317880795
2020-02-04,8.0,9.0,22.0,19.0,10.0,15.0,16.0,11.0,13.0,13.0,15.01103752759382
2020-02-05,8.0,12.0,4.0,19.0,14.0,15.0,7.0,7.0,16.0,10.0,12.362030905077264
2020-02-06,11.0,10.0,27.0,8.0,10.0,23.0,13.0,22.0,10.0,17.0,16.666666666666668
2020-02-07,6.0,6.0,0.0,8.0,7.0,11.0,3.0,7.0,7.0,3.0,6.401766004415012
2020-02-08,18.0,9.0,11.0,16.0,7.0,4.0,10.0,14.0,17.0,3.0,12.030905077262695
2020-02-09,11.0,3.0,14.0,18.0,9.0,10.0,6.0,3.0,0.0,9.0,9.161147902869759
2020-02-10,5.0,6.0,14.0,11.0,3.0,3.0,3.0,3.0,12.0,6.0,7.284768211920531
2020-02-11,11.0,3.0,11.0,11.0,9.0,14.0,0.0,7.0,13.0,10.0,9.823399558498897
2020-02-12,18.0,15.0,7.0,11.0,6.0,17.0,9.0,10.0,22.0,12.0,14.01766004415011
2020-02-13,8.0,12.0,7.0,19.0,10.0,7.0,6.0,14.0,9.0,3.0,10.485651214128035
2020-02-14,14.0,3.0,7.0,16.0,13.0,7.0,6.0,7.0,7.0,14.0,10.375275938189846
2020-02-15,9.0,13.0,15.0,12.0,10.0,11.0,10.0,4.0,10.0,3.0,10.706401766004415
2020-02-16,3.0,6.0,7.0,4.0,7.0,0.0,3.0,0.0,3.0,6.0,4.304635761589404
2020-02-17,8.0,6.0,10.0,15.0,16.0,11.0,12.0,10.0,0.0,6.0,10.375275938189846
2020-02-18,8.0,12.0,11.0,4.0,3.0,17.0,13.0,10.0,12.0,3.0,10.264900662251657
2020-02-19,8.0,6.0,11.0,15.0,6.0,14.0,3.0,7.0,9.0,9.0,9.713024282560708
2020-02-20,11.0,0.0,7.0,0.0,3.0,7.0,3.0,0.0,13.0,10.0,5.960264900662252
2020-02-21,6.0,3.0,8.0,4.0,0.0,0.0,7.0,14.0,3.0,0.0,4.966887417218543
