date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2020-03-28,72.0,74.0,77.0,45.0,100.0,52.0,27.0,26.0,86.0,24.0,76.3089005235602
2020-03-29,12.0,53.0,33.0,46.0,11.0,31.0,18.0,35.0,32.0,8.0,36.51832460732984
2020-03-30,20.0,36.0,28.0,39.0,38.0,26.0,23.0,0.0,18.0,14.0,31.675392670157066
2020-03-31,10.0,35.0,28.0,38.0,9.0,0.0,8.0,15.0,27.0,26.0,25.654450261780106
2020-04-01,31.0,36.0,48.0,40.0,77.0,54.0,47.0,53.0,46.0,34.0,60.994764397905755
2020-04-02,41.0,18.0,19.0,20.0,19.0,27.0,0.0,8.0,9.0,7.0,21.989528795811516
2020-04-03,32.0,0.0,20.0,21.0,10.0,9.0,24.0,8.0,38.0,14.0,23.036649214659686
2020-04-04,49.0,32.0,46.0,47.0,35.0,43.0,37.0,27.0,55.0,32.0,52.74869109947643
2020-04-05,60.0,43.0,23.0,47.0,57.0,73.0,55.0,17.0,53.0,32.0,60.209424083769626
2020-04-06,49.0,26.0,65.0,48.0,37.0,34.0,53.0,22.0,45.0,26.0,53.01047120418848
2020-04-07,20.0,45.0,29.0,50.0,29.0,36.0,16.0,45.0,19.0,7.0,38.74345549738219
2020-04-08,62.0,46.0,49.0,71.0,78.0,64.0,56.0,46.0,67.0,34.0,75.0
2020-04-09,42.0,37.0,20.0,0.0,39.0,37.0,0.0,8.0,19.0,42.0,31.937172774869108
2020-04-10,11.0,29.0,30.0,42.0,51.0,38.0,16.0,24.0,58.0,21.0,41.8848167539267
2020-04-11,24.0,53.0,33.0,35.0,11.0,21.0,18.0,26.0,32.0,39.0,38.21989528795811
2020-04-12,73.0,53.0,23.0,12.0,34.0,21.0,37.0,18.0,11.0,40.0,42.146596858638745
2020-04-13,65.0,48.0,21.0,21.0,31.0,58.0,42.0,32.0,59.0,58.0,56.937172774869104
2020-04-14,53.0,47.0,20.0,31.0,20.0,19.0,24.0,15.0,19.0,7.0,33.37696335078534
2020-04-15,32.0,19.0,50.0,10.0,30.0,19.0,16.0,8.0,38.0,0.0,29.057591623036647
2020-04-16,54.0,38.0,20.0,31.0,30.0,38.0,49.0,8.0,19.0,21.0,40.31413612565445
