date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-11-18,36.0,46.0,51.0,44.0,19.0,51.0,20.0,31.0,35.0,20.224719101123604,35.0,39.0,38.0,19.0,17.0,34.0,54.0,31.0,17.0,45.0,40.78455079764903
2020-11-19,18.0,16.0,15.0,36.0,29.0,10.0,20.0,73.0,17.0,50.56179775280898,43.0,19.0,37.0,31.0,26.0,14.0,36.0,12.0,26.0,38.0,33.87002518891688
2020-11-20,12.0,8.0,45.0,45.0,49.0,42.0,41.0,21.0,35.0,21.348314606741575,52.0,77.0,58.0,19.0,71.0,28.0,0.0,13.0,52.0,58.0,44.67774979009236
2020-11-21,19.0,16.0,15.0,19.0,20.0,11.0,20.0,11.0,36.0,21.348314606741575,45.0,50.0,30.0,46.0,18.0,0.0,9.0,13.0,18.0,0.0,24.94979009235936
2020-11-22,6.0,24.0,23.0,9.0,10.0,32.0,28.0,22.0,37.0,10.112359550561797,37.0,10.0,30.0,33.0,28.0,14.0,10.0,13.0,0.0,34.0,24.517212426532325
2020-11-23,30.0,40.0,53.0,18.0,29.0,42.0,13.0,73.0,26.0,73.03370786516854,35.0,78.0,19.0,38.0,17.0,55.0,83.0,51.0,26.0,32.0,49.680604534005035
2020-11-24,46.0,31.0,50.0,53.0,57.0,40.0,46.0,20.0,42.0,50.56179775280898,34.0,56.0,28.0,19.0,25.0,33.0,62.0,30.0,25.0,43.0,47.26112510495382
2020-11-25,28.0,30.0,64.0,35.0,56.0,50.0,25.0,71.0,50.0,39.325842696629216,42.0,65.0,65.0,31.0,42.0,26.0,9.0,24.0,58.0,31.0,50.295885810243504
2020-11-26,42.0,24.0,37.0,18.0,19.0,72.0,20.0,84.0,35.0,30.337078651685392,61.0,58.0,67.0,57.0,61.0,34.0,9.0,24.0,69.0,71.0,53.3454240134341
2020-11-27,6.0,47.0,14.0,26.0,9.0,51.0,0.0,21.0,51.0,0.0,60.0,38.0,47.0,12.0,17.0,20.0,36.0,48.0,25.0,6.0,31.92342569269521
