date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06
2021-04-23,28.0,37.0,30.0,59.0,65.0,47.0,69.0,32.0,38.0,56.0,59.25449871465296
2021-04-24,82.0,33.0,18.0,42.0,51.0,67.0,40.0,51.0,67.0,81.0,68.38046272493574
2021-04-25,64.0,31.0,36.0,46.0,72.0,72.0,61.0,47.0,38.0,35.0,64.52442159383034
2021-04-26,37.0,38.0,42.0,35.0,57.0,76.0,34.0,56.0,33.0,37.0,57.19794344473008
2021-04-27,25.0,27.0,5.0,12.0,51.0,21.0,33.0,21.0,28.0,32.0,32.77634961439589
2021-04-28,62.0,21.0,31.0,46.0,72.0,90.0,59.0,50.0,51.0,31.0,65.93830334190231
2021-04-29,42.0,16.0,41.0,52.0,42.0,83.0,33.0,28.0,59.0,31.0,54.88431876606684
2021-04-30,73.0,37.0,57.0,62.0,97.0,34.0,59.0,49.0,50.0,74.0,76.09254498714654
2021-05-01,32.0,11.0,21.0,6.0,7.0,22.0,28.0,22.0,17.0,20.0,23.907455012853475
2021-05-02,26.0,29.0,38.0,37.0,61.0,44.0,36.0,30.0,48.0,33.0,49.10025706940875
2021-05-03,38.0,48.0,37.0,53.0,50.0,49.0,41.0,65.0,56.0,44.0,61.825192802056556
2021-05-04,61.0,37.0,51.0,68.0,62.0,69.0,78.0,90.0,71.0,66.0,83.9331619537275
2021-05-05,25.0,28.0,37.0,29.0,29.0,36.0,34.0,36.0,34.0,39.0,42.03084832904885
2021-05-06,31.0,27.0,21.0,29.0,29.0,43.0,41.0,21.0,34.0,38.0,40.35989717223651
2021-05-07,61.0,36.0,29.0,45.0,54.0,47.0,37.0,31.0,37.0,35.0,52.95629820051414
2021-05-08,14.0,36.0,28.0,26.0,55.0,40.0,37.0,16.0,24.0,14.0,37.275064267352185
2021-05-09,21.0,48.0,40.0,26.0,55.0,38.0,36.0,39.0,30.0,48.0,48.97172236503856
2021-05-10,19.0,50.0,26.0,47.0,57.0,57.0,55.0,58.0,29.0,38.0,56.041131105398456
2021-05-11,99.0,16.0,26.0,30.0,36.0,35.0,60.0,43.0,50.0,45.0,56.55526992287918
2021-05-12,60.0,28.0,27.0,30.0,45.0,44.0,43.0,60.0,46.0,20.0,51.79948586118252
2021-05-13,48.0,48.0,41.0,58.0,64.0,47.0,67.0,64.0,43.0,77.0,71.59383033419023
