date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-01-29,8.0,0.0,28.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,12.0,8.0,10.0,8.0,0.0,10.0,10.0,8.891454965357969
2020-01-30,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,1.9630484988452657
2020-01-31,17.0,37.0,9.0,17.0,20.0,22.0,18.0,14.0,17.0,13.0,18.0,0.0,37.0,26.0,17.0,20.0,17.0,10.0,32.0,20.0,21.99769053117783
2020-02-01,9.0,20.0,20.0,18.0,11.0,23.0,19.0,8.0,28.0,0.0,9.0,37.0,0.0,13.0,9.0,22.0,18.0,32.0,11.0,11.0,18.360277136258663
2020-02-02,0.0,9.0,19.0,8.0,0.0,22.0,9.0,7.0,9.0,0.0,9.0,11.0,0.0,12.0,8.0,0.0,8.0,0.0,10.0,0.0,8.140877598152425
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,8.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,3.1755196304849886
2020-02-06,9.0,10.0,10.0,17.0,21.0,23.0,0.0,23.0,9.0,13.0,9.0,12.0,26.0,53.0,18.0,21.0,0.0,11.0,11.0,0.0,17.090069284064665
2020-02-07,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,11.0,3.637413394919169
2020-02-08,0.0,10.0,0.0,0.0,21.0,12.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,27.0,18.0,0.0,0.0,0.0,11.0,0.0,6.928406466512703
2020-02-09,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,12.0,0.0,0.0,8.0,9.0,10.0,10.0,4.5612009237875295
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,8.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,8.0,11.0,23.0,12.0,8.0,0.0,16.0,0.0,19.0,10.0,7.852193995381063
2020-02-12,0.0,0.0,0.0,8.0,10.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,3.348729792147806
