date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2021-04-18,68.0,97.0,49.0,31.0,41.0,55.84415584415584,65.0,100.0,89.0,73.80952380952381,76.42711040404741
2021-04-19,85.0,40.0,34.0,68.0,46.0,54.54545454545455,51.0,28.0,47.0,64.28571428571429,59.09971245343426
2021-04-20,90.0,88.0,62.0,97.0,66.0,50.64935064935065,97.0,75.0,81.0,70.23809523809524,88.66562583373683
2021-04-21,62.0,58.0,38.0,42.0,53.0,55.84415584415584,76.0,34.0,60.0,63.095238095238095,61.851167478582234
2021-04-22,68.0,36.0,75.0,87.0,70.0,62.33766233766234,45.0,67.0,68.0,57.142857142857146,72.52695131471033
2021-04-23,38.0,44.0,30.0,46.0,46.0,55.84415584415584,64.0,46.0,36.0,44.04761904761905,51.34583650359187
2021-04-24,70.0,100.0,50.0,80.0,81.0,71.42857142857143,70.0,62.0,64.0,52.38095238095238,79.98290530725981
2021-04-25,72.0,60.0,56.0,48.0,68.0,44.15584415584416,79.0,38.0,36.0,25.0,60.04980187942806
2021-04-26,59.0,36.0,46.0,63.0,63.0,42.857142857142854,44.0,44.0,26.0,54.76190476190476,54.624460232606395
2021-04-27,31.0,70.0,69.0,98.0,91.0,80.51948051948052,62.0,78.0,66.0,80.95238095238095,82.91173012124386
2021-04-28,83.0,65.0,54.0,55.0,62.0,54.54545454545455,75.0,72.0,74.0,48.80952380952381,73.42565784923075
2021-04-29,54.0,83.0,60.0,100.0,63.0,74.02597402597402,84.0,62.0,60.0,78.57142857142857,82.01302358672346
2021-04-30,84.0,40.0,55.0,44.0,61.0,49.35064935064935,28.0,63.0,63.0,60.714285714285715,62.55027124237903
2021-05-01,43.0,35.0,52.0,69.0,71.0,51.94805194805195,54.0,76.0,57.0,40.476190476190474,62.70540804932757
2021-05-02,51.0,45.0,62.0,67.0,61.0,50.64935064935065,89.0,60.0,46.0,53.57142857142857,66.7908419877274
