date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2020-02-01,37.0,44.0,22.0,24.0,75.0,46.0,68.0,67.0,22.0,46.0,59.2641261498029
2020-02-02,18.0,53.0,31.0,23.0,29.0,44.0,33.0,64.0,55.0,18.0,48.35742444152431
2020-02-03,40.0,46.0,45.0,34.0,51.0,19.0,38.0,18.0,29.0,32.0,46.25492772667543
2020-02-04,9.0,42.0,10.0,22.0,70.0,32.0,11.0,31.0,32.0,44.0,39.816031537450726
2020-02-05,52.0,30.0,30.0,37.0,14.0,11.0,85.0,41.0,85.0,60.0,58.47568988173457
2020-02-06,27.0,21.0,11.0,31.0,29.0,34.0,56.0,21.0,23.0,37.0,38.107752956636006
2020-02-07,9.0,11.0,22.0,8.0,15.0,12.0,34.0,44.0,0.0,28.0,24.047306176084103
2020-02-08,28.0,32.0,32.0,32.0,30.0,23.0,23.0,33.0,23.0,0.0,33.63994743758213
2020-02-09,35.0,41.0,0.0,23.0,85.0,43.0,0.0,53.0,21.0,26.0,42.96977660972406
2020-02-10,76.0,39.0,48.0,73.0,81.0,41.0,52.0,100.0,62.0,25.0,78.44940867279895
2020-02-11,18.0,41.0,20.0,30.0,0.0,11.0,32.0,31.0,11.0,61.0,33.50854139290408
2020-02-12,35.0,41.0,50.0,7.0,0.0,43.0,22.0,42.0,64.0,26.0,43.36399474375822
2020-02-13,18.0,41.0,61.0,15.0,71.0,22.0,43.0,21.0,65.0,26.0,50.32851511169513
2020-02-14,36.0,11.0,31.0,15.0,30.0,34.0,22.0,22.0,22.0,27.0,32.8515111695138
2020-02-15,10.0,45.0,23.0,33.0,31.0,36.0,12.0,0.0,12.0,29.0,30.35479632063075
2020-02-16,36.0,32.0,31.0,16.0,29.0,45.0,23.0,11.0,44.0,37.0,39.94743758212878
2020-02-17,17.0,20.0,20.0,15.0,0.0,32.0,42.0,31.0,21.0,9.0,27.201051248357427
2020-02-18,35.0,72.0,51.0,38.0,70.0,32.0,21.0,73.0,32.0,53.0,62.68068331143233
2020-02-19,36.0,54.0,32.0,23.0,44.0,23.0,11.0,11.0,22.0,27.0,37.18791064388962
2020-02-20,9.0,22.0,11.0,23.0,45.0,11.0,11.0,32.0,11.0,28.0,26.675427069645206
2020-02-21,19.0,33.0,11.0,24.0,47.0,24.0,23.0,34.0,47.0,0.0,34.42838370565046
2020-02-22,10.0,23.0,23.0,8.0,16.0,24.0,24.0,12.0,36.0,10.0,24.44152431011827
2020-02-23,68.0,44.0,66.0,25.0,77.0,24.0,71.0,34.0,35.0,38.0,63.337713534822605
2020-02-24,18.0,31.0,41.0,15.0,43.0,44.0,32.0,31.0,33.0,18.0,40.21024967148489
2020-02-25,18.0,42.0,52.0,31.0,57.0,33.0,54.0,21.0,22.0,35.0,47.96320630749015
2020-02-26,54.0,60.0,10.0,30.0,97.0,43.0,75.0,41.0,32.0,26.0,61.49802890932983
2020-02-27,46.0,63.0,21.0,39.0,88.0,56.0,45.0,32.0,22.0,63.0,62.41787122207622
2020-02-28,19.0,45.0,32.0,24.0,45.0,12.0,12.0,33.0,58.0,19.0,39.290407358738506
2020-02-29,79.0,92.0,58.0,42.0,79.0,48.0,61.0,71.0,84.0,40.0,85.93955321944811
2020-03-01,9.0,45.0,44.0,58.0,31.0,47.0,47.0,68.0,71.0,77.0,65.30880420499344
2020-03-02,0.0,31.0,31.0,30.0,57.0,22.0,22.0,21.0,44.0,18.0,36.26806833114323
2020-03-03,28.0,11.0,32.0,0.0,45.0,23.0,56.0,22.0,34.0,18.0,35.34822601839685
2020-03-04,26.0,40.0,30.0,15.0,55.0,32.0,32.0,31.0,53.0,35.0,45.860709592641264
2020-03-05,18.0,41.0,40.0,15.0,70.0,32.0,22.0,21.0,11.0,44.0,41.26149802890933
2020-03-06,9.0,21.0,21.0,16.0,58.0,11.0,45.0,11.0,11.0,37.0,31.537450722733247
2020-03-07,29.0,34.0,57.0,0.0,63.0,36.0,24.0,47.0,24.0,49.0,47.70039421813403
2020-03-08,18.0,52.0,31.0,15.0,29.0,22.0,33.0,0.0,55.0,27.0,37.056504599211564
2020-03-09,0.0,30.0,0.0,15.0,68.0,42.0,21.0,0.0,52.0,17.0,32.19448094612353
2020-03-10,34.0,29.0,67.0,21.0,40.0,41.0,51.0,29.0,51.0,17.0,49.93429697766098
2020-03-11,32.0,47.0,56.0,21.0,52.0,20.0,30.0,38.0,40.0,24.0,47.306176084099874
2020-03-12,42.0,48.0,29.0,14.0,27.0,51.0,41.0,49.0,20.0,25.0,45.4664914586071
2020-03-13,53.0,83.0,31.0,22.0,99.0,76.0,54.0,31.0,22.0,35.0,66.49145860709594
