date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-11-04,14.0,0.0,22.0,0.0,0.0,24.0,18.0,59.34065934065934,91.0,96.0,30.0,26.0,27.0,0.0,67.0,61.0,0.0,58.0,58.0,52.05479452054794,47.958631634274
2020-11-05,100.0,27.0,69.0,61.0,76.0,100.0,37.0,76.92307692307692,71.0,100.0,93.0,95.0,83.0,0.0,92.0,32.0,93.0,40.0,100.0,82.1917808219178,97.37116442543885
2020-11-06,0.0,85.0,24.0,42.0,40.0,0.0,58.0,31.868131868131872,0.0,0.0,0.0,56.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.60456875262557
2020-11-07,15.0,0.0,0.0,21.0,0.0,0.0,0.0,64.83516483516482,49.0,35.0,32.0,28.0,58.0,0.0,24.0,0.0,48.0,21.0,62.0,0.0,31.215936780676614
2020-11-08,31.0,0.0,25.0,22.0,20.0,54.0,0.0,0.0,50.0,35.0,66.0,0.0,29.0,0.0,50.0,34.0,49.0,21.0,21.0,57.534246575342465,38.4908515228782
2020-11-09,15.0,85.0,48.0,64.0,40.0,26.0,20.0,48.35164835164835,25.0,69.0,96.0,57.0,58.0,25.0,24.0,33.0,24.0,42.0,0.0,28.767123287671232,56.462467734848566
2020-11-10,0.0,28.0,24.0,21.0,0.0,0.0,19.0,32.967032967032964,0.0,69.0,0.0,43.0,29.0,25.0,24.0,0.0,25.0,21.0,21.0,57.534246575342465,29.965903038838672
2020-11-11,15.0,28.0,0.0,0.0,19.0,51.0,38.0,47.25274725274726,0.0,67.0,95.0,28.0,28.0,0.0,24.0,32.0,24.0,40.0,0.0,54.794520547945204,40.2985518875569
2020-11-12,15.0,0.0,25.0,21.0,0.0,0.0,0.0,32.967032967032964,25.0,70.0,65.0,86.0,29.0,24.0,25.0,66.0,0.0,21.0,21.0,28.767123287671232,37.822665626750926
2020-11-13,15.0,28.0,24.0,0.0,0.0,27.0,0.0,48.35164835164835,24.0,69.0,0.0,29.0,0.0,0.0,49.0,33.0,0.0,21.0,21.0,28.767123287671232,28.439827705707952
2020-11-14,0.0,0.0,24.0,0.0,20.0,0.0,0.0,65.93406593406593,26.0,35.0,66.0,29.0,30.0,0.0,25.0,34.0,0.0,21.0,21.0,28.767123287671232,29.024990719070125
