date,/m/05w_j_0,/m/05w_j_1,/m/05w_j_2,/m/05w_j_3,/m/05w_j_4,/m/05w_j_5,/m/05w_j_6,/m/05w_j_7,/m/05w_j_8,/m/05w_j_9,/m/05w_j
2021-04-18,36.0,17.0,15.0,28.0,27.0,10.0,24.0,10.0,59.0,23.0,26.48936170212766
2021-04-19,57.0,40.0,23.0,25.0,64.0,36.0,53.0,36.0,52.0,37.0,45.0
2021-04-20,39.0,25.0,18.0,37.0,14.0,23.0,21.0,22.0,38.0,36.0,29.04255319148936
2021-04-21,19.0,25.0,23.0,12.0,0.0,27.0,21.0,18.0,19.0,0.0,17.446808510638295
2021-04-22,66.0,52.0,33.0,70.0,29.0,33.0,54.0,51.0,60.0,59.0,53.93617021276596
2021-04-23,74.0,53.0,29.0,53.0,30.0,19.0,39.0,33.0,41.0,50.0,44.787234042553195
2021-04-24,14.0,11.0,10.0,35.0,16.0,21.0,30.0,15.0,44.0,18.0,22.76595744680851
2021-04-25,20.0,27.0,25.0,20.0,26.0,15.0,28.0,15.0,42.0,28.0,26.170212765957448
2021-04-26,35.0,27.0,21.0,23.0,13.0,34.0,24.0,29.0,47.0,19.0,28.93617021276596
2021-04-27,58.0,41.0,60.0,70.0,27.0,26.0,29.0,34.0,36.0,63.0,47.234042553191486
2021-04-28,24.0,23.0,30.0,35.0,40.0,30.0,10.0,21.0,30.0,19.0,27.872340425531913
2021-04-29,54.0,52.0,39.0,35.0,36.0,26.0,35.0,30.0,43.0,29.0,40.319148936170215
2021-04-30,48.0,28.0,13.0,23.0,18.0,39.0,30.0,17.0,49.0,19.0,30.21276595744681
2021-05-01,44.0,29.0,23.0,19.0,33.0,32.0,21.0,18.0,57.0,31.0,32.659574468085104
2021-05-02,34.0,21.0,29.0,20.0,41.0,44.0,39.0,19.0,77.0,44.0,39.148936170212764
2021-05-03,71.0,30.0,23.0,38.0,54.0,27.0,26.0,46.0,20.0,37.0,39.57446808510639
2021-05-04,68.0,28.0,43.0,47.0,51.0,48.0,55.0,44.0,80.0,35.0,53.08510638297872
2021-05-05,37.0,29.0,4.0,24.0,18.0,31.0,26.0,26.0,32.0,25.0,26.80851063829787
2021-05-06,55.0,34.0,44.0,66.0,50.0,44.0,72.0,47.0,56.0,60.0,56.170212765957444
2021-05-07,97.0,90.0,84.0,70.0,43.0,38.0,48.0,37.0,53.0,74.0,67.44680851063829
2021-05-08,51.0,35.0,26.0,43.0,44.0,42.0,61.0,26.0,38.0,42.0,43.40425531914893
2021-05-09,91.0,51.0,46.0,76.0,68.0,60.0,58.0,55.0,85.0,53.0,68.40425531914893
2021-05-10,97.0,100.0,100.0,66.0,100.0,83.0,100.0,100.0,94.0,100.0,100.0
2021-05-11,53.0,64.0,50.0,57.0,35.0,38.0,43.0,38.0,71.0,63.0,54.46808510638298
2021-05-12,100.0,60.0,51.0,69.0,48.0,60.0,59.0,62.0,49.0,43.0,63.93617021276596
2021-05-13,69.0,64.0,59.0,74.0,52.0,13.0,47.0,62.0,71.0,46.0,59.255319148936174
2021-05-14,46.0,36.0,56.0,64.0,68.0,37.0,48.0,37.0,100.0,65.0,59.255319148936174
2021-05-15,51.0,20.0,36.0,81.0,28.0,41.0,52.0,49.0,58.0,41.0,48.61702127659574
2021-05-16,82.0,34.0,40.0,62.0,52.0,63.0,61.0,45.0,71.0,72.0,61.91489361702128
2021-05-17,92.0,48.0,57.0,89.0,78.0,53.0,60.0,56.0,80.0,60.0,71.59574468085107
2021-05-18,66.0,62.0,52.0,70.0,27.0,52.0,60.0,60.0,74.0,64.0,62.4468085106383
2021-05-19,68.0,59.0,53.0,73.0,65.0,53.0,57.0,26.0,70.0,61.0,62.234042553191486
2021-05-20,66.0,46.0,38.0,72.0,50.0,52.0,54.0,51.0,74.0,43.0,58.08510638297872
2021-05-21,66.0,29.0,43.0,64.0,23.0,52.0,44.0,51.0,91.0,45.0,54.04255319148936
2021-05-22,64.0,40.0,33.0,82.0,53.0,42.0,48.0,55.0,66.0,42.0,55.851063829787236
2021-05-23,55.0,49.0,30.0,47.0,52.0,50.0,23.0,39.0,62.0,40.0,47.5531914893617
2021-05-24,54.0,56.0,38.0,100.0,49.0,81.0,45.0,43.0,49.0,64.0,61.59574468085106
2021-05-25,80.0,67.0,44.0,71.0,37.0,44.0,46.0,57.0,76.0,41.0,59.8936170212766
2021-05-26,55.0,44.0,71.0,72.0,19.0,44.0,46.0,52.0,82.0,35.0,55.319148936170215
2021-05-27,82.0,64.0,27.0,92.0,19.0,100.0,83.0,67.0,71.0,68.0,71.59574468085107
2021-05-28,45.0,45.0,46.0,57.0,29.0,19.0,27.0,28.0,46.0,26.0,39.148936170212764
2021-05-29,33.0,26.0,10.0,40.0,41.0,34.0,33.0,19.0,48.0,27.0,33.08510638297872
2021-05-30,34.0,22.0,20.0,20.0,31.0,25.0,46.0,34.0,28.0,28.0,30.638297872340427
2021-05-31,67.0,75.0,47.0,59.0,86.0,69.0,69.0,51.0,42.0,60.0,66.48936170212765
