date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty
2021-02-26,34.0,52.0,0.0,40.0,27.0,32.0,0.0,0.0,0.0,0.0,27.00729927007299
2021-02-27,38.0,30.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,26.0,20.291970802919707
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,27.0,55.0,40.0,27.0,65.0,0.0,36.0,26.0,23.0,43.64963503649635
2021-03-02,34.0,26.0,27.0,0.0,54.0,0.0,0.0,36.0,0.0,23.0,29.197080291970803
2021-03-03,0.0,0.0,0.0,0.0,0.0,31.0,33.0,0.0,0.0,0.0,9.343065693430656
2021-03-04,33.0,0.0,0.0,39.0,0.0,0.0,33.0,34.0,0.0,23.0,23.64963503649635
2021-03-05,32.0,77.0,53.0,39.0,26.0,62.0,33.0,34.0,25.0,22.0,58.83211678832116
2021-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,35.0,27.0,0.0,41.0,0.0,0.0,35.0,37.0,27.0,0.0,29.48905109489051
2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,32.0,0.0,26.0,0.0,0.0,30.0,33.0,0.0,0.0,0.0,17.664233576642335
2021-03-10,0.0,24.0,25.0,0.0,24.0,29.0,31.0,32.0,0.0,0.0,24.087591240875913
2021-03-11,0.0,25.0,26.0,38.0,0.0,0.0,32.0,67.0,25.0,0.0,31.094890510948904
2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-13,0.0,0.0,0.0,0.0,26.0,0.0,0.0,34.0,0.0,0.0,8.75912408759124
2021-03-14,0.0,0.0,0.0,77.0,0.0,0.0,33.0,0.0,0.0,0.0,16.05839416058394
2021-03-15,24.0,0.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,10.656934306569344
2021-03-16,0.0,22.0,0.0,33.0,0.0,54.0,28.0,29.0,0.0,19.0,27.00729927007299
2021-03-17,64.0,0.0,0.0,38.0,26.0,31.0,0.0,34.0,0.0,44.0,34.5985401459854
2021-03-18,0.0,25.0,0.0,39.0,0.0,31.0,65.0,0.0,0.0,22.0,26.56934306569343
2021-03-19,66.0,76.0,27.0,79.0,53.0,95.0,100.0,70.0,26.0,46.0,93.13868613138686
