date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,13.0,67.0,0.0,46.0,16.0,33.0,29.0,14.0,33.0,30.0,19.0,14.0,52.0,51.0,31.0,31.0,59.0,23.0,26.0,27.0,42.90705800139762
2020-10-06,25.0,55.0,71.0,31.0,47.0,33.0,44.0,55.0,33.0,62.0,9.0,28.0,52.0,68.0,31.0,24.0,15.0,35.0,53.0,28.0,55.835080363382254
2020-10-07,25.0,13.0,34.0,15.0,15.0,16.0,15.0,0.0,0.0,0.0,28.0,28.0,13.0,0.0,30.0,39.0,15.0,0.0,13.0,27.0,22.78127183787561
2020-10-08,65.0,27.0,71.0,32.0,79.0,51.0,15.0,28.0,34.0,47.0,49.0,0.0,40.0,17.0,47.0,39.0,0.0,35.0,40.0,42.0,52.969951083158634
2020-10-09,32.0,0.0,21.0,75.0,58.0,41.0,18.0,33.0,61.0,19.0,35.0,35.0,32.0,63.0,38.0,29.0,18.0,0.0,32.0,0.0,44.72396925227114
2020-10-10,0.0,17.0,22.0,20.0,20.0,0.0,0.0,35.0,0.0,40.0,62.0,18.0,0.0,0.0,20.0,100.0,19.0,15.0,17.0,18.0,29.559748427672965
2020-10-11,15.0,48.0,0.0,0.0,19.0,20.0,52.0,16.0,39.0,0.0,34.0,50.0,47.0,0.0,37.0,28.0,18.0,28.0,47.0,0.0,34.80083857442348
2020-10-12,15.0,63.0,41.0,18.0,36.0,57.0,68.0,32.0,19.0,18.0,100.0,66.0,61.0,40.0,54.0,74.0,18.0,40.0,46.0,32.0,62.753319357092934
2020-10-13,0.0,31.0,20.0,17.0,36.0,19.0,34.0,16.0,0.0,17.0,33.0,16.0,30.0,39.0,36.0,35.0,0.0,0.0,46.0,32.0,31.935709294199857
2020-10-14,55.0,45.0,57.0,100.0,51.0,36.0,48.0,45.0,54.0,17.0,42.0,77.0,100.0,56.0,100.0,60.0,66.0,38.0,99.0,30.0,82.18029350104823
2020-10-15,42.0,15.0,38.0,34.0,0.0,55.0,16.0,45.0,0.0,50.0,62.0,16.0,29.0,37.0,51.0,34.0,33.0,13.0,29.0,30.0,43.955276030747726
2020-10-16,15.0,0.0,0.0,0.0,36.0,19.0,34.0,0.0,19.0,18.0,44.0,16.0,0.0,0.0,0.0,18.0,35.0,13.0,45.0,47.0,25.08735150244584
2020-10-17,15.0,33.0,21.0,19.0,19.0,20.0,18.0,16.0,20.0,37.0,12.0,34.0,16.0,21.0,0.0,0.0,18.0,14.0,16.0,17.0,25.57651991614256
2020-10-18,45.0,0.0,20.0,36.0,36.0,58.0,17.0,64.0,38.0,90.0,45.0,49.0,0.0,100.0,55.0,92.0,35.0,54.0,46.0,64.0,65.96785464709993
2020-10-19,14.0,15.0,19.0,17.0,17.0,37.0,16.0,0.0,0.0,0.0,11.0,16.0,0.0,38.0,35.0,35.0,17.0,0.0,0.0,31.0,22.222222222222218
