date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2021-04-12,85.0,84.0,88.0,91.0,84.0,90.0,82.0,84.0,87.0,80.0,82.0,86.0,78.0,83.0,95.0,80.0,80.0,80.0,80.0,83.0,84.86377396569122
2021-04-13,83.0,87.0,86.0,89.0,85.0,83.0,83.0,82.0,84.0,85.0,91.0,80.0,89.0,81.0,96.0,78.0,82.0,82.0,80.0,86.0,85.36831483350151
2021-04-14,69.0,82.0,75.0,80.0,74.0,72.0,76.0,79.0,81.0,78.0,75.0,72.0,69.0,78.0,76.0,77.0,70.0,75.0,72.0,77.0,76.0343087790111
2021-04-15,86.0,86.0,84.0,82.0,88.0,86.0,92.0,88.0,78.0,80.0,84.0,77.0,89.0,80.0,83.0,79.0,83.0,85.0,77.0,89.0,84.56104944500505
2021-04-16,85.0,80.0,84.0,80.0,80.0,81.0,78.0,84.0,82.0,81.0,80.0,83.0,83.0,80.0,83.0,79.0,84.0,84.0,73.0,85.0,82.18970736629667
2021-04-17,80.0,77.0,82.0,81.0,80.0,77.0,78.0,81.0,77.0,78.0,76.0,75.0,79.0,75.0,79.0,79.0,82.0,74.0,74.0,82.0,79.01109989909183
2021-04-18,83.0,81.0,82.0,85.0,82.0,78.0,82.0,84.0,78.0,81.0,82.0,87.0,86.0,83.0,88.0,85.0,82.0,83.0,80.0,79.0,83.29969727547932
2021-04-19,86.0,95.0,92.0,85.0,80.0,79.0,92.0,86.0,88.0,86.0,82.0,86.0,88.0,91.0,94.0,87.0,88.0,86.0,79.0,87.0,87.63874873864783
2021-04-20,76.0,77.0,75.0,76.0,77.0,74.0,81.0,74.0,81.0,80.0,73.0,75.0,76.0,77.0,78.0,80.0,72.0,74.0,73.0,77.0,76.99293642785067
2021-04-21,73.0,85.0,82.0,79.0,81.0,79.0,79.0,89.0,78.0,77.0,79.0,81.0,83.0,80.0,84.0,81.0,74.0,70.0,72.0,85.0,80.27245206861757
2021-04-22,74.0,84.0,79.0,78.0,88.0,78.0,81.0,82.0,77.0,81.0,79.0,75.0,84.0,75.0,81.0,78.0,84.0,85.0,74.0,86.0,80.87790110998992
2021-04-23,75.0,76.0,80.0,80.0,72.0,70.0,68.0,74.0,81.0,78.0,78.0,79.0,72.0,71.0,78.0,76.0,67.0,72.0,66.0,72.0,74.92431886982845
2021-04-24,85.0,86.0,75.0,83.0,76.0,80.0,83.0,81.0,90.0,78.0,81.0,74.0,74.0,88.0,84.0,76.0,85.0,77.0,75.0,84.0,81.48335015136226
2021-04-25,81.0,82.0,77.0,87.0,82.0,85.0,80.0,81.0,84.0,87.0,79.0,80.0,82.0,83.0,89.0,86.0,83.0,79.0,79.0,86.0,83.35015136226035
2021-04-26,80.0,81.0,88.0,88.0,76.0,82.0,81.0,82.0,80.0,84.0,83.0,82.0,88.0,86.0,83.0,83.0,80.0,85.0,81.0,80.0,83.40060544904138
