date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21
2021-01-12,31.0,0.0,46.0,31.0,31.0,23.0,25.0,0.0,0.0,34.0,30.524861878453038
2021-01-13,0.0,0.0,23.0,0.0,0.0,23.0,25.0,0.0,60.0,33.0,22.651933701657455
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,63.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,16.29834254143646
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,23.0,31.0,0.0,0.0,0.0,25.0,0.0,0.0,10.91160220994475
2021-01-18,0.0,0.0,23.0,59.0,0.0,23.0,25.0,0.0,0.0,33.0,22.51381215469613
2021-01-19,0.0,0.0,0.0,31.0,65.0,23.0,51.0,51.0,30.0,34.0,39.3646408839779
2021-01-20,0.0,28.0,22.0,60.0,0.0,0.0,47.0,0.0,29.0,32.0,30.11049723756906
2021-01-21,31.0,0.0,23.0,31.0,62.0,45.0,0.0,25.0,29.0,0.0,33.97790055248618
2021-01-22,31.0,0.0,23.0,31.0,31.0,0.0,0.0,25.0,30.0,0.0,23.61878453038674
2021-01-23,0.0,0.0,23.0,31.0,0.0,0.0,25.0,0.0,30.0,33.0,19.613259668508285
2021-01-24,32.0,30.0,96.0,63.0,32.0,47.0,77.0,77.0,92.0,69.0,84.94475138121547
2021-01-25,0.0,29.0,0.0,0.0,0.0,45.0,0.0,25.0,0.0,34.0,18.37016574585635
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,0.0,59.0,23.0,31.0,0.0,0.0,0.0,0.0,30.0,34.0,24.447513812154693
2021-01-28,32.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,7.596685082872928
2021-01-29,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,30.0,0.0,7.320441988950276
2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,30.0,0.0,0.0,0.0,31.0,0.0,24.0,24.0,29.0,0.0,19.06077348066298
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,3.4530386740331487
2021-02-03,62.0,28.0,0.0,30.0,31.0,44.0,74.0,24.0,0.0,65.0,49.44751381215469
2021-02-04,0.0,30.0,23.0,0.0,33.0,23.0,0.0,0.0,31.0,0.0,19.337016574585633
2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-06,33.0,31.0,24.0,0.0,33.0,24.0,0.0,0.0,31.0,0.0,24.30939226519337
2021-02-07,33.0,30.0,0.0,32.0,34.0,24.0,0.0,51.0,31.0,35.0,37.292817679558006
2021-02-08,0.0,28.0,23.0,31.0,0.0,23.0,24.0,24.0,0.0,0.0,21.13259668508287
2021-02-09,32.0,59.0,69.0,0.0,63.0,70.0,0.0,74.0,30.0,33.0,59.392265193370164
2021-02-10,0.0,56.0,46.0,31.0,31.0,0.0,51.0,97.0,29.0,0.0,47.09944751381215
2021-02-11,0.0,29.0,23.0,0.0,0.0,23.0,25.0,0.0,0.0,0.0,13.812154696132595
2021-02-12,0.0,0.0,45.0,61.0,0.0,45.0,49.0,0.0,29.0,0.0,31.629834254143645
2021-02-13,33.0,32.0,0.0,0.0,34.0,0.0,27.0,53.0,0.0,70.0,34.392265193370164
2021-02-14,0.0,31.0,25.0,0.0,34.0,49.0,27.0,0.0,98.0,0.0,36.46408839779005
2021-02-15,0.0,0.0,24.0,0.0,0.0,24.0,25.0,25.0,31.0,34.0,22.51381215469613
2021-02-16,0.0,28.0,23.0,30.0,31.0,23.0,50.0,25.0,58.0,0.0,37.016574585635354
