date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2021-04-18,41.0,64.0,33.0,41.0,35.0,60.0,52.0,40.0,46.0,49.0,46.612740141557126
2021-04-19,81.0,92.0,61.0,63.0,67.0,61.0,78.0,60.0,63.0,66.0,69.96966632962588
2021-04-20,55.0,74.0,53.0,52.0,54.0,43.0,63.0,44.0,52.0,56.0,55.20728008088978
2021-04-21,50.0,76.0,33.0,40.0,56.0,49.0,56.0,47.0,43.0,57.0,51.2639029322548
2021-04-22,61.0,68.0,45.0,63.0,51.0,56.0,62.0,39.0,42.0,60.0,55.30839231547017
2021-04-23,35.0,44.0,30.0,40.0,26.0,47.0,32.0,22.0,30.0,28.0,33.77148634984833
2021-04-24,39.0,44.0,31.0,37.0,33.0,29.0,40.0,22.0,39.0,31.0,34.883720930232556
2021-04-25,35.0,44.0,32.0,41.0,41.0,36.0,39.0,38.0,31.0,21.0,36.19817997977755
2021-04-26,46.0,33.0,30.0,32.0,33.0,28.0,37.0,29.0,28.0,33.0,33.26592517694641
2021-04-27,70.0,45.0,49.0,55.0,40.0,50.0,59.0,49.0,53.0,57.0,53.28614762386248
2021-04-28,39.0,58.0,40.0,31.0,54.0,35.0,52.0,38.0,45.0,52.0,44.893832153690596
2021-04-29,54.0,64.0,41.0,54.0,38.0,57.0,59.0,47.0,43.0,47.0,50.96056622851365
2021-04-30,76.0,88.0,61.0,81.0,63.0,68.0,93.0,54.0,66.0,85.0,74.3174924165824
2021-05-01,58.0,59.0,56.0,57.0,44.0,44.0,61.0,41.0,61.0,62.0,54.90394337714863
2021-05-02,60.0,42.0,38.0,43.0,38.0,38.0,44.0,25.0,41.0,44.0,41.75935288169868
2021-05-03,60.0,64.0,50.0,49.0,60.0,46.0,73.0,46.0,76.0,79.0,60.97067745197168
2021-05-04,66.0,81.0,45.0,63.0,60.0,65.0,53.0,43.0,41.0,73.0,59.65621840242669
2021-05-05,52.0,61.0,45.0,56.0,47.0,45.0,46.0,56.0,50.0,50.0,51.365015166835185
2021-05-06,54.0,61.0,47.0,57.0,49.0,53.0,69.0,38.0,57.0,62.0,55.30839231547017
2021-05-07,45.0,60.0,31.0,55.0,54.0,39.0,57.0,30.0,47.0,67.0,49.039433771486344
2021-05-08,69.0,67.0,56.0,60.0,49.0,56.0,76.0,46.0,32.0,48.0,56.52173913043478
2021-05-09,60.0,42.0,47.0,62.0,42.0,40.0,54.0,40.0,51.0,48.0,49.14054600606673
2021-05-10,100.0,85.0,58.0,77.0,89.0,80.0,94.0,61.0,70.0,87.0,80.99089989888775
2021-05-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0
2021-05-12,93.0,93.0,72.0,66.0,83.0,69.0,77.0,66.0,83.0,72.0,78.26086956521739
2021-05-13,100.0,97.0,55.0,65.0,73.0,49.0,82.0,60.0,86.0,90.0,76.54196157735086
2021-05-14,86.0,86.0,68.0,62.0,54.0,59.0,86.0,49.0,66.0,65.0,68.85743174924164
2021-05-15,83.0,67.0,64.0,73.0,77.0,55.0,87.0,43.0,58.0,63.0,67.74519716885743
2021-05-16,88.0,77.0,58.0,56.0,61.0,55.0,57.0,54.0,65.0,60.0,63.80182002022244
2021-05-17,93.0,91.0,56.0,82.0,90.0,65.0,71.0,57.0,78.0,76.0,76.74418604651163
2021-05-18,79.0,87.0,71.0,80.0,75.0,55.0,86.0,54.0,65.0,100.0,76.03640040444894
2021-05-19,63.0,76.0,47.0,59.0,65.0,59.0,66.0,51.0,58.0,77.0,62.7906976744186
2021-05-20,56.0,70.0,62.0,76.0,79.0,67.0,83.0,44.0,71.0,77.0,69.26188068756319
2021-05-21,60.0,59.0,51.0,54.0,52.0,47.0,57.0,44.0,54.0,43.0,52.67947421638018
2021-05-22,59.0,47.0,42.0,40.0,55.0,20.0,46.0,37.0,41.0,57.0,44.893832153690596
2021-05-23,45.0,36.0,37.0,27.0,30.0,35.0,48.0,30.0,44.0,56.0,39.23154701718907
2021-05-24,64.0,65.0,41.0,44.0,60.0,51.0,37.0,34.0,55.0,48.0,50.45500505561173
2021-05-25,68.0,77.0,47.0,62.0,55.0,50.0,70.0,51.0,57.0,88.0,63.19514661274014
2021-05-26,65.0,69.0,43.0,62.0,55.0,61.0,60.0,53.0,61.0,66.0,60.16177957532861
2021-05-27,72.0,58.0,46.0,70.0,48.0,65.0,71.0,55.0,64.0,49.0,60.46511627906976
2021-05-28,65.0,71.0,52.0,51.0,53.0,44.0,53.0,40.0,72.0,56.0,56.31951466127401
2021-05-29,56.0,43.0,48.0,34.0,39.0,46.0,58.0,27.0,53.0,51.0,46.00606673407482
2021-05-30,45.0,32.0,21.0,22.0,32.0,32.0,39.0,18.0,30.0,32.0,30.63700707785642
2021-05-31,45.0,54.0,33.0,31.0,27.0,43.0,51.0,40.0,41.0,55.0,42.46713852376137
