date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21
2020-12-22,38.0,45.0,63.0,54.0,44.0,45.0,52.0,29.0,43.0,25.0,57.329842931937165
2020-12-23,39.0,26.0,72.0,30.0,40.0,43.0,72.0,72.0,50.0,68.0,67.01570680628272
2020-12-24,47.0,49.0,78.0,71.0,59.0,56.0,50.0,86.0,48.0,36.0,75.91623036649214
2020-12-25,32.0,47.0,35.0,45.0,39.0,28.0,76.0,33.0,39.0,46.0,54.973821989528794
2020-12-26,60.0,69.0,100.0,86.0,49.0,57.0,51.0,56.0,49.0,63.0,83.7696335078534
2020-12-27,50.0,35.0,49.0,46.0,40.0,39.0,67.0,63.0,28.0,63.0,62.82722513089005
2020-12-28,51.0,53.0,45.0,62.0,62.0,52.0,49.0,26.0,51.0,21.0,61.78010471204188
2020-12-29,30.0,53.0,55.0,41.0,31.0,52.0,61.0,37.0,71.0,58.0,64.00523560209423
2020-12-30,15.0,66.0,63.0,27.0,42.0,41.0,51.0,43.0,53.0,81.0,63.08900523560209
2020-12-31,73.0,89.0,75.0,52.0,69.0,54.0,55.0,47.0,57.0,53.0,81.67539267015707
2021-01-01,83.0,57.0,59.0,55.0,61.0,36.0,44.0,44.0,66.0,51.0,72.77486910994764
2021-01-02,55.0,64.0,30.0,34.0,63.0,39.0,61.0,34.0,44.0,46.0,61.51832460732984
2021-01-03,74.0,76.0,92.0,43.0,53.0,45.0,76.0,54.0,63.0,44.0,81.15183246073298
2021-01-04,38.0,41.0,47.0,44.0,40.0,30.0,42.0,45.0,35.0,54.0,54.45026178010471
2021-01-05,44.0,77.0,33.0,36.0,40.0,34.0,43.0,41.0,40.0,27.0,54.31937172774869
2021-01-06,39.0,54.0,42.0,40.0,31.0,41.0,36.0,53.0,35.0,31.0,52.61780104712042
2021-01-07,43.0,36.0,33.0,17.0,39.0,33.0,47.0,49.0,48.0,58.0,52.74869109947643
2021-01-08,44.0,33.0,55.0,46.0,37.0,31.0,48.0,41.0,54.0,23.0,53.92670157068063
2021-01-09,36.0,48.0,45.0,58.0,42.0,53.0,50.0,65.0,47.0,43.0,63.74345549738219
2021-01-10,20.0,11.0,40.0,32.0,42.0,13.0,62.0,97.0,78.0,91.0,63.61256544502617
2021-01-11,39.0,54.0,24.0,48.0,44.0,41.0,31.0,31.0,26.0,23.0,47.251308900523554
2021-01-12,34.0,27.0,33.0,26.0,22.0,29.0,68.0,40.0,65.0,71.0,54.31937172774869
