date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-02-01,6.0,13.0,17.0,13.0,5.0,9.0,12.0,6.0,7.0,0.0,9.472551130247579
2020-02-02,5.0,0.0,0.0,6.0,5.0,0.0,6.0,0.0,6.0,0.0,3.013993541442411
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,4.0,0.0,0.0,0.0,9.0,6.0,6.0,0.0,9.0,3.6598493003229278
2020-02-07,6.0,4.0,0.0,7.0,0.0,10.0,12.0,6.0,0.0,0.0,4.8439181916038745
2020-02-08,12.0,4.0,9.0,20.0,5.0,10.0,0.0,13.0,20.0,10.0,11.087190527448868
2020-02-09,12.0,9.0,33.0,6.0,5.0,28.0,18.0,12.0,32.0,9.0,17.653390742734118
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,5.0,0.0,0.0,0.0,9.0,17.0,0.0,5.0,17.0,17.0,7.534983853606027
2020-02-12,0.0,0.0,8.0,6.0,0.0,0.0,6.0,0.0,6.0,8.0,3.6598493003229278
2020-02-13,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,1.93756727664155
2020-02-14,5.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,9.0,3.013993541442411
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.260495156081808
2020-02-17,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,1.6146393972012916
2020-02-18,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,1.1840688912809474
2020-02-19,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.968783638320775
2020-02-20,5.0,4.0,8.0,0.0,0.0,9.0,0.0,6.0,6.0,9.0,5.059203444564047
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,12.0,14.0,0.0,0.0,11.0,10.0,6.0,6.0,14.0,10.0,8.934337997847148
2020-02-24,16.0,12.0,16.0,12.0,14.0,26.0,23.0,23.0,0.0,35.0,19.05274488697524
2020-02-25,15.0,15.0,22.0,17.0,18.0,33.0,11.0,11.0,28.0,16.0,20.02152852529602
2020-02-26,5.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,11.0,0.0,3.013993541442411
2020-02-27,0.0,8.0,7.0,0.0,9.0,16.0,16.0,5.0,11.0,16.0,9.472551130247579
2020-02-28,22.0,8.0,8.0,25.0,20.0,36.0,23.0,11.0,18.0,9.0,19.375672766415498
2020-02-29,40.0,21.0,25.0,32.0,36.0,28.0,36.0,24.0,13.0,37.0,31.431646932185142
2020-03-01,6.0,13.0,34.0,19.0,10.0,9.0,6.0,30.0,26.0,0.0,16.469321851453174
2020-03-02,5.0,11.0,15.0,11.0,9.0,0.0,16.0,21.0,12.0,33.0,14.316469321851452
2020-03-03,22.0,16.0,24.0,36.0,24.0,44.0,23.0,23.0,30.0,44.0,30.785791173304627
2020-03-04,33.0,8.0,40.0,37.0,15.0,44.0,11.0,23.0,30.0,18.0,27.879440258342303
2020-03-05,10.0,0.0,7.0,0.0,0.0,8.0,0.0,11.0,11.0,16.0,6.781485468245425
2020-03-06,5.0,12.0,16.0,24.0,19.0,44.0,12.0,11.0,18.0,26.0,20.129171151776102
2020-03-07,0.0,9.0,0.0,7.0,11.0,19.0,6.0,12.0,13.0,10.0,9.36490850376749
2020-03-08,17.0,0.0,8.0,13.0,5.0,0.0,12.0,6.0,13.0,28.0,10.979547900968782
2020-03-09,15.0,7.0,0.0,6.0,9.0,0.0,5.0,0.0,6.0,33.0,8.719052744886975
2020-03-10,16.0,19.0,23.0,17.0,5.0,33.0,22.0,5.0,17.0,42.0,21.420882669537132
2020-03-11,15.0,27.0,38.0,29.0,19.0,25.0,11.0,27.0,12.0,25.0,24.54251883745963
2020-03-12,35.0,26.0,29.0,34.0,32.0,24.0,37.0,21.0,45.0,66.0,37.56727664155005
2020-03-13,21.0,24.0,16.0,42.0,43.0,52.0,28.0,39.0,36.0,44.0,37.13670613562971
2020-03-14,17.0,17.0,17.0,26.0,26.0,37.0,25.0,24.0,45.0,9.0,26.157158234660923
2020-03-15,21.0,19.0,53.0,29.0,46.0,58.0,55.0,16.0,47.0,66.0,44.1334768568353
2020-03-16,38.0,28.0,49.0,86.0,60.0,94.0,30.0,51.0,70.0,77.0,62.7556512378902
2020-03-17,53.0,26.0,71.0,38.0,74.0,63.0,67.0,51.0,43.0,70.0,59.849300322927874
2020-03-18,61.0,38.0,67.0,63.0,46.0,100.0,66.0,54.0,45.0,84.0,67.16899892357372
2020-03-19,58.0,43.0,100.0,64.0,57.0,68.0,78.0,100.0,77.0,77.0,77.71797631862216
2020-03-20,21.0,38.0,52.0,69.0,37.0,42.0,44.0,54.0,46.0,50.0,48.762109795479006
2020-03-21,17.0,35.0,34.0,33.0,26.0,28.0,25.0,43.0,39.0,48.0,35.306781485468235
2020-03-22,16.0,12.0,24.0,24.0,10.0,45.0,29.0,23.0,25.0,45.0,27.233584499461784
2020-03-23,23.0,17.0,20.0,30.0,12.0,29.0,24.0,19.0,10.0,15.0,21.420882669537132
2020-03-24,19.0,14.0,36.0,27.0,13.0,32.0,10.0,25.0,11.0,48.0,25.296017222820236
