date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc
2020-11-15,55.0,0.0,0.0,18.0,17.0,20.0,0.0,37.0,19.0,0.0,20.194647201946474
2020-11-16,37.0,32.0,76.0,55.0,68.0,59.0,13.0,38.0,53.0,27.0,55.71776155717761
2020-11-17,36.0,0.0,19.0,17.0,17.0,0.0,0.0,19.0,35.0,26.0,20.559610705596103
2020-11-18,0.0,15.0,18.0,35.0,17.0,79.0,40.0,18.0,35.0,26.0,34.428223844282236
2020-11-19,36.0,32.0,38.0,18.0,34.0,39.0,26.0,38.0,18.0,14.0,35.64476885644769
2020-11-20,18.0,16.0,38.0,18.0,34.0,0.0,0.0,19.0,18.0,13.0,21.167883211678827
2020-11-21,53.0,16.0,19.0,36.0,33.0,0.0,26.0,19.0,18.0,27.0,30.048661800486617
2020-11-22,56.0,16.0,19.0,36.0,0.0,39.0,13.0,19.0,0.0,14.0,25.79075425790754
2020-11-23,36.0,48.0,37.0,36.0,0.0,58.0,13.0,19.0,18.0,13.0,33.81995133819951
2020-11-24,36.0,16.0,0.0,0.0,17.0,58.0,14.0,19.0,18.0,0.0,21.65450121654501
2020-11-25,17.0,30.0,18.0,51.0,49.0,37.0,51.0,36.0,34.0,12.0,40.75425790754258
2020-11-26,18.0,16.0,39.0,18.0,35.0,20.0,14.0,57.0,37.0,27.0,34.18491484184915
2020-11-27,18.0,47.0,38.0,36.0,69.0,39.0,0.0,38.0,55.0,40.0,46.228710462287104
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,17.0,15.0,36.0,68.0,48.0,55.0,25.0,53.0,17.0,38.0,45.25547445255475
2020-11-30,0.0,15.0,19.0,17.0,16.0,38.0,13.0,37.0,0.0,0.0,18.856447688564476
2020-12-01,0.0,0.0,0.0,18.0,0.0,0.0,13.0,19.0,18.0,0.0,8.27250608272506
2020-12-02,53.0,16.0,0.0,18.0,34.0,19.0,13.0,19.0,36.0,13.0,26.885644768856448
2020-12-03,18.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,8.27250608272506
2020-12-04,36.0,31.0,19.0,35.0,0.0,19.0,13.0,37.0,18.0,0.0,25.30413625304136
2020-12-05,18.0,0.0,0.0,18.0,0.0,20.0,0.0,0.0,0.0,0.0,6.81265206812652
2020-12-06,18.0,0.0,38.0,18.0,17.0,59.0,27.0,0.0,0.0,13.0,23.114355231143552
2020-12-07,0.0,0.0,19.0,18.0,0.0,0.0,27.0,19.0,18.0,0.0,12.287104622871047
2020-12-08,0.0,16.0,37.0,35.0,17.0,57.0,0.0,38.0,18.0,26.0,29.683698296836983
2020-12-09,19.0,0.0,38.0,36.0,17.0,58.0,13.0,38.0,18.0,14.0,30.535279805352797
2020-12-10,75.0,83.0,39.0,55.0,52.0,60.0,42.0,59.0,19.0,84.0,69.09975669099757
2020-12-11,55.0,48.0,38.0,0.0,17.0,58.0,41.0,38.0,0.0,27.0,39.1727493917275
2020-12-12,0.0,16.0,19.0,19.0,0.0,20.0,0.0,0.0,0.0,14.0,10.705596107055962
2020-12-13,19.0,32.0,0.0,36.0,52.0,20.0,0.0,20.0,37.0,14.0,27.980535279805352
2020-12-14,0.0,0.0,0.0,18.0,17.0,20.0,14.0,19.0,37.0,14.0,16.909975669099754
2020-12-15,19.0,17.0,20.0,19.0,36.0,20.0,14.0,40.0,56.0,28.0,32.72506082725061
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.70316301703163
2020-12-17,20.0,18.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,8.880778588807786
2020-12-18,0.0,18.0,22.0,20.0,0.0,0.0,0.0,22.0,20.0,15.0,14.233576642335766
2020-12-19,0.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,7.0559610705596105
2020-12-20,59.0,53.0,42.0,19.0,38.0,42.0,30.0,41.0,39.0,29.0,47.688564476885645
2020-12-21,58.0,100.0,59.0,95.0,55.0,100.0,100.0,80.0,75.0,100.0,100.0
2020-12-22,0.0,17.0,20.0,38.0,18.0,20.0,0.0,40.0,75.0,14.0,29.440389294403893
2020-12-23,0.0,17.0,40.0,20.0,18.0,0.0,0.0,0.0,0.0,15.0,13.38199513381995
2020-12-24,45.0,0.0,23.0,22.0,21.0,70.0,49.0,0.0,44.0,16.0,35.27980535279805
2020-12-25,47.0,20.0,0.0,45.0,22.0,48.0,0.0,0.0,22.0,17.0,26.885644768856448
