date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty
2021-02-26,46.0,23.0,23.0,72.0,24.0,0.0,46.0,31.0,72.0,23.0,62.06896551724138
2021-02-27,35.0,0.0,0.0,0.0,27.0,26.0,26.0,35.0,27.0,26.0,34.827586206896555
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,47.0,24.0,70.0,49.0,24.0,23.0,24.0,94.0,49.0,23.0,73.62068965517241
2021-03-02,0.0,0.0,0.0,48.0,0.0,0.0,0.0,31.0,24.0,24.0,21.896551724137932
2021-03-03,0.0,23.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,12.241379310344827
2021-03-04,0.0,0.0,0.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,8.448275862068966
2021-03-05,16.0,47.0,24.0,24.0,0.0,24.0,24.0,95.0,0.0,0.0,43.793103448275865
2021-03-06,17.0,0.0,0.0,0.0,26.0,51.0,0.0,68.0,26.0,0.0,32.41379310344828
2021-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,15.0,23.0,23.0,24.0,23.0,23.0,23.0,0.0,47.0,0.0,34.65517241379311
2021-03-09,31.0,24.0,24.0,0.0,24.0,0.0,48.0,32.0,48.0,47.0,47.93103448275862
2021-03-10,0.0,0.0,24.0,48.0,0.0,23.0,0.0,0.0,0.0,23.0,20.344827586206897
2021-03-11,0.0,23.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.241379310344827
2021-03-12,33.0,49.0,25.0,77.0,0.0,24.0,100.0,65.0,25.0,49.0,77.06896551724138
2021-03-13,17.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,16.551724137931036
2021-03-14,34.0,25.0,51.0,52.0,77.0,25.0,0.0,68.0,0.0,25.0,61.55172413793104
2021-03-15,13.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,0.0,20.0,13.620689655172415
2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-17,17.0,25.0,25.0,25.0,77.0,100.0,50.0,100.0,26.0,100.0,93.96551724137932
2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,0.0,24.0,0.0,25.0,0.0,24.0,0.0,33.0,25.0,0.0,22.586206896551722
2021-03-20,0.0,0.0,27.0,0.0,0.0,54.0,27.0,36.0,28.0,0.0,29.655172413793103
2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-23,17.0,0.0,25.0,26.0,0.0,25.0,25.0,0.0,26.0,25.0,29.137931034482754
2021-03-24,33.0,0.0,50.0,0.0,26.0,25.0,25.0,33.0,26.0,25.0,41.89655172413793
2021-03-25,16.0,0.0,74.0,26.0,100.0,24.0,50.0,66.0,51.0,49.0,78.62068965517241
2021-03-26,33.0,100.0,75.0,0.0,76.0,25.0,25.0,66.0,52.0,49.0,86.37931034482759
2021-03-27,37.0,28.0,55.0,29.0,28.0,0.0,28.0,37.0,29.0,82.0,60.86206896551723
2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-29,100.0,99.0,100.0,0.0,25.0,75.0,25.0,34.0,51.0,50.0,96.37931034482759
2021-03-30,33.0,25.0,0.0,26.0,0.0,0.0,25.0,67.0,0.0,25.0,34.65517241379311
2021-03-31,0.0,24.0,24.0,25.0,25.0,48.0,0.0,32.0,0.0,24.0,34.827586206896555
2021-04-01,17.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,7.241379310344827
2021-04-02,17.0,26.0,0.0,27.0,26.0,26.0,0.0,0.0,0.0,0.0,21.03448275862069
2021-04-03,36.0,27.0,56.0,0.0,28.0,0.0,28.0,75.0,28.0,83.0,62.241379310344826
2021-04-04,19.0,28.0,28.0,29.0,58.0,28.0,29.0,38.0,0.0,28.0,49.13793103448276
2021-04-05,35.0,52.0,26.0,53.0,52.0,26.0,0.0,70.0,54.0,26.0,67.93103448275862
2021-04-06,14.0,0.0,21.0,0.0,22.0,43.0,22.0,57.0,44.0,42.0,45.689655172413794
2021-04-07,15.0,22.0,46.0,0.0,23.0,45.0,23.0,60.0,0.0,23.0,44.310344827586206
2021-04-08,15.0,0.0,46.0,48.0,71.0,0.0,23.0,0.0,47.0,0.0,43.10344827586207
2021-04-09,15.0,0.0,22.0,23.0,0.0,44.0,0.0,0.0,0.0,22.0,21.724137931034484
2021-04-10,17.0,25.0,0.0,26.0,0.0,25.0,0.0,33.0,26.0,0.0,26.20689655172414
2021-04-11,16.0,0.0,25.0,76.0,50.0,24.0,0.0,65.0,76.0,0.0,57.24137931034483
2021-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,0.0,23.0,0.0,0.0,0.0,23.0,24.0,32.0,0.0,23.0,21.551724137931036
2021-04-14,33.0,48.0,24.0,100.0,49.0,24.0,49.0,97.0,25.0,48.0,85.6896551724138
2021-04-15,0.0,0.0,25.0,26.0,25.0,0.0,25.0,33.0,0.0,24.0,27.24137931034483
2021-04-16,17.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,11.551724137931034
2021-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,0.0,55.0,82.0,0.0,28.0,27.0,0.0,36.0,0.0,27.0,43.96551724137931
2021-04-19,16.0,24.0,0.0,0.0,25.0,0.0,24.0,0.0,0.0,24.0,19.482758620689655
2021-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,33.0,73.0,50.0,26.0,75.0,49.0,75.0,99.0,76.0,24.0,100.0
2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,34.0,51.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.620689655172413
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,15.0,0.0,45.0,0.0,45.0,44.0,45.0,0.0,46.0,22.0,45.172413793103445
2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29,15.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,23.0,22.0,26.20689655172414
2021-04-30,0.0,22.0,0.0,23.0,0.0,45.0,23.0,30.0,23.0,0.0,28.620689655172416
2021-05-01,48.0,23.0,47.0,24.0,48.0,24.0,24.0,63.0,0.0,23.0,55.86206896551724
2021-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,0.0,0.0,0.0,25.0,25.0,24.0,0.0,0.0,50.0,24.0,25.517241379310345
2021-05-04,15.0,0.0,0.0,24.0,0.0,23.0,23.0,31.0,0.0,0.0,20.0
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,16.0,24.0,25.0,25.0,0.0,48.0,25.0,0.0,0.0,0.0,28.103448275862068
2021-05-10,15.0,46.0,0.0,0.0,23.0,0.0,0.0,31.0,0.0,45.0,27.586206896551722
2021-05-11,15.0,22.0,44.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,17.75862068965517
2021-05-12,0.0,22.0,0.0,23.0,0.0,44.0,22.0,30.0,23.0,22.0,32.06896551724138
2021-05-13,0.0,23.0,48.0,25.0,0.0,24.0,24.0,0.0,49.0,47.0,41.37931034482759
2021-05-14,0.0,0.0,24.0,0.0,25.0,24.0,0.0,0.0,0.0,24.0,16.72413793103448
2021-05-15,0.0,24.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,23.0,16.379310344827587
2021-05-16,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,8.275862068965518
2021-05-17,15.0,0.0,46.0,24.0,23.0,46.0,0.0,31.0,23.0,23.0,39.827586206896555
2021-05-18,30.0,22.0,0.0,23.0,0.0,0.0,23.0,30.0,24.0,23.0,30.17241379310345
2021-05-19,15.0,23.0,46.0,0.0,24.0,0.0,0.0,31.0,0.0,23.0,27.93103448275862
2021-05-20,0.0,0.0,25.0,0.0,0.0,0.0,25.0,33.0,25.0,25.0,22.93103448275862
2021-05-21,15.0,22.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,14.310344827586208
2021-05-22,65.0,73.0,0.0,0.0,50.0,24.0,98.0,65.0,100.0,24.0,86.03448275862068
2021-05-23,0.0,26.0,52.0,0.0,0.0,77.0,52.0,35.0,27.0,0.0,46.37931034482759
2021-05-24,15.0,67.0,23.0,23.0,0.0,45.0,23.0,0.0,23.0,23.0,41.724137931034484
2021-05-25,0.0,0.0,46.0,24.0,0.0,23.0,46.0,0.0,24.0,23.0,32.06896551724138
2021-05-26,16.0,0.0,23.0,0.0,0.0,23.0,23.0,0.0,24.0,0.0,18.79310344827586
2021-05-27,16.0,23.0,48.0,25.0,24.0,24.0,24.0,32.0,0.0,46.0,45.172413793103445
2021-05-28,0.0,24.0,24.0,25.0,74.0,48.0,24.0,33.0,25.0,0.0,47.758620689655174
2021-05-29,0.0,25.0,0.0,0.0,51.0,25.0,25.0,68.0,0.0,25.0,37.758620689655174
2021-05-30,17.0,0.0,52.0,27.0,27.0,52.0,26.0,70.0,0.0,26.0,51.206896551724135
2021-05-31,0.0,45.0,23.0,24.0,46.0,68.0,46.0,30.0,46.0,23.0,60.51724137931034
