date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc
2020-11-15,11.0,72.0,22.0,22.0,33.0,29.0,31.0,57.0,20.0,15.0,31.515151515151516
2020-11-16,34.0,49.0,44.0,45.0,27.0,0.0,24.0,29.0,20.0,26.0,30.1010101010101
2020-11-17,34.0,49.0,11.0,30.0,40.0,36.0,48.0,52.0,27.0,21.0,35.15151515151515
2020-11-18,22.0,12.0,21.0,29.0,0.0,21.0,8.0,14.0,7.0,30.0,16.565656565656564
2020-11-19,46.0,37.0,34.0,30.0,14.0,15.0,8.0,22.0,7.0,26.0,24.141414141414142
2020-11-20,23.0,37.0,11.0,38.0,27.0,37.0,48.0,30.0,27.0,16.0,29.696969696969695
2020-11-21,23.0,12.0,22.0,23.0,20.0,0.0,0.0,7.0,28.0,5.0,14.141414141414142
2020-11-22,57.0,25.0,34.0,23.0,20.0,15.0,8.0,7.0,34.0,16.0,24.141414141414142
2020-11-23,79.0,49.0,45.0,30.0,27.0,22.0,24.0,22.0,27.0,15.0,34.343434343434346
2020-11-24,55.0,71.0,64.0,50.0,26.0,7.0,39.0,35.0,20.0,5.0,37.57575757575758
2020-11-25,73.0,23.0,71.0,34.0,25.0,34.0,30.0,20.0,19.0,14.0,34.64646464646464
2020-11-26,34.0,37.0,33.0,22.0,7.0,22.0,24.0,22.0,21.0,0.0,22.424242424242426
2020-11-27,98.0,48.0,65.0,29.0,33.0,42.0,39.0,22.0,27.0,10.0,41.717171717171716
2020-11-28,23.0,25.0,44.0,23.0,20.0,22.0,8.0,15.0,7.0,16.0,20.505050505050505
2020-11-29,11.0,25.0,22.0,15.0,14.0,7.0,32.0,22.0,13.0,5.0,16.76767676767677
2020-11-30,44.0,47.0,43.0,15.0,20.0,21.0,23.0,35.0,33.0,15.0,29.8989898989899
2020-12-01,23.0,12.0,11.0,15.0,14.0,22.0,16.0,0.0,14.0,10.0,13.83838383838384
2020-12-02,22.0,24.0,22.0,7.0,0.0,7.0,15.0,14.0,6.0,0.0,11.818181818181818
2020-12-03,44.0,60.0,32.0,7.0,20.0,14.0,23.0,21.0,20.0,26.0,26.96969696969697
2020-12-04,33.0,25.0,22.0,15.0,0.0,7.0,40.0,22.0,7.0,21.0,19.393939393939394
2020-12-05,45.0,37.0,56.0,53.0,20.0,22.0,16.0,30.0,14.0,16.0,31.21212121212121
2020-12-06,34.0,13.0,23.0,8.0,21.0,15.0,41.0,45.0,21.0,27.0,25.050505050505052
2020-12-07,68.0,37.0,44.0,45.0,68.0,37.0,40.0,58.0,61.0,20.0,48.282828282828284
2020-12-08,24.0,0.0,46.0,16.0,14.0,7.0,25.0,8.0,21.0,11.0,17.373737373737374
2020-12-09,58.0,12.0,57.0,8.0,14.0,7.0,8.0,15.0,14.0,21.0,21.616161616161616
2020-12-10,71.0,0.0,23.0,16.0,7.0,8.0,17.0,23.0,36.0,11.0,21.414141414141415
2020-12-11,24.0,52.0,47.0,16.0,21.0,16.0,17.0,0.0,29.0,27.0,25.151515151515152
2020-12-12,24.0,40.0,48.0,8.0,22.0,16.0,35.0,16.0,15.0,23.0,24.949494949494948
2020-12-13,34.0,25.0,33.0,30.0,7.0,7.0,16.0,14.0,7.0,21.0,19.595959595959595
2020-12-14,12.0,25.0,56.0,15.0,21.0,30.0,24.0,15.0,7.0,16.0,22.32323232323232
2020-12-15,25.0,54.0,25.0,24.0,45.0,48.0,44.0,8.0,30.0,29.0,33.53535353535354
2020-12-16,72.0,51.0,59.0,31.0,21.0,15.0,42.0,31.0,29.0,16.0,37.07070707070707
2020-12-17,0.0,0.0,25.0,9.0,15.0,8.0,18.0,33.0,15.0,18.0,14.242424242424242
2020-12-18,53.0,85.0,38.0,17.0,23.0,34.0,19.0,51.0,39.0,30.0,39.292929292929294
2020-12-19,40.0,29.0,52.0,44.0,16.0,43.0,28.0,34.0,56.0,37.0,38.282828282828284
2020-12-20,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-21,72.0,93.0,24.0,8.0,36.0,55.0,43.0,31.0,44.0,22.0,43.23232323232323
2020-12-22,24.0,39.0,35.0,23.0,21.0,23.0,25.0,23.0,29.0,33.0,27.77777777777778
2020-12-23,37.0,41.0,61.0,0.0,30.0,16.0,35.0,32.0,30.0,11.0,29.595959595959595
2020-12-24,31.0,16.0,30.0,20.0,18.0,20.0,0.0,0.0,0.0,7.0,14.343434343434344
2020-12-25,46.0,33.0,60.0,40.0,28.0,50.0,55.0,20.0,28.0,21.0,38.484848484848484
2020-12-26,55.0,60.0,41.0,55.0,41.0,36.0,49.0,0.0,42.0,19.0,40.2020202020202
2020-12-27,37.0,41.0,24.0,49.0,36.0,16.0,26.0,48.0,30.0,6.0,31.616161616161616
2020-12-28,0.0,13.0,0.0,0.0,0.0,30.0,8.0,15.0,7.0,0.0,7.373737373737374
2020-12-29,37.0,54.0,48.0,66.0,15.0,40.0,53.0,32.0,30.0,40.0,41.91919191919192
2020-12-30,49.0,14.0,37.0,50.0,37.0,25.0,54.0,8.0,15.0,0.0,29.19191919191919
2020-12-31,71.0,31.0,28.0,19.0,34.0,18.0,31.0,18.0,34.0,13.0,30.0
2021-01-01,29.0,32.0,45.0,20.0,44.0,49.0,53.0,39.0,54.0,21.0,38.98989898989899
2021-01-02,0.0,0.0,13.0,18.0,0.0,9.0,19.0,18.0,8.0,6.0,9.191919191919192
2021-01-03,51.0,28.0,62.0,34.0,53.0,49.0,9.0,17.0,47.0,24.0,37.77777777777778
2021-01-04,58.0,90.0,70.0,39.0,21.0,45.0,25.0,78.0,28.0,22.0,48.08080808080808
2021-01-05,49.0,67.0,48.0,57.0,44.0,8.0,35.0,40.0,37.0,11.0,40.0
