date,/m/0fd23_0,/m/0fd23_1,/m/0fd23_2,/m/0fd23_3,/m/0fd23_4,/m/0fd23_5,/m/0fd23_6,/m/0fd23_7,/m/0fd23_8,/m/0fd23_9,/m/0fd23
2020-02-01,18.0,33.0,38.0,38.0,10.0,28.0,31.0,21.0,19.0,33.0,30.32694475760992
2020-02-02,42.0,51.0,46.0,41.0,26.0,34.0,59.0,36.0,33.0,25.0,44.30665163472378
2020-02-03,27.0,7.0,34.0,31.0,30.0,22.0,25.0,20.0,34.0,27.0,28.974069898534385
2020-02-04,13.0,22.0,30.0,21.0,15.0,28.0,27.0,22.0,30.0,16.0,25.25366403607666
2020-02-05,16.0,22.0,44.0,22.0,31.0,22.0,9.0,45.0,27.0,13.0,28.297632468996618
2020-02-06,44.0,26.0,44.0,22.0,19.0,29.0,48.0,54.0,28.0,41.0,40.022547914317926
2020-02-07,24.0,27.0,27.0,45.0,16.0,30.0,43.0,36.0,25.0,24.0,33.483652762119505
2020-02-08,15.0,25.0,39.0,29.0,14.0,24.0,31.0,42.0,35.0,26.0,31.567080045095828
2020-02-09,23.0,22.0,26.0,26.0,28.0,14.0,14.0,11.0,21.0,10.0,21.98421645997745
2020-02-10,19.0,24.0,20.0,4.0,23.0,24.0,26.0,7.0,19.0,19.0,20.856820744081173
2020-02-11,19.0,21.0,33.0,12.0,27.0,31.0,31.0,14.0,20.0,32.0,27.05749718151071
2020-02-12,26.0,25.0,29.0,33.0,32.0,38.0,49.0,36.0,23.0,42.0,37.54227733934611
2020-02-13,23.0,18.0,46.0,37.0,21.0,28.0,44.0,29.0,16.0,26.0,32.46899661781285
2020-02-14,45.0,42.0,54.0,57.0,13.0,37.0,24.0,35.0,35.0,34.0,42.39007891770011
2020-02-15,26.0,29.0,34.0,43.0,38.0,36.0,47.0,46.0,23.0,37.0,40.47350620067644
2020-02-16,27.0,15.0,31.0,40.0,28.0,22.0,47.0,27.0,21.0,37.0,33.25817361894025
