date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-11-04,42.16867469879518,19.0,0.0,46.0,75.0,87.0,45.0,13.0,32.0,43.0,29.0,0.0,39.0,28.0,13.0,27.0,55.0,0.0,23.0,32.0,52.20116632220379
2020-11-05,87.95180722891567,77.0,16.0,64.0,47.0,36.0,31.0,27.0,49.0,0.0,15.0,0.0,28.0,15.0,27.0,0.0,28.0,14.0,24.0,0.0,47.190444308599936
2020-11-06,45.783132530120476,59.0,49.0,82.0,32.0,56.0,48.0,42.0,69.0,16.0,32.0,0.0,28.0,31.0,14.0,14.0,29.0,28.0,37.0,51.0,61.431801201253656
2020-11-07,21.686746987951807,0.0,16.0,31.0,0.0,36.0,47.0,40.0,16.0,60.0,46.0,54.0,27.0,44.0,27.0,55.0,0.0,54.0,24.0,17.0,49.58518906645708
2020-11-08,49.39759036144578,64.0,54.0,70.0,69.0,20.0,69.0,76.0,92.0,33.0,68.0,30.0,45.0,50.0,92.0,61.0,63.0,31.0,26.0,74.0,91.52136155018
2020-11-09,46.98795180722892,0.0,17.0,17.0,16.0,38.0,0.0,0.0,18.0,16.0,16.0,0.0,29.0,62.0,0.0,29.0,30.0,29.0,0.0,53.0,33.5827050524457
2020-11-10,92.77108433734942,61.0,34.0,34.0,0.0,77.0,33.0,57.0,89.0,48.0,49.0,0.0,29.0,32.0,15.0,30.0,30.0,0.0,25.0,72.0,65.05496851318178
2020-11-11,69.87951807228916,41.0,34.0,17.0,33.0,19.0,50.0,57.0,53.0,32.0,49.0,28.0,29.0,63.0,43.0,58.0,15.0,29.0,13.0,52.0,63.21136436410213
2020-11-12,71.08433734939759,41.0,52.0,0.0,67.0,19.0,50.0,15.0,0.0,0.0,65.0,0.0,73.0,32.0,44.0,30.0,30.0,44.0,25.0,72.0,58.79835822198935
2020-11-13,24.09638554216868,20.0,52.0,70.0,34.0,97.0,51.0,44.0,18.0,0.0,33.0,0.0,44.0,0.0,44.0,44.0,30.0,44.0,13.0,18.0,54.772508951183326
