date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-02-29,37.0,48.0,56.0,55.0,33.0,19.0,15.0,32.0,64.0,48.0,46.0,93.0,14.0,51.0,14.0,31.0,28.0,80.0,47.0,46.0,62.73792093704247
2020-03-01,24.0,0.0,40.0,18.0,33.0,18.0,0.0,31.0,45.0,30.0,34.0,18.0,14.0,13.0,28.0,31.0,14.0,0.0,15.0,15.0,30.819912152269396
2020-03-02,46.0,87.0,51.0,34.0,45.0,67.0,68.0,59.0,100.0,57.0,55.0,50.0,13.0,47.0,52.0,100.0,37.0,44.0,70.0,55.0,83.23572474377745
2020-03-03,23.0,44.0,25.0,34.0,31.0,33.0,27.0,73.0,43.0,28.0,11.0,49.0,25.0,47.0,26.0,28.0,25.0,44.0,14.0,27.0,48.09663250366032
2020-03-04,23.0,0.0,39.0,17.0,15.0,34.0,14.0,29.0,56.0,14.0,11.0,67.0,0.0,24.0,0.0,14.0,0.0,29.0,28.0,28.0,32.357247437774525
2020-03-05,0.0,0.0,0.0,0.0,45.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,66.0,0.0,38.0,0.0,0.0,0.0,13.030746705710106
2020-03-06,11.0,0.0,13.0,34.0,15.0,34.0,14.0,29.0,28.0,14.0,11.0,0.0,13.0,12.0,13.0,14.0,0.0,15.0,14.0,0.0,20.79062957540264
2020-03-07,13.0,17.0,0.0,38.0,88.0,99.0,47.0,34.0,48.0,32.0,12.0,75.0,58.0,14.0,46.0,32.0,73.0,50.0,0.0,16.0,57.97950219619327
2020-03-08,47.0,29.0,79.0,17.0,92.0,50.0,41.0,30.0,58.0,29.0,54.0,85.0,13.0,48.0,27.0,87.0,13.0,59.0,74.0,71.0,73.42606149341142
2020-03-09,0.0,14.0,25.0,34.0,30.0,0.0,13.0,14.0,0.0,14.0,10.0,16.0,12.0,12.0,26.0,28.0,24.0,14.0,14.0,27.0,23.938506588579802
2020-03-10,45.0,71.0,37.0,82.0,45.0,16.0,40.0,29.0,42.0,56.0,11.0,33.0,25.0,35.0,39.0,70.0,12.0,14.0,28.0,14.0,54.46559297218156
2020-03-11,22.0,14.0,49.0,49.0,29.0,16.0,13.0,42.0,27.0,27.0,40.0,32.0,24.0,23.0,0.0,41.0,0.0,57.0,14.0,13.0,38.94582723279649
2020-03-12,45.0,57.0,25.0,50.0,15.0,16.0,27.0,14.0,42.0,69.0,21.0,17.0,37.0,47.0,0.0,28.0,37.0,57.0,41.0,68.0,52.196193265007324
2020-03-13,24.0,31.0,54.0,52.0,16.0,18.0,43.0,31.0,30.0,44.0,22.0,18.0,13.0,50.0,0.0,0.0,0.0,31.0,30.0,57.0,41.28843338213763
2020-03-14,47.0,31.0,28.0,35.0,49.0,53.0,85.0,31.0,30.0,74.0,100.0,36.0,13.0,100.0,69.0,77.0,27.0,77.0,45.0,88.0,80.1610541727672
2020-03-15,100.0,44.0,100.0,82.0,73.0,33.0,81.0,100.0,70.0,56.0,52.0,83.0,37.0,82.0,38.0,70.0,12.0,86.0,84.0,83.0,100.0
2020-03-16,47.0,73.0,64.0,71.0,75.0,69.0,57.0,61.0,12.0,35.0,18.0,97.0,31.0,69.0,86.0,59.0,52.0,49.0,59.0,35.0,81.91800878477306
