date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2021-04-18,66.0,72.0,65.0,75.0,77.0,70.0,72.0,59.0,70.83333333333333,67.0,70.08417508417509
2021-04-19,87.0,77.0,93.0,79.0,71.0,89.0,80.0,74.0,83.33333333333333,74.0,81.54882154882155
2021-04-20,80.0,77.0,75.0,93.0,90.0,92.0,91.0,89.0,92.70833333333333,77.0,86.5361952861953
2021-04-21,73.0,71.0,82.0,90.0,79.0,73.0,77.0,80.0,81.25,75.0,78.91414141414141
2021-04-22,82.0,79.0,82.0,80.0,88.0,79.0,80.0,72.0,80.20833333333333,77.0,80.72811447811448
2021-04-23,72.0,69.0,91.0,74.0,83.0,73.0,73.0,72.0,72.91666666666667,61.0,74.84006734006735
2021-04-24,59.0,64.0,75.0,67.0,66.0,66.0,63.0,67.0,59.375,64.0,65.69444444444443
2021-04-25,66.0,62.0,72.0,62.0,69.0,70.0,71.0,72.0,68.75,68.0,68.76262626262626
2021-04-26,69.0,64.0,76.0,67.0,74.0,70.0,62.0,67.0,70.83333333333333,65.0,69.17508417508417
2021-04-27,71.0,62.0,73.0,75.0,78.0,67.0,66.0,78.0,73.95833333333333,63.0,71.40993265993266
2021-04-28,61.0,69.0,74.0,81.0,79.0,69.0,68.0,66.0,73.95833333333333,59.0,70.70286195286197
2021-04-29,72.0,72.0,72.0,79.0,77.0,81.0,66.0,72.0,67.70833333333333,63.0,72.89983164983164
2021-04-30,77.0,80.0,86.0,100.0,79.0,86.0,77.0,77.0,85.41666666666667,75.0,83.07239057239056
2021-05-01,68.0,72.0,64.0,67.0,65.0,70.0,55.0,65.0,69.79166666666667,57.0,65.9385521885522
2021-05-02,60.0,63.0,72.0,65.0,70.0,67.0,74.0,60.0,62.5,57.0,65.70707070707071
2021-05-03,72.0,71.0,75.0,72.0,76.0,74.0,71.0,75.0,70.83333333333333,81.0,74.52861952861953
2021-05-04,58.0,70.0,73.0,63.0,71.0,74.0,62.0,61.0,66.66666666666667,64.0,66.93602693602693
2021-05-05,63.0,62.0,71.0,66.0,61.0,61.0,61.0,53.0,54.166666666666664,55.0,61.329966329966325
2021-05-06,70.0,70.0,78.0,81.0,72.0,69.0,71.0,66.0,76.04166666666667,62.0,72.22643097643098
2021-05-07,73.0,64.0,66.0,69.0,69.0,68.0,76.0,67.0,70.83333333333333,66.0,69.57912457912458
2021-05-08,67.0,68.0,70.0,71.0,71.0,73.0,71.0,60.0,72.91666666666667,61.0,69.18350168350167
2021-05-09,62.0,47.0,58.0,58.0,70.0,58.0,60.0,53.0,62.5,60.0,59.44444444444444
2021-05-10,75.0,72.0,82.0,66.0,65.0,86.0,78.0,68.0,71.875,67.0,73.82575757575758
2021-05-11,84.0,75.0,93.0,93.0,83.0,85.0,80.0,92.0,87.5,78.0,85.9090909090909
2021-05-12,72.0,78.0,71.0,83.0,71.0,73.0,80.0,71.0,81.25,63.0,75.07575757575758
2021-05-13,65.0,71.0,74.0,70.0,66.0,65.0,71.0,70.0,68.75,67.0,69.46969696969698
2021-05-14,64.0,64.0,73.0,65.0,62.0,62.0,74.0,61.0,65.625,69.0,66.62878787878789
2021-05-15,51.0,59.0,68.0,70.0,68.0,64.0,62.0,62.0,64.58333333333333,66.0,64.0993265993266
2021-05-16,56.0,60.0,52.0,57.0,61.0,48.0,59.0,55.0,55.208333333333336,52.0,56.08164983164983
2021-05-17,67.0,68.0,67.0,67.0,74.0,70.0,72.0,57.0,65.625,64.0,67.84090909090908
2021-05-18,72.0,63.0,67.0,66.0,76.0,73.0,63.0,59.0,66.66666666666667,67.0,67.94612794612794
2021-05-19,54.0,57.0,49.0,58.0,53.0,56.0,60.0,54.0,61.458333333333336,66.0,57.42003367003366
2021-05-20,53.0,51.0,64.0,59.0,59.0,65.0,55.0,52.0,56.25,62.0,58.207070707070706
2021-05-21,59.0,56.0,67.0,65.0,60.0,68.0,58.0,66.0,66.66666666666667,65.0,63.703703703703695
2021-05-22,52.0,44.0,65.0,61.0,63.0,53.0,47.0,54.0,68.75,48.0,56.13636363636363
2021-05-23,53.0,47.0,38.0,57.0,43.0,46.0,49.0,43.0,47.916666666666664,42.0,47.062289562289564
2021-05-24,40.0,48.0,49.0,46.0,59.0,41.0,47.0,44.0,42.708333333333336,49.0,47.041245791245785
2021-05-25,64.0,58.0,59.0,66.0,61.0,58.0,53.0,62.0,66.66666666666667,56.0,60.97643097643097
2021-05-26,52.0,55.0,61.0,60.0,58.0,58.0,46.0,58.0,56.25,55.0,56.48989898989899
2021-05-27,69.0,59.0,70.0,64.0,63.0,74.0,66.0,64.0,62.5,60.0,65.80808080808082
2021-05-28,46.0,54.0,61.0,60.0,58.0,44.0,53.0,49.0,52.083333333333336,51.0,53.34175084175083
2021-05-29,59.0,50.0,43.0,53.0,55.0,56.0,51.0,47.0,46.875,48.0,51.40151515151515
2021-05-30,49.0,46.0,59.0,48.0,47.0,44.0,52.0,49.0,56.25,46.0,50.12626262626262
2021-05-31,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
