date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2020-02-01,20.0,21.0,0.0,0.0,19.0,17.0,19.0,26.0,21.0,30.0,24.92795389048991
2020-02-02,0.0,0.0,33.0,21.0,18.0,17.0,37.0,51.0,21.0,0.0,28.530259365994233
2020-02-03,34.0,18.0,42.0,54.0,47.0,43.0,0.0,44.0,72.0,25.0,54.61095100864553
2020-02-04,19.0,0.0,31.0,0.0,18.0,32.0,36.0,25.0,41.0,14.0,31.123919308357348
2020-02-05,37.0,40.0,16.0,41.0,35.0,32.0,54.0,0.0,60.0,0.0,45.389048991354464
2020-02-06,20.0,21.0,0.0,21.0,0.0,0.0,0.0,25.0,21.0,0.0,15.561959654178674
2020-02-07,41.0,43.0,17.0,22.0,19.0,34.0,0.0,26.0,43.0,0.0,35.30259365994236
2020-02-08,42.0,0.0,0.0,23.0,60.0,18.0,0.0,54.0,67.0,15.0,40.201729106628235
2020-02-09,77.0,62.0,16.0,0.0,36.0,0.0,37.0,100.0,21.0,43.0,56.48414985590778
2020-02-10,18.0,57.0,76.0,100.0,84.0,15.0,69.0,94.0,58.0,27.0,86.1671469740634
2020-02-11,19.0,79.0,0.0,100.0,17.0,31.0,36.0,48.0,20.0,41.0,56.3400576368876
2020-02-12,0.0,38.0,30.0,0.0,0.0,15.0,35.0,47.0,20.0,13.0,28.530259365994233
2020-02-13,19.0,40.0,32.0,20.0,35.0,0.0,35.0,49.0,0.0,14.0,35.15850144092219
2020-02-14,20.0,42.0,32.0,42.0,37.0,33.0,0.0,0.0,0.0,15.0,31.84438040345821
2020-02-15,42.0,45.0,35.0,46.0,81.0,18.0,20.0,28.0,0.0,48.0,52.30547550432276
2020-02-16,43.0,67.0,0.0,0.0,20.0,54.0,20.0,55.0,22.0,16.0,42.79538904899135
2020-02-17,19.0,40.0,15.0,20.0,35.0,31.0,0.0,49.0,40.0,28.0,39.913544668587896
2020-02-18,19.0,0.0,16.0,20.0,18.0,0.0,18.0,24.0,20.0,14.0,21.469740634005763
2020-02-19,57.0,60.0,31.0,61.0,36.0,32.0,18.0,0.0,20.0,28.0,49.4236311239193
2020-02-20,39.0,20.0,16.0,0.0,18.0,33.0,0.0,0.0,0.0,0.0,18.155619596541786
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.1613832853025934
2020-02-22,21.0,0.0,18.0,23.0,39.0,36.0,20.0,27.0,23.0,15.0,31.988472622478383
2020-02-23,20.0,21.0,0.0,22.0,19.0,17.0,19.0,0.0,0.0,15.0,19.164265129682995
2020-02-24,19.0,0.0,0.0,20.0,35.0,16.0,37.0,25.0,20.0,28.0,28.81844380403458
2020-02-25,37.0,20.0,15.0,40.0,35.0,32.0,18.0,24.0,40.0,28.0,41.64265129682997
2020-02-26,19.0,0.0,60.0,39.0,34.0,31.0,34.0,48.0,19.0,40.0,46.685878962536016
2020-02-27,53.0,0.0,15.0,39.0,34.0,15.0,17.0,69.0,57.0,13.0,44.956772334293944
2020-02-28,19.0,20.0,16.0,21.0,36.0,0.0,36.0,0.0,61.0,28.0,34.149855907780974
2020-02-29,38.0,0.0,16.0,21.0,36.0,16.0,36.0,73.0,20.0,14.0,38.90489913544668
2020-03-01,56.0,58.0,62.0,41.0,52.0,16.0,36.0,73.0,80.0,28.0,72.3342939481268
2020-03-02,34.0,37.0,15.0,56.0,0.0,0.0,33.0,22.0,74.0,25.0,42.65129682997118
2020-03-03,71.0,95.0,88.0,78.0,0.0,45.0,34.0,69.0,38.0,26.0,78.38616714697406
2020-03-04,36.0,19.0,15.0,39.0,51.0,61.0,34.0,0.0,58.0,53.0,52.737752161383284
2020-03-05,53.0,19.0,60.0,38.0,51.0,61.0,34.0,47.0,57.0,40.0,66.28242074927954
2020-03-06,35.0,19.0,15.0,19.0,0.0,15.0,34.0,23.0,0.0,13.0,24.92795389048991
2020-03-07,20.0,21.0,33.0,64.0,37.0,100.0,0.0,26.0,62.0,29.0,56.48414985590778
2020-03-08,19.0,0.0,33.0,43.0,54.0,16.0,0.0,25.0,41.0,15.0,35.44668587896253
2020-03-09,0.0,18.0,0.0,19.0,0.0,0.0,0.0,0.0,18.0,13.0,9.798270893371757
2020-03-10,35.0,55.0,29.0,19.0,50.0,59.0,67.0,68.0,57.0,26.0,67.0028818443804
2020-03-11,90.0,19.0,15.0,39.0,50.0,59.0,68.0,92.0,94.0,53.0,83.42939481268012
2020-03-12,0.0,20.0,16.0,0.0,18.0,32.0,37.0,25.0,20.0,0.0,24.207492795389047
2020-03-13,42.0,22.0,53.0,69.0,39.0,18.0,41.0,0.0,45.0,31.0,51.873198847262245
2020-03-14,65.0,24.0,55.0,24.0,21.0,94.0,42.0,59.0,95.0,33.0,73.77521613832853
2020-03-15,62.0,87.0,52.0,45.0,58.0,35.0,60.0,54.0,66.0,31.0,79.2507204610951
2020-03-16,0.0,0.0,15.0,39.0,34.0,0.0,17.0,47.0,19.0,40.0,30.40345821325648
2020-03-17,18.0,55.0,15.0,37.0,33.0,14.0,33.0,45.0,18.0,25.0,42.21902017291066
2020-03-18,18.0,20.0,15.0,61.0,35.0,16.0,54.0,47.0,20.0,14.0,43.22766570605187
2020-03-19,57.0,100.0,63.0,42.0,54.0,32.0,19.0,25.0,40.0,57.0,70.46109510086455
2020-03-20,74.0,77.0,31.0,40.0,69.0,31.0,18.0,48.0,19.0,0.0,58.64553314121038
2020-03-21,58.0,41.0,96.0,83.0,91.0,82.0,37.0,76.0,21.0,100.0,98.70317002881843
2020-03-22,100.0,85.0,100.0,87.0,56.0,51.0,38.0,52.0,64.0,59.0,99.71181556195964
2020-03-23,0.0,17.0,14.0,18.0,15.0,0.0,16.0,0.0,0.0,24.0,14.985590778097981
2020-03-24,91.0,0.0,45.0,58.0,34.0,30.0,52.0,70.0,19.0,13.0,59.36599423631124
2020-03-25,35.0,37.0,15.0,38.0,50.0,0.0,17.0,70.0,38.0,13.0,45.10086455331412
2020-03-26,18.0,57.0,89.0,58.0,17.0,30.0,52.0,46.0,38.0,27.0,62.247838616714695
2020-03-27,17.0,55.0,29.0,56.0,16.0,30.0,50.0,91.0,37.0,25.0,58.5014409221902
2020-03-28,80.0,64.0,49.0,65.0,56.0,68.0,19.0,26.0,86.0,44.0,80.2593659942363
2020-03-29,19.0,20.0,32.0,20.0,35.0,32.0,36.0,25.0,20.0,42.0,40.48991354466858
2020-03-30,17.0,36.0,0.0,19.0,32.0,0.0,33.0,66.0,55.0,13.0,39.04899135446686
2020-03-31,0.0,54.0,15.0,19.0,16.0,0.0,50.0,23.0,0.0,26.0,29.2507204610951
2020-04-01,35.0,37.0,58.0,38.0,33.0,60.0,69.0,68.0,56.0,26.0,69.16426512968299
2020-04-02,34.0,18.0,30.0,38.0,33.0,45.0,0.0,23.0,37.0,27.0,41.066282420749275
2020-04-03,36.0,75.0,75.0,57.0,100.0,90.0,35.0,90.0,56.0,80.0,100.0
2020-04-04,41.0,0.0,51.0,22.0,96.0,17.0,77.0,26.0,43.0,45.0,60.23054755043227
2020-04-05,21.0,0.0,0.0,22.0,0.0,0.0,20.0,0.0,22.0,15.0,14.40922190201729
2020-04-06,17.0,35.0,0.0,0.0,16.0,42.0,16.0,0.0,36.0,12.0,25.07204610951008
