date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-03-28,91.0,82.0,87.0,83.0,88.0,97.0,91.0,84.0,78.0,92.0,84.0,93.0,85.0,91.0,87.0,83.0,84.0,98.0,84.0,95.6989247311828,90.60303735727749
2020-03-29,85.0,87.0,83.0,82.0,92.0,85.0,91.0,93.0,96.0,81.0,87.0,84.0,84.0,87.0,85.0,79.0,83.0,92.0,81.0,93.54838709677419,89.20352510808115
2020-03-30,65.0,68.0,62.0,73.0,68.0,65.0,69.0,67.0,71.0,62.0,62.0,73.0,64.0,65.0,68.0,59.0,64.0,69.0,56.0,65.59139784946237,67.8139895798692
2020-03-31,54.0,59.0,61.0,60.0,63.0,62.0,68.0,63.0,65.0,57.0,69.0,61.0,49.0,59.0,64.0,61.0,62.0,65.0,58.0,62.365591397849464,63.0085356390644
2020-04-01,67.0,64.0,60.0,64.0,63.0,65.0,65.0,65.0,63.0,61.0,65.0,58.0,57.0,65.0,69.0,56.0,69.0,67.0,64.0,65.59139784946237,65.59749473450837
2020-04-02,64.0,56.0,66.0,58.0,68.0,66.0,62.0,61.0,66.0,63.0,71.0,68.0,63.0,70.0,69.0,58.0,70.0,66.0,62.0,72.04301075268819,66.96097993570558
2020-04-03,100.0,91.0,92.0,89.0,98.0,99.0,100.0,96.0,100.0,100.0,100.0,93.0,95.0,100.0,97.0,100.0,93.0,94.0,96.0,96.77419354838709,99.47289657465912
2020-04-04,95.0,100.0,100.0,100.0,100.0,100.0,94.0,96.0,97.0,96.0,96.0,100.0,96.0,91.0,100.0,88.0,100.0,100.0,91.0,100.0,100.0
2020-04-05,92.0,88.0,93.0,88.0,94.0,91.0,97.0,100.0,94.0,91.0,97.0,95.0,100.0,96.0,87.0,94.0,90.0,95.0,100.0,94.6236559139785,96.73317813989578
2020-04-06,49.0,48.0,45.0,41.0,48.0,47.0,48.0,55.0,47.0,48.0,44.0,47.0,49.0,45.0,50.0,44.0,49.0,43.0,41.0,44.08602150537634,48.045671211617346
2020-04-07,52.0,53.0,53.0,53.0,58.0,57.0,50.0,53.0,53.0,50.0,48.0,55.0,53.0,54.0,47.0,48.0,52.0,54.0,50.0,53.76344086021506,53.95687839485645
2020-04-08,55.0,43.0,47.0,47.0,45.0,52.0,50.0,46.0,45.0,50.0,55.0,48.0,52.0,48.0,50.0,52.0,43.0,51.0,49.0,49.46236559139785,50.38465802017515
2020-04-09,43.0,34.0,42.0,34.0,50.0,38.0,43.0,42.0,38.0,51.0,42.0,45.0,42.0,45.0,42.0,39.0,39.0,44.0,41.0,52.68817204301075,43.64372020840261
2020-04-10,38.0,34.0,35.0,36.0,36.0,43.0,40.0,40.0,38.0,37.0,38.0,43.0,36.0,31.0,36.0,38.0,42.0,39.0,36.0,39.784946236559136,38.957986919410274
2020-04-11,44.0,36.0,38.0,34.0,47.0,42.0,43.0,35.0,36.0,45.0,43.0,41.0,39.0,43.0,50.0,39.0,38.0,46.0,40.0,46.23655913978494,42.5379669659683
2020-04-12,36.0,41.0,41.0,41.0,43.0,42.0,40.0,34.0,39.0,41.0,35.0,35.0,36.0,37.0,34.0,32.0,34.0,39.0,35.0,38.70967741935485,38.85101429996675
2020-04-13,47.0,38.0,44.0,37.0,44.0,48.0,44.0,45.0,39.0,45.0,50.0,39.0,46.0,44.0,44.0,47.0,42.0,49.0,40.0,48.387096774193544,45.38077818423678
2020-04-14,30.0,37.0,34.0,33.0,34.0,39.0,41.0,32.0,39.0,33.0,38.0,34.0,34.0,37.0,41.0,34.0,35.0,36.0,34.0,35.483870967741936,36.62287994679083
2020-04-15,34.0,32.0,29.0,29.0,36.0,36.0,35.0,39.0,40.0,33.0,28.0,31.0,36.0,33.0,33.0,37.0,35.0,37.0,31.0,33.333333333333336,34.914089347079035
2020-04-16,32.0,37.0,33.0,33.0,35.0,36.0,33.0,37.0,38.0,34.0,35.0,34.0,32.0,38.0,35.0,33.0,30.0,35.0,32.0,33.333333333333336,35.32646048109965
2020-04-17,41.0,33.0,38.0,36.0,44.0,46.0,41.0,35.0,36.0,43.0,43.0,46.0,40.0,41.0,41.0,41.0,42.0,44.0,45.0,41.935483870967744,42.16162287994679
2020-04-18,38.0,27.0,34.0,31.0,40.0,40.0,35.0,28.0,31.0,38.0,34.0,36.0,36.0,34.0,38.0,33.0,35.0,37.0,35.0,34.40860215053763,35.79425784281122
2020-04-19,32.0,35.0,32.0,33.0,35.0,35.0,35.0,32.0,32.0,33.0,34.0,32.0,31.0,34.0,32.0,26.0,29.0,30.0,29.0,32.25806451612903,33.15763219155304
2020-04-20,24.0,28.0,25.0,27.0,26.0,30.0,27.0,29.0,28.0,24.0,32.0,27.0,25.0,29.0,26.0,30.0,24.0,33.0,27.0,31.182795698924732,28.463030706130137
2020-04-21,23.0,30.0,27.0,27.0,32.0,36.0,30.0,30.0,28.0,27.0,36.0,30.0,27.0,29.0,31.0,27.0,24.0,26.0,26.0,31.182795698924732,29.751690499944573
2020-04-22,33.0,26.0,26.0,24.0,29.0,30.0,28.0,30.0,29.0,28.0,28.0,28.0,31.0,35.0,30.0,27.0,32.0,33.0,32.0,31.182795698924732,30.421793592728076
2020-04-23,58.0,58.0,55.0,53.0,62.0,57.0,62.0,52.0,61.0,54.0,57.0,59.0,53.0,64.0,55.0,53.0,59.0,57.0,55.0,62.365591397849464,59.09100986586852
2020-04-24,28.0,26.0,30.0,25.0,27.0,31.0,29.0,23.0,21.0,30.0,34.0,30.0,31.0,29.0,28.0,25.0,26.0,29.0,30.0,26.88172043010753,28.808336104644717
2020-04-25,31.0,24.0,28.0,21.0,29.0,30.0,26.0,29.0,27.0,24.0,26.0,24.0,23.0,28.0,23.0,24.0,24.0,31.0,24.0,29.032258064516128,27.063518456933824
2020-04-26,23.0,23.0,26.0,25.0,23.0,26.0,25.0,25.0,25.0,25.0,28.0,23.0,25.0,25.0,26.0,22.0,24.0,27.0,25.0,23.655913978494624,25.497727524664676
2020-04-27,25.0,20.0,23.0,21.0,30.0,25.0,24.0,22.0,23.0,27.0,26.0,20.0,23.0,25.0,23.0,23.0,23.0,23.0,25.0,23.655913978494624,24.466799689613122
2020-04-28,25.0,28.0,30.0,23.0,32.0,35.0,27.0,28.0,22.0,29.0,33.0,29.0,28.0,30.0,27.0,32.0,28.0,27.0,30.0,26.88172043010753,29.37534641392307
2020-04-29,34.0,31.0,26.0,33.0,29.0,30.0,29.0,27.0,30.0,26.0,37.0,30.0,22.0,33.0,29.0,28.0,31.0,34.0,27.0,30.10752688172043,30.727192107305175
2020-04-30,33.0,32.0,35.0,30.0,33.0,38.0,35.0,33.0,31.0,33.0,42.0,35.0,34.0,39.0,35.0,34.0,33.0,35.0,36.0,35.483870967741936,35.64349850349185
