date,/m/05w_j_0,/m/05w_j_1,/m/05w_j_2,/m/05w_j_3,/m/05w_j_4,/m/05w_j_5,/m/05w_j_6,/m/05w_j_7,/m/05w_j_8,/m/05w_j_9,/m/05w_j
2021-04-18,40.0,49.0,32.0,42.0,49.0,56.0,41.0,47.77777777777778,49.0,35.0,49.30400198856574
2021-04-19,59.0,45.0,48.0,58.0,68.0,68.0,48.0,48.888888888888886,47.0,37.0,58.936117325379065
2021-04-20,57.0,54.0,57.0,60.0,47.0,40.0,51.0,68.88888888888889,55.0,43.0,59.60725826497638
2021-04-21,47.0,47.0,35.0,37.0,49.0,37.0,44.0,40.0,45.0,41.0,47.20357941834452
2021-04-22,46.0,51.0,44.0,44.0,46.0,57.0,52.0,68.88888888888889,42.0,43.0,55.24484215759384
2021-04-23,60.0,47.0,45.0,40.0,51.0,33.0,49.0,41.111111111111114,56.0,39.0,51.57842406164553
2021-04-24,44.0,42.0,60.0,49.0,42.0,47.0,40.0,40.0,43.0,40.0,50.0
2021-04-25,43.0,29.0,32.0,42.0,29.0,35.0,35.0,27.77777777777778,37.0,29.0,37.894606015411384
2021-04-26,53.0,48.0,58.0,40.0,59.0,53.0,52.0,54.44444444444444,49.0,54.0,58.215262242107876
2021-04-27,59.0,68.0,52.0,63.0,53.0,83.0,64.0,47.77777777777778,57.0,53.0,67.08923688789461
2021-04-28,56.0,47.0,54.0,51.0,58.0,59.0,53.0,44.44444444444444,51.0,37.0,57.096694009445685
2021-04-29,57.0,57.0,45.0,57.0,73.0,61.0,53.0,72.22222222222223,64.0,44.0,65.23738503604274
2021-04-30,65.0,75.0,57.0,57.0,65.0,67.0,58.0,66.66666666666667,59.0,46.0,68.86651752423566
2021-05-01,49.0,56.0,40.0,48.0,41.0,70.0,45.0,42.22222222222222,47.0,41.0,53.604275416355954
2021-05-02,62.0,68.0,42.0,45.0,51.0,64.0,61.0,71.11111111111111,48.0,46.0,62.4285359184688
2021-05-03,64.0,54.0,64.0,63.0,67.0,67.0,73.0,56.666666666666664,57.0,48.0,68.64280387770322
2021-05-04,48.0,64.0,48.0,64.0,60.0,62.0,59.0,71.11111111111111,47.0,45.0,63.547104151130995
2021-05-05,62.0,59.0,67.0,49.0,62.0,62.0,56.0,73.33333333333333,60.0,50.0,67.15137956748693
2021-05-06,68.0,63.0,57.0,61.0,74.0,71.0,64.0,60.0,64.0,43.0,69.91051454138702
2021-05-07,70.0,79.0,68.0,76.0,75.0,81.0,66.0,68.88888888888889,70.0,67.0,80.6363410390256
2021-05-08,71.0,62.0,55.0,73.0,69.0,98.0,64.0,74.44444444444444,71.0,49.0,76.78349490430027
2021-05-09,86.0,54.0,43.0,67.0,57.0,69.0,78.0,74.44444444444444,63.0,70.0,73.98707432264479
2021-05-10,100.0,89.0,100.0,84.0,76.0,95.0,69.0,93.33333333333333,99.0,65.0,97.35272184936615
2021-05-11,86.0,96.0,75.0,71.0,82.0,100.0,81.0,97.77777777777777,99.0,75.0,96.50758140691028
2021-05-12,77.0,80.0,74.0,78.0,74.0,75.0,64.0,82.22222222222223,91.0,63.0,84.81232910763111
2021-05-13,100.0,94.0,90.0,87.0,67.0,92.0,93.0,96.66666666666667,98.0,61.0,98.2848620432513
2021-05-14,91.0,100.0,82.0,82.0,72.0,77.0,91.0,100.0,99.0,100.0,100.0
2021-05-15,71.0,56.0,64.0,52.0,61.0,66.0,72.0,64.44444444444444,79.0,64.0,72.64479244345016
2021-05-16,67.0,67.0,68.0,71.0,63.0,78.0,82.0,68.88888888888889,75.0,73.0,79.74148645289584
2021-05-17,86.0,88.0,67.0,90.0,72.0,97.0,78.0,97.77777777777777,77.0,79.0,93.04001988565746
2021-05-18,84.0,85.0,82.0,100.0,77.0,99.0,80.0,97.77777777777777,92.0,64.0,96.28386776037782
2021-05-19,81.0,90.0,55.0,91.0,79.0,93.0,84.0,86.66666666666667,88.0,68.0,91.23788217747948
2021-05-20,88.0,67.0,85.0,86.0,100.0,84.0,83.0,88.88888888888889,90.0,58.0,92.82873477504349
2021-05-21,87.0,82.0,58.0,68.0,66.0,80.0,58.0,70.0,75.0,69.0,79.75391498881432
2021-05-22,59.0,80.0,74.0,74.0,59.0,77.0,67.0,88.88888888888889,88.0,54.0,80.6363410390256
2021-05-23,65.0,61.0,49.0,46.0,58.0,59.0,63.0,40.0,64.0,52.0,62.304250559284114
2021-05-24,69.0,79.0,63.0,79.0,70.0,82.0,71.0,86.66666666666667,95.0,49.0,83.1841909023117
2021-05-25,95.0,89.0,84.0,89.0,73.0,87.0,70.0,87.77777777777777,100.0,65.0,93.93487447178724
2021-05-26,80.0,65.0,69.0,63.0,67.0,92.0,70.0,75.55555555555556,92.0,62.0,82.27690778026349
2021-05-27,86.0,82.0,81.0,80.0,91.0,99.0,88.0,98.88888888888889,91.0,71.0,97.07929405915982
2021-05-28,78.0,73.0,60.0,71.0,71.0,80.0,75.0,57.77777777777778,75.0,55.0,77.82749192145165
2021-05-29,64.0,58.0,50.0,60.0,73.0,80.0,68.0,71.11111111111111,49.0,52.0,69.92294307730548
2021-05-30,75.0,55.0,70.0,65.0,62.0,86.0,66.0,57.77777777777778,73.0,63.0,75.25478498632862
2021-05-31,75.0,91.0,78.0,92.0,94.0,97.0,100.0,100.0,90.0,72.0,99.4407158836689
