date,/m/0fd23_0,/m/0fd23_1,/m/0fd23_2,/m/0fd23_3,/m/0fd23_4,/m/0fd23_5,/m/0fd23_6,/m/0fd23_7,/m/0fd23_8,/m/0fd23_9,/m/0fd23
2020-02-01,26.0,20.0,40.0,0.0,36.0,33.0,0.0,22.0,13.0,10.0,24.63054187192118
2020-02-02,27.0,32.0,14.0,12.0,0.0,23.0,11.0,45.0,27.0,21.0,26.108374384236452
2020-02-03,12.0,26.0,35.0,31.0,21.0,29.0,9.0,19.0,12.0,26.0,27.0935960591133
2020-02-04,0.0,9.0,0.0,11.0,0.0,10.0,10.0,0.0,0.0,9.0,6.03448275862069
2020-02-05,50.0,19.0,62.0,11.0,46.0,41.0,20.0,31.0,49.0,9.0,41.62561576354679
2020-02-06,13.0,40.0,26.0,11.0,48.0,22.0,0.0,33.0,0.0,10.0,25.0
2020-02-07,13.0,10.0,26.0,0.0,24.0,11.0,10.0,22.0,26.0,0.0,17.48768472906404
2020-02-08,13.0,10.0,27.0,12.0,36.0,11.0,21.0,33.0,13.0,20.0,24.13793103448276
2020-02-09,39.0,59.0,39.0,23.0,24.0,44.0,31.0,22.0,52.0,39.0,45.8128078817734
2020-02-10,36.0,36.0,12.0,52.0,11.0,30.0,28.0,50.0,35.0,9.0,36.822660098522164
2020-02-11,24.0,9.0,12.0,10.0,11.0,30.0,9.0,40.0,24.0,18.0,23.029556650246306
2020-02-12,12.0,28.0,48.0,11.0,22.0,20.0,19.0,20.0,24.0,46.0,30.788177339901477
2020-02-13,25.0,19.0,25.0,11.0,11.0,0.0,20.0,21.0,25.0,0.0,19.334975369458128
2020-02-14,0.0,10.0,25.0,34.0,11.0,21.0,10.0,11.0,25.0,9.0,19.211822660098523
2020-02-15,81.0,52.0,68.0,47.0,37.0,45.0,43.0,34.0,40.0,30.0,58.743842364532014
2020-02-16,27.0,0.0,27.0,23.0,12.0,22.0,11.0,22.0,27.0,0.0,21.059113300492612
2020-02-17,23.0,27.0,0.0,31.0,11.0,0.0,9.0,10.0,12.0,18.0,17.364532019704434
2020-02-18,58.0,63.0,47.0,21.0,43.0,29.0,47.0,20.0,35.0,18.0,46.92118226600985
2020-02-19,48.0,46.0,37.0,21.0,44.0,31.0,38.0,30.0,48.0,28.0,45.689655172413794
2020-02-20,25.0,10.0,38.0,33.0,23.0,32.0,10.0,21.0,38.0,19.0,30.665024630541872
2020-02-21,26.0,30.0,26.0,46.0,47.0,21.0,10.0,32.0,25.0,49.0,38.423645320197046
2020-02-22,14.0,21.0,55.0,24.0,25.0,11.0,33.0,23.0,27.0,10.0,29.926108374384235
2020-02-23,14.0,43.0,42.0,49.0,38.0,35.0,55.0,34.0,41.0,31.0,47.04433497536946
2020-02-24,12.0,10.0,25.0,44.0,11.0,0.0,10.0,0.0,12.0,28.0,18.7192118226601
2020-02-25,24.0,37.0,37.0,21.0,22.0,30.0,19.0,20.0,12.0,9.0,28.448275862068964
2020-02-26,35.0,9.0,0.0,10.0,11.0,10.0,0.0,10.0,0.0,9.0,11.576354679802956
2020-02-27,12.0,19.0,24.0,42.0,43.0,20.0,9.0,10.0,23.0,27.0,28.201970443349754
2020-02-28,26.0,10.0,26.0,11.0,0.0,21.0,51.0,32.0,38.0,29.0,30.04926108374384
2020-02-29,66.0,30.0,26.0,23.0,24.0,22.0,21.0,0.0,0.0,20.0,28.57142857142857
2020-03-01,26.0,30.0,39.0,23.0,36.0,22.0,31.0,44.0,52.0,0.0,37.31527093596059
2020-03-02,12.0,9.0,36.0,42.0,22.0,20.0,29.0,29.0,35.0,18.0,31.034482758620687
2020-03-03,36.0,28.0,12.0,21.0,22.0,10.0,9.0,30.0,12.0,18.0,24.384236453201968
2020-03-04,24.0,27.0,60.0,62.0,33.0,10.0,19.0,29.0,47.0,27.0,41.62561576354679
2020-03-05,24.0,9.0,12.0,10.0,21.0,10.0,19.0,10.0,0.0,18.0,16.379310344827587
2020-03-06,24.0,18.0,24.0,53.0,22.0,20.0,38.0,0.0,35.0,9.0,29.926108374384235
2020-03-07,27.0,41.0,54.0,12.0,12.0,0.0,53.0,11.0,26.0,10.0,30.295566502463053
2020-03-08,13.0,29.0,64.0,45.0,0.0,31.0,10.0,31.0,12.0,29.0,32.51231527093596
2020-03-09,23.0,18.0,24.0,31.0,32.0,29.0,9.0,29.0,23.0,26.0,30.04926108374384
2020-03-10,36.0,27.0,36.0,42.0,43.0,39.0,19.0,10.0,47.0,27.0,40.14778325123152
2020-03-11,24.0,27.0,35.0,31.0,11.0,10.0,9.0,10.0,34.0,26.0,26.72413793103448
2020-03-12,23.0,26.0,0.0,20.0,31.0,0.0,9.0,19.0,11.0,9.0,18.226600985221673
2020-03-13,13.0,0.0,37.0,22.0,11.0,10.0,10.0,10.0,12.0,0.0,15.394088669950738
2020-03-14,77.0,20.0,52.0,34.0,47.0,11.0,51.0,11.0,64.0,49.0,51.23152709359606
2020-03-15,59.0,54.0,47.0,72.0,32.0,58.0,37.0,39.0,35.0,62.0,60.960591133004925
2020-03-16,0.0,0.0,11.0,9.0,10.0,0.0,8.0,17.0,21.0,0.0,9.35960591133005
2020-03-17,21.0,33.0,42.0,28.0,19.0,44.0,17.0,53.0,10.0,32.0,36.822660098522164
2020-03-18,46.0,44.0,57.0,31.0,52.0,67.0,46.0,29.0,79.0,26.0,58.743842364532014
2020-03-19,24.0,55.0,59.0,31.0,65.0,78.0,47.0,49.0,47.0,45.0,61.576354679802954
2020-03-20,35.0,53.0,57.0,82.0,42.0,77.0,46.0,19.0,57.0,44.0,63.05418719211823
2020-03-21,53.0,60.0,92.0,93.0,12.0,76.0,42.0,43.0,52.0,59.0,71.67487684729063
2020-03-22,76.0,58.0,64.0,100.0,58.0,53.0,71.0,96.0,25.0,47.0,79.80295566502463
2020-03-23,30.0,39.0,61.0,44.0,55.0,34.0,16.0,25.0,40.0,46.0,48.029556650246306
2020-03-24,100.0,43.0,56.0,70.0,50.0,56.0,62.0,37.0,66.0,42.0,71.67487684729063
2020-03-25,44.0,42.0,33.0,29.0,50.0,64.0,52.0,18.0,32.0,25.0,47.9064039408867
2020-03-26,57.0,26.0,57.0,59.0,20.0,47.0,27.0,19.0,66.0,42.0,51.724137931034484
2020-03-27,77.0,100.0,55.0,68.0,100.0,100.0,44.0,100.0,86.0,82.0,100.0
