date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0
2021-02-26,34.0,15.0,16.0,52.0,33.0,31.0,18.0,17.0,28.0,33.0,46.39865996649916
2021-02-27,38.0,17.0,53.0,59.0,57.0,70.0,40.0,39.0,0.0,19.0,65.66164154103853
2021-02-28,72.0,32.0,34.0,55.0,35.0,33.0,19.0,56.0,15.0,36.0,64.82412060301507
2021-03-01,0.0,15.0,16.0,17.0,50.0,0.0,36.0,17.0,14.0,33.0,33.165829145728644
2021-03-02,17.0,15.0,31.0,51.0,16.0,31.0,35.0,87.0,56.0,50.0,65.15912897822446
2021-03-03,33.0,29.0,45.0,50.0,48.0,45.0,52.0,17.0,27.0,0.0,57.95644891122278
2021-03-04,33.0,29.0,15.0,17.0,16.0,15.0,0.0,100.0,96.0,33.0,59.2964824120603
2021-03-05,16.0,42.0,30.0,33.0,64.0,45.0,34.0,33.0,13.0,16.0,54.60636515912898
2021-03-06,18.0,32.0,34.0,55.0,53.0,17.0,0.0,18.0,30.0,36.0,49.0787269681742
2021-03-07,35.0,46.0,80.0,18.0,52.0,65.0,18.0,72.0,100.0,69.0,92.96482412060301
2021-03-08,16.0,28.0,59.0,48.0,16.0,44.0,17.0,17.0,27.0,16.0,48.24120603015075
2021-03-09,82.0,43.0,45.0,100.0,80.0,30.0,69.0,17.0,41.0,32.0,90.28475711892797
2021-03-10,45.0,40.0,28.0,62.0,30.0,14.0,32.0,78.0,25.0,30.0,64.321608040201
2021-03-11,16.0,29.0,15.0,33.0,32.0,30.0,34.0,16.0,40.0,48.0,49.0787269681742
2021-03-12,16.0,29.0,15.0,0.0,48.0,30.0,52.0,66.0,14.0,49.0,53.43383584589615
2021-03-13,32.0,14.0,15.0,50.0,16.0,30.0,0.0,33.0,14.0,32.0,39.530988274706864
2021-03-14,33.0,29.0,0.0,0.0,49.0,30.0,0.0,17.0,55.0,33.0,41.20603015075377
2021-03-15,12.0,43.0,34.0,25.0,25.0,23.0,52.0,63.0,30.0,61.0,61.64154103852595
2021-03-16,41.0,25.0,39.0,58.0,14.0,38.0,0.0,43.0,12.0,70.0,56.951423785594635
2021-03-17,32.0,29.0,44.0,50.0,63.0,59.0,34.0,66.0,39.0,80.0,83.08207705192629
2021-03-18,48.0,43.0,30.0,16.0,79.0,74.0,100.0,49.0,93.0,65.0,100.0
2021-03-19,17.0,0.0,31.0,0.0,33.0,30.0,0.0,51.0,42.0,0.0,34.17085427135678
2021-03-20,18.0,32.0,33.0,37.0,36.0,67.0,19.0,56.0,30.0,92.0,70.35175879396985
2021-03-21,67.0,29.0,31.0,67.0,33.0,46.0,35.0,52.0,14.0,17.0,65.49413735343383
2021-03-22,32.0,14.0,75.0,50.0,48.0,60.0,69.0,0.0,40.0,47.0,72.8643216080402
2021-03-23,64.0,14.0,45.0,33.0,47.0,58.0,50.0,33.0,40.0,48.0,72.36180904522612
2021-03-24,16.0,14.0,15.0,16.0,32.0,30.0,17.0,49.0,67.0,64.0,53.60134003350083
2021-03-25,33.0,29.0,30.0,34.0,33.0,15.0,17.0,34.0,0.0,34.0,43.38358458961474
2021-03-26,16.0,0.0,30.0,17.0,32.0,30.0,17.0,34.0,41.0,32.0,41.70854271356784
2021-03-27,18.0,48.0,34.0,55.0,53.0,49.0,57.0,19.0,60.0,0.0,65.82914572864321
2021-03-28,38.0,50.0,53.0,38.0,75.0,52.0,41.0,39.0,31.0,76.0,82.57956448911223
2021-03-29,64.0,43.0,60.0,83.0,16.0,44.0,51.0,17.0,68.0,16.0,77.38693467336682
2021-03-30,100.0,74.0,47.0,34.0,50.0,31.0,18.0,69.0,28.0,99.0,92.12730318257957
2021-03-31,76.0,27.0,43.0,63.0,62.0,43.0,64.0,49.0,39.0,15.0,80.56951423785594
2021-04-01,83.0,100.0,75.0,33.0,48.0,30.0,69.0,0.0,14.0,0.0,75.71189279731993
2021-04-02,34.0,29.0,47.0,51.0,66.0,47.0,36.0,69.0,28.0,100.0,84.92462311557789
2021-04-03,55.0,32.0,17.0,19.0,18.0,17.0,39.0,56.0,15.0,54.0,53.936348408710224
2021-04-04,0.0,0.0,0.0,0.0,18.0,0.0,0.0,19.0,0.0,18.0,9.212730318257956
2021-04-05,65.0,57.0,30.0,50.0,47.0,59.0,34.0,0.0,0.0,16.0,59.96649916247905
2021-04-06,13.0,47.0,25.0,27.0,13.0,25.0,28.0,14.0,11.0,26.0,38.358458961474035
2021-04-07,14.0,62.0,26.0,14.0,55.0,13.0,44.0,0.0,47.0,41.0,52.93132328308207
2021-04-08,44.0,25.0,40.0,15.0,100.0,53.0,61.0,15.0,12.0,0.0,61.13902847571189
2021-04-09,43.0,13.0,13.0,14.0,14.0,0.0,0.0,44.0,36.0,57.0,39.19597989949749
2021-04-10,61.0,13.0,28.0,93.0,30.0,14.0,64.0,16.0,63.0,91.0,79.22948073701842
2021-04-11,64.0,42.0,44.0,64.0,78.0,30.0,50.0,16.0,26.0,0.0,69.3467336683417
2021-04-12,30.0,0.0,56.0,31.0,45.0,0.0,64.0,16.0,25.0,0.0,44.72361809045226
2021-04-13,15.0,13.0,14.0,16.0,30.0,0.0,32.0,15.0,38.0,30.0,34.00335008375209
2021-04-14,16.0,27.0,0.0,16.0,15.0,57.0,16.0,16.0,26.0,15.0,34.17085427135678
2021-04-15,0.0,0.0,30.0,32.0,0.0,29.0,0.0,16.0,13.0,0.0,20.100502512562812
2021-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,10.720268006700167
2021-04-17,34.0,15.0,31.0,35.0,34.0,0.0,18.0,35.0,14.0,17.0,39.028475711892796
2021-04-18,71.0,47.0,33.0,18.0,0.0,32.0,56.0,18.0,44.0,17.0,56.281407035175874
2021-04-19,47.0,69.0,73.0,48.0,62.0,58.0,50.0,32.0,26.0,62.0,88.27470686767168
2021-04-20,46.0,55.0,28.0,78.0,31.0,0.0,33.0,32.0,39.0,46.0,64.99162479061975
