date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40040040040040037
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6006006006006006
2020-02-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3003003003003003
2020-02-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0010010010010009
2020-02-15,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5005005005005004
2020-02-16,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3003003003003003
2020-02-17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.40040040040040037
2020-02-18,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7007007007007007
2020-02-19,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6006006006006006
2020-02-20,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6006006006006006
2020-02-21,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8008008008008007
2020-02-22,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0010010010010009
2020-02-23,1.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,1.7017017017017015
