date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2021-04-18,23.0,16.0,24.0,21.0,20.0,32.0,23.0,30.0,14.0,38.0,24.1
2021-04-19,55.0,48.0,42.0,37.0,31.0,49.0,26.0,43.0,37.0,52.0,42.0
2021-04-20,40.0,39.0,25.0,28.0,22.0,32.0,28.0,15.0,29.0,44.0,30.2
2021-04-21,48.0,33.0,31.0,23.0,30.0,38.0,27.0,22.0,33.0,45.0,33.0
2021-04-22,44.0,32.0,32.0,32.0,10.0,44.0,27.0,38.0,32.0,48.0,33.9
2021-04-23,30.0,22.0,18.0,14.0,14.0,29.0,16.0,33.0,15.0,13.0,20.4
2021-04-24,18.0,20.0,18.0,7.0,16.0,22.0,20.0,9.0,18.0,17.0,16.5
2021-04-25,17.0,19.0,17.0,17.0,22.0,15.0,12.0,14.0,15.0,13.0,16.1
2021-04-26,43.0,23.0,28.0,24.0,14.0,32.0,15.0,12.0,25.0,16.0,23.2
2021-04-27,45.0,31.0,28.0,21.0,16.0,39.0,20.0,27.0,31.0,31.0,28.9
2021-04-28,39.0,36.0,21.0,29.0,18.0,42.0,21.0,25.0,16.0,33.0,28.0
2021-04-29,39.0,26.0,24.0,25.0,17.0,33.0,24.0,21.0,38.0,45.0,29.2
2021-04-30,36.0,25.0,26.0,24.0,22.0,30.0,21.0,27.0,25.0,22.0,25.8
2021-05-01,34.0,39.0,21.0,16.0,22.0,23.0,14.0,23.0,27.0,28.0,24.7
2021-05-02,22.0,35.0,27.0,19.0,17.0,32.0,24.0,20.0,18.0,21.0,23.5
2021-05-03,32.0,49.0,30.0,34.0,15.0,28.0,24.0,38.0,39.0,37.0,32.6
2021-05-04,39.0,36.0,26.0,23.0,23.0,42.0,21.0,37.0,28.0,37.0,31.2
2021-05-05,24.0,46.0,31.0,40.0,35.0,31.0,43.0,26.0,37.0,29.0,34.2
2021-05-06,31.0,29.0,22.0,25.0,30.0,37.0,27.0,32.0,33.0,44.0,31.0
2021-05-07,46.0,33.0,33.0,18.0,28.0,42.0,30.0,34.0,18.0,25.0,30.7
2021-05-08,42.0,28.0,16.0,24.0,19.0,31.0,10.0,20.0,20.0,31.0,24.1
2021-05-09,13.0,23.0,21.0,5.0,16.0,17.0,14.0,21.0,9.0,12.0,15.1
2021-05-10,41.0,35.0,39.0,41.0,40.0,31.0,38.0,40.0,29.0,48.0,38.2
2021-05-11,53.0,50.0,43.0,24.0,34.0,44.0,40.0,35.0,43.0,42.0,40.8
2021-05-12,56.0,42.0,34.0,24.0,26.0,56.0,41.0,60.0,47.0,60.0,44.6
2021-05-13,41.0,30.0,37.0,40.0,33.0,44.0,30.0,36.0,25.0,33.0,34.9
2021-05-14,56.0,44.0,20.0,26.0,24.0,48.0,37.0,48.0,32.0,53.0,38.8
2021-05-15,50.0,45.0,27.0,24.0,15.0,33.0,30.0,40.0,22.0,41.0,32.7
2021-05-16,36.0,18.0,19.0,26.0,19.0,22.0,11.0,21.0,14.0,15.0,20.1
2021-05-17,34.0,19.0,22.0,17.0,16.0,32.0,15.0,25.0,24.0,29.0,23.3
2021-05-18,28.0,35.0,27.0,22.0,15.0,30.0,29.0,23.0,12.0,28.0,24.9
2021-05-19,35.0,39.0,23.0,26.0,20.0,21.0,15.0,30.0,22.0,50.0,28.1
2021-05-20,18.0,8.0,23.0,22.0,13.0,22.0,22.0,24.0,18.0,39.0,20.9
2021-05-21,20.0,21.0,17.0,32.0,21.0,34.0,20.0,42.0,19.0,50.0,27.6
2021-05-22,25.0,25.0,21.0,14.0,8.0,12.0,10.0,26.0,18.0,17.0,17.6
2021-05-23,11.0,9.0,14.0,8.0,11.0,27.0,13.0,19.0,6.0,22.0,14.0
2021-05-24,39.0,15.0,24.0,9.0,13.0,22.0,11.0,16.0,19.0,43.0,21.1
2021-05-25,26.0,32.0,29.0,27.0,21.0,25.0,19.0,37.0,22.0,43.0,28.1
2021-05-26,27.0,24.0,10.0,27.0,19.0,25.0,18.0,13.0,22.0,22.0,20.7
2021-05-27,27.0,18.0,15.0,23.0,22.0,26.0,16.0,11.0,32.0,16.0,20.6
2021-05-28,29.0,24.0,24.0,23.0,13.0,23.0,22.0,21.0,11.0,28.0,21.8
2021-05-29,23.0,24.0,26.0,11.0,14.0,17.0,11.0,28.0,11.0,15.0,18.0
2021-05-30,31.0,12.0,22.0,13.0,13.0,7.0,8.0,19.0,14.0,30.0,16.9
2021-05-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
