date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21
2020-12-15,33.0,34.0,36.0,74.0,43.0,35.0,67.0,50.0,38.0,23.0,55.22959183673469
2020-12-16,41.0,75.0,44.0,15.0,43.0,66.0,44.0,77.0,26.0,55.0,61.98979591836734
2020-12-17,55.0,41.0,37.0,68.0,59.0,12.0,43.0,69.0,32.0,32.0,57.14285714285714
2020-12-18,7.0,14.0,23.0,32.0,23.0,25.0,45.0,36.0,41.0,17.0,33.545918367346935
2020-12-19,22.0,44.0,24.0,66.0,55.0,20.0,19.0,28.0,56.0,26.0,45.91836734693877
2020-12-20,37.0,37.0,32.0,49.0,47.0,39.0,47.0,55.0,49.0,78.0,59.94897959183673
2020-12-21,46.0,60.0,22.0,52.0,42.0,41.0,67.0,75.0,38.0,54.0,63.39285714285714
2020-12-22,21.0,21.0,45.0,31.0,29.0,24.0,78.0,43.0,26.0,56.0,47.70408163265306
2020-12-23,50.0,49.0,61.0,71.0,23.0,31.0,100.0,26.0,53.0,74.0,68.62244897959184
2020-12-24,32.0,64.0,61.0,45.0,17.0,21.0,71.0,50.0,30.0,74.0,59.31122448979591
2020-12-25,67.0,34.0,46.0,28.0,45.0,67.0,76.0,64.0,72.0,69.0,72.44897959183673
2020-12-26,8.0,38.0,25.0,26.0,32.0,14.0,39.0,48.0,57.0,62.0,44.515306122448976
2020-12-27,27.0,41.0,52.0,46.0,22.0,43.0,53.0,44.0,58.0,80.0,59.438775510204074
2020-12-28,34.0,21.0,52.0,23.0,79.0,12.0,52.0,26.0,39.0,63.0,51.147959183673464
2020-12-29,49.0,42.0,46.0,31.0,15.0,37.0,44.0,35.0,20.0,41.0,45.91836734693877
2020-12-30,29.0,14.0,46.0,24.0,46.0,6.0,18.0,54.0,34.0,25.0,37.755102040816325
2020-12-31,23.0,23.0,17.0,43.0,25.0,27.0,39.0,39.0,15.0,27.0,35.45918367346938
2021-01-01,42.0,34.0,27.0,65.0,35.0,44.0,85.0,11.0,31.0,69.0,56.505102040816325
2021-01-02,38.0,8.0,33.0,59.0,32.0,27.0,48.0,57.0,14.0,26.0,43.62244897959184
2021-01-03,22.0,22.0,32.0,33.0,39.0,26.0,38.0,37.0,28.0,61.0,43.11224489795917
2021-01-04,45.0,32.0,42.0,29.0,41.0,11.0,66.0,32.0,31.0,30.0,45.79081632653061
2021-01-05,20.0,20.0,14.0,15.0,7.0,12.0,17.0,42.0,31.0,8.0,23.72448979591837
2021-01-06,33.0,46.0,36.0,29.0,28.0,23.0,50.0,41.0,31.0,38.0,45.28061224489796
2021-01-07,46.0,27.0,36.0,29.0,21.0,23.0,42.0,41.0,19.0,30.0,40.05102040816326
2021-01-08,26.0,61.0,36.0,75.0,43.0,47.0,25.0,34.0,25.0,31.0,51.40306122448979
2021-01-09,29.0,15.0,56.0,41.0,63.0,32.0,56.0,47.0,69.0,85.0,62.88265306122449
2021-01-10,51.0,44.0,47.0,16.0,54.0,26.0,46.0,100.0,41.0,60.0,61.86224489795918
2021-01-11,26.0,32.0,35.0,36.0,20.0,28.0,33.0,40.0,6.0,37.0,37.37244897959184
2021-01-12,39.0,46.0,36.0,22.0,42.0,35.0,91.0,49.0,37.0,30.0,54.46428571428571
2021-01-13,33.0,27.0,57.0,22.0,28.0,23.0,42.0,33.0,12.0,30.0,39.15816326530612
2021-01-14,47.0,60.0,36.0,66.0,78.0,47.0,59.0,75.0,44.0,54.0,72.1938775510204
2021-01-15,14.0,14.0,15.0,23.0,7.0,12.0,17.0,17.0,19.0,32.0,21.683673469387752
2021-01-16,22.0,37.0,40.0,49.0,8.0,13.0,28.0,37.0,35.0,43.0,39.795918367346935
2021-01-17,50.0,43.0,39.0,40.0,69.0,57.0,36.0,82.0,41.0,66.0,66.70918367346938
2021-01-18,52.0,46.0,100.0,58.0,34.0,29.0,66.0,49.0,37.0,83.0,70.66326530612244
2021-01-19,32.0,32.0,63.0,28.0,21.0,51.0,33.0,56.0,18.0,59.0,50.127551020408156
2021-01-20,45.0,39.0,49.0,58.0,48.0,51.0,49.0,40.0,55.0,90.0,66.83673469387755
2021-01-21,53.0,46.0,36.0,37.0,28.0,35.0,68.0,50.0,44.0,54.0,57.52551020408163
2021-01-22,48.0,21.0,45.0,38.0,15.0,48.0,52.0,9.0,13.0,24.0,39.9234693877551
2021-01-23,58.0,29.0,63.0,32.0,23.0,32.0,46.0,36.0,27.0,50.0,50.51020408163265
2021-01-24,36.0,43.0,16.0,48.0,38.0,38.0,18.0,18.0,41.0,42.0,43.11224489795917
2021-01-25,59.0,26.0,49.0,51.0,48.0,40.0,16.0,58.0,31.0,45.0,53.95408163265306
2021-01-26,59.0,40.0,43.0,37.0,28.0,29.0,50.0,75.0,31.0,62.0,57.908163265306115
2021-01-27,40.0,52.0,36.0,81.0,42.0,35.0,42.0,17.0,25.0,38.0,52.0408163265306
2021-01-28,33.0,40.0,28.0,59.0,35.0,41.0,50.0,50.0,31.0,46.0,52.67857142857142
2021-01-29,75.0,68.0,89.0,98.0,100.0,54.0,77.0,60.0,58.0,94.0,98.5969387755102
2021-01-30,43.0,43.0,46.0,47.0,53.0,37.0,27.0,53.0,34.0,41.0,54.08163265306122
2021-01-31,22.0,58.0,16.0,32.0,39.0,39.0,37.0,54.0,41.0,66.0,51.53061224489795
2021-02-01,65.0,72.0,50.0,44.0,76.0,64.0,33.0,82.0,25.0,61.0,72.95918367346938
2021-02-02,39.0,26.0,21.0,29.0,34.0,23.0,41.0,41.0,24.0,22.0,38.265306122448976
2021-02-03,38.0,32.0,56.0,58.0,41.0,46.0,33.0,89.0,42.0,66.0,63.90306122448979
2021-02-04,14.0,41.0,37.0,30.0,58.0,30.0,26.0,34.0,32.0,39.0,43.49489795918367
2021-02-05,13.0,20.0,22.0,38.0,21.0,30.0,26.0,9.0,32.0,39.0,31.887755102040813
2021-02-06,28.0,50.0,62.0,63.0,61.0,38.0,72.0,45.0,47.0,82.0,69.89795918367346
2021-02-07,21.0,57.0,46.0,47.0,45.0,19.0,27.0,71.0,47.0,41.0,53.69897959183673
2021-02-08,26.0,32.0,49.0,65.0,48.0,40.0,41.0,49.0,18.0,30.0,50.76530612244897
2021-02-09,26.0,27.0,50.0,37.0,49.0,17.0,50.0,17.0,31.0,31.0,42.72959183673469
2021-02-10,39.0,33.0,28.0,58.0,35.0,11.0,33.0,25.0,24.0,38.0,41.326530612244895
2021-02-11,33.0,67.0,43.0,67.0,35.0,47.0,67.0,59.0,56.0,53.0,67.21938775510203
2021-02-12,55.0,21.0,82.0,69.0,58.0,54.0,44.0,43.0,26.0,40.0,62.755102040816325
2021-02-13,23.0,53.0,50.0,51.0,33.0,47.0,48.0,48.0,22.0,62.0,55.73979591836734
2021-02-14,53.0,100.0,66.0,76.0,48.0,100.0,86.0,94.0,100.0,61.0,100.0
2021-02-15,46.0,46.0,50.0,66.0,83.0,52.0,50.0,74.0,37.0,61.0,72.06632653061224
2021-02-16,47.0,54.0,7.0,45.0,14.0,6.0,17.0,34.0,32.0,47.0,38.647959183673464
2021-02-17,20.0,27.0,66.0,53.0,50.0,48.0,60.0,34.0,64.0,32.0,57.908163265306115
2021-02-18,100.0,66.0,50.0,81.0,49.0,41.0,42.0,42.0,69.0,100.0,81.63265306122449
2021-02-19,70.0,42.0,31.0,31.0,60.0,31.0,45.0,62.0,20.0,65.0,58.29081632653061
2021-02-20,40.0,89.0,70.0,36.0,77.0,36.0,72.0,51.0,54.0,47.0,72.95918367346938
2021-02-21,56.0,64.0,52.0,36.0,43.0,36.0,52.0,61.0,38.0,85.0,66.70918367346938
2021-02-22,38.0,51.0,34.0,50.0,54.0,51.0,40.0,64.0,30.0,44.0,58.16326530612245
2021-02-23,41.0,41.0,59.0,46.0,36.0,12.0,44.0,43.0,45.0,48.0,52.93367346938775
2021-02-24,21.0,56.0,68.0,62.0,44.0,68.0,62.0,87.0,39.0,64.0,72.83163265306122
2021-02-25,54.0,21.0,52.0,23.0,36.0,42.0,44.0,60.0,19.0,72.0,53.95408163265306
2021-02-26,55.0,41.0,53.0,62.0,44.0,55.0,70.0,60.0,58.0,48.0,69.64285714285714
2021-02-27,61.0,38.0,66.0,51.0,64.0,54.0,29.0,47.0,50.0,79.0,68.75
2021-02-28,59.0,59.0,57.0,41.0,63.0,46.0,66.0,94.0,56.0,61.0,76.78571428571428
2021-03-01,33.0,26.0,43.0,52.0,57.0,53.0,76.0,67.0,50.0,39.0,63.265306122448976
2021-03-02,28.0,48.0,60.0,38.0,51.0,30.0,79.0,61.0,39.0,32.0,59.438775510204074
2021-03-03,62.0,41.0,53.0,53.0,36.0,48.0,61.0,60.0,45.0,72.0,67.72959183673468
2021-03-04,26.0,33.0,36.0,43.0,35.0,17.0,75.0,41.0,24.0,38.0,46.938775510204074
2021-03-05,35.0,62.0,38.0,100.0,66.0,61.0,89.0,70.0,53.0,57.0,80.48469387755101
2021-03-06,39.0,31.0,34.0,51.0,49.0,34.0,20.0,76.0,51.0,54.0,55.99489795918367
