date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.20876826722338204
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.7306889352818372
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.4175365344467641
2020-02-12,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.8350730688935282
2020-02-13,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.2526096033402923
2020-02-14,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6263048016701461
2020-02-15,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31315240083507306
2020-02-16,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.6263048016701461
2020-02-17,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0438413361169103
2020-02-18,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.8350730688935282
2020-02-19,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0438413361169103
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,2.0,0.0,3.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,1.5657620041753655
2020-02-23,2.0,5.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.5657620041753655
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,4.0,0.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,0.0,2.5052192066805845
2020-02-26,0.0,7.0,4.0,6.0,2.0,4.0,4.0,4.0,4.0,2.0,3.862212943632568
2020-02-27,2.0,5.0,7.0,0.0,6.0,9.0,0.0,4.0,0.0,4.0,3.862212943632568
2020-02-28,9.0,8.0,3.0,9.0,7.0,12.0,18.0,14.0,2.0,12.0,9.812108559498956
2020-02-29,7.0,10.0,2.0,4.0,2.0,9.0,8.0,7.0,4.0,7.0,6.263048016701462
2020-03-01,9.0,5.0,5.0,6.0,5.0,9.0,2.0,5.0,9.0,7.0,6.471816283924843
2020-03-02,11.0,16.0,11.0,6.0,13.0,11.0,8.0,15.0,8.0,11.0,11.482254697286013
2020-03-03,2.0,2.0,9.0,6.0,9.0,0.0,4.0,5.0,4.0,7.0,5.010438413361169
2020-03-04,4.0,7.0,7.0,6.0,5.0,7.0,2.0,2.0,9.0,0.0,5.114822546972861
2020-03-05,6.0,14.0,11.0,4.0,11.0,4.0,16.0,7.0,17.0,6.0,10.020876826722338
2020-03-06,15.0,9.0,16.0,18.0,18.0,15.0,12.0,11.0,6.0,19.0,14.509394572025053
2020-03-07,5.0,13.0,15.0,11.0,14.0,12.0,18.0,10.0,13.0,5.0,12.10855949895616
2020-03-08,20.0,25.0,22.0,26.0,21.0,11.0,27.0,18.0,17.0,19.0,21.503131524008353
2020-03-09,15.0,16.0,18.0,16.0,24.0,15.0,10.0,22.0,20.0,17.0,18.058455114822547
2020-03-10,17.0,22.0,13.0,18.0,13.0,23.0,18.0,9.0,18.0,11.0,16.910229645093946
2020-03-11,15.0,11.0,18.0,8.0,9.0,11.0,20.0,15.0,18.0,28.0,15.970772442588727
2020-03-12,36.0,35.0,39.0,42.0,34.0,42.0,28.0,42.0,47.0,46.0,40.81419624217119
2020-03-13,50.0,58.0,35.0,60.0,50.0,29.0,35.0,52.0,23.0,58.0,46.972860125260965
2020-03-14,40.0,42.0,51.0,52.0,63.0,51.0,56.0,48.0,46.0,63.0,53.4446764091858
2020-03-15,77.0,57.0,57.0,65.0,54.0,64.0,38.0,47.0,48.0,39.0,56.9937369519833
2020-03-16,68.0,62.0,88.0,87.0,63.0,87.0,80.0,88.0,68.0,88.0,81.31524008350732
2020-03-17,100.0,97.0,94.0,100.0,84.0,100.0,100.0,100.0,83.0,100.0,100.0
2020-03-18,84.0,71.0,82.0,71.0,87.0,79.0,54.0,69.0,56.0,68.0,75.26096033402922
2020-03-19,82.0,78.0,60.0,74.0,77.0,59.0,50.0,59.0,46.0,45.0,65.76200417536535
2020-03-20,66.0,91.0,77.0,64.0,68.0,73.0,71.0,84.0,100.0,95.0,82.35908141962423
2020-03-21,63.0,57.0,69.0,57.0,72.0,52.0,77.0,61.0,75.0,57.0,66.80584551148226
2020-03-22,59.0,66.0,52.0,52.0,64.0,47.0,48.0,61.0,65.0,64.0,60.334029227557416
2020-03-23,61.0,74.0,55.0,50.0,75.0,61.0,50.0,65.0,61.0,58.0,63.67432150313152
