date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2020-02-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8
2020-02-12,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.9
2020-02-13,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.8
2020-02-14,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
2020-02-17,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
2020-02-18,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,2.1
2020-02-19,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.7
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2
2020-02-21,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.8
2020-02-22,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,0.0,1.0,2.2
2020-02-23,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.3
2020-02-24,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,2.3
