date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2021-05-07,62.0,81.0,69.0,65.0,66.27906976744185,74.11764705882354,72.52747252747253,66.0,64.64646464646465,73.97260273972603,70.30493816764759
2021-05-08,68.0,58.0,41.0,69.0,53.48837209302326,71.76470588235294,47.252747252747255,56.0,53.535353535353536,83.56164383561644,60.89706988566892
2021-05-09,60.0,37.0,44.0,39.0,39.53488372093023,58.8235294117647,50.54945054945055,60.0,29.292929292929294,50.68493150684932,47.462820418308425
2021-05-10,77.0,77.0,91.0,71.0,62.7906976744186,77.6470588235294,79.12087912087912,66.0,59.5959595959596,75.34246575342466,74.55169973871482
2021-05-11,94.0,96.0,83.0,70.0,82.55813953488372,81.17647058823529,84.61538461538461,74.0,79.79797979797979,86.3013698630137,84.16321687711124
2021-05-12,100.0,95.0,100.0,94.0,100.0,100.0,98.9010989010989,100.0,100.0,100.0,100.0
2021-05-13,54.0,54.0,46.0,64.0,58.13953488372093,71.76470588235294,46.15384615384615,57.0,34.343434343434346,65.75342465753425,55.7904983134416
2021-05-14,71.0,71.0,73.0,70.0,81.3953488372093,78.82352941176471,80.21978021978022,72.0,64.64646464646465,89.04109589041096,76.0325319853528
2021-05-15,41.0,50.0,46.0,42.0,51.16279069767442,48.23529411764706,41.75824175824176,40.0,35.35353535353536,43.83561643835616,44.4726176389686
2021-05-16,37.0,51.0,39.0,37.0,52.325581395348834,50.588235294117645,65.93406593406593,42.0,35.35353535353536,58.9041095890411,47.485069921262635
2021-05-17,63.0,64.0,57.0,60.0,72.09302325581395,83.52941176470588,67.03296703296704,51.0,50.505050505050505,67.12328767123287,64.30641092883023
2021-05-18,61.0,54.0,40.0,53.0,60.46511627906977,50.588235294117645,48.35164835164835,45.0,47.474747474747474,56.16438356164384,52.23641633107339
2021-05-19,71.0,61.0,64.0,67.0,63.95348837209303,67.05882352941177,45.05494505494506,47.0,44.44444444444444,57.534246575342465,59.52477921427106
2021-05-20,82.0,84.0,58.0,61.0,66.27906976744185,61.1764705882353,71.42857142857143,53.0,55.55555555555556,72.6027397260274,67.31872328167239
2021-05-21,62.0,69.0,64.0,66.0,67.44186046511628,62.35294117647059,63.73626373626374,55.0,69.6969696969697,79.45205479452055,66.67469958298759
2021-05-22,35.0,45.0,34.0,40.0,39.53488372093023,38.8235294117647,40.65934065934066,31.0,27.272727272727273,46.57534246575342,38.24935754711063
2021-05-23,32.0,25.0,32.0,15.0,23.25581395348837,25.88235294117647,36.26373626373626,22.0,26.262626262626263,32.87671232876713,27.385458124374356
2021-05-24,50.0,26.0,27.0,47.0,48.83720930232558,42.35294117647059,39.56043956043956,28.0,25.252525252525253,46.57534246575342,38.52394315391028
2021-05-25,56.0,66.0,38.0,63.0,60.46511627906977,62.35294117647059,68.13186813186813,36.0,56.56565656565657,65.75342465753425,57.9277629559445
2021-05-26,43.0,58.0,43.0,45.0,51.16279069767442,47.05882352941177,52.747252747252745,46.0,27.272727272727273,50.68493150684932,46.960826976502865
2021-05-27,76.0,72.0,84.0,85.0,74.4186046511628,69.41176470588235,63.73626373626374,66.0,60.60606060606061,68.4931506849315,72.8479647593092
2021-05-28,58.0,83.0,72.0,66.0,72.09302325581395,62.35294117647059,59.34065934065934,61.0,60.60606060606061,93.15068493150685,69.59637660847899
2021-05-29,40.0,38.0,56.0,42.0,60.46511627906977,37.64705882352941,45.05494505494506,44.0,40.4040404040404,35.61643835616438,44.456636338018406
2021-05-30,41.0,41.0,30.0,21.0,34.883720930232556,35.294117647058826,39.56043956043956,43.0,31.31313131313131,32.87671232876713,35.42137185279733
2021-05-31,57.0,39.0,37.0,60.0,63.95348837209303,44.705882352941174,51.64835164835165,55.0,49.494949494949495,78.08219178082192,54.244788698509794
