date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-12-29,28.0,58.0,32.0,13.0,23.0,0.0,14.0,13.0,65.97938144329896,37.0,38.0,0.0,13.0,15.0,26.0,26.0,38.0,25.0,14.0,43.0,34.7063137908107
2020-12-30,37.0,60.0,33.0,27.0,36.0,91.0,89.0,39.0,68.04123711340206,38.0,39.0,69.0,27.0,75.0,66.0,68.0,77.0,38.0,59.0,73.0,73.73994941290177
2020-12-31,10.0,16.0,0.0,15.0,26.0,14.0,48.0,0.0,18.556701030927837,14.0,14.0,44.0,14.0,0.0,29.0,0.0,14.0,27.0,0.0,0.0,20.183429640749345
2021-01-01,22.0,17.0,37.0,47.0,27.0,73.0,17.0,59.0,19.587628865979383,73.0,15.0,47.0,0.0,34.0,31.0,15.0,29.0,29.0,67.0,66.0,48.17769917813103
2021-01-02,30.0,47.0,35.0,15.0,25.0,41.0,47.0,14.0,18.556701030927837,27.0,28.0,0.0,0.0,64.0,28.0,29.0,41.0,27.0,47.0,16.0,38.53461926011228
2021-01-03,59.0,46.0,51.0,14.0,37.0,26.0,15.0,81.0,35.05154639175258,13.0,40.0,42.0,13.0,0.0,41.0,28.0,39.0,53.0,61.0,30.0,48.1420551522754
2021-01-04,18.0,14.0,31.0,13.0,11.0,24.0,14.0,25.0,48.45360824742268,24.0,12.0,0.0,12.0,28.0,25.0,26.0,36.0,0.0,14.0,0.0,24.96384187761761
2021-01-05,27.0,42.0,0.0,13.0,23.0,24.0,55.0,37.0,16.49484536082474,36.0,37.0,26.0,12.0,28.0,13.0,13.0,24.0,37.0,42.0,28.0,35.47197488467101
2021-01-06,9.0,14.0,0.0,26.0,11.0,24.0,14.0,13.0,16.49484536082474,12.0,12.0,26.0,13.0,0.0,25.0,0.0,0.0,24.0,14.0,14.0,17.785683439922682
2021-01-07,19.0,43.0,96.0,80.0,47.0,74.0,86.0,64.0,65.97938144329896,50.0,50.0,40.0,51.0,88.0,52.0,66.0,74.0,51.0,86.0,58.0,82.51249254560038
2021-01-08,18.0,43.0,48.0,40.0,11.0,25.0,43.0,38.0,32.98969072164948,37.0,25.0,13.0,26.0,14.0,0.0,27.0,0.0,37.0,28.0,43.0,36.5022243243058
2021-01-09,19.0,30.0,50.0,56.0,12.0,53.0,61.0,27.0,51.54639175257732,39.0,13.0,42.0,40.0,46.0,41.0,42.0,52.0,13.0,15.0,29.0,48.64038605221851
2021-01-10,0.0,31.0,0.0,14.0,13.0,0.0,16.0,41.0,17.52577319587629,0.0,41.0,14.0,14.0,32.0,28.0,14.0,0.0,0.0,15.0,77.0,24.436721572175728
2021-01-11,9.0,71.0,47.0,52.0,23.0,12.0,71.0,100.0,16.49484536082474,49.0,74.0,79.0,50.0,71.0,50.0,78.0,36.0,37.0,55.0,84.0,70.77806795670622
2021-01-12,18.0,42.0,48.0,0.0,0.0,0.0,14.0,25.0,31.95876288659794,12.0,25.0,39.0,38.0,29.0,0.0,39.0,25.0,37.0,0.0,0.0,28.122450938054797
2021-01-13,9.0,14.0,16.0,39.0,22.0,36.0,14.0,12.0,48.45360824742268,12.0,12.0,26.0,38.0,28.0,38.0,26.0,12.0,36.0,14.0,14.0,31.01441526661046
2021-01-14,36.0,28.0,78.0,90.0,23.0,12.0,43.0,25.0,16.49484536082474,36.0,61.0,39.0,25.0,14.0,25.0,13.0,24.0,37.0,55.0,55.0,48.902918011885916
2021-01-15,9.0,0.0,16.0,40.0,12.0,50.0,29.0,26.0,34.02061855670103,12.0,38.0,41.0,26.0,30.0,26.0,13.0,0.0,0.0,29.0,29.0,30.58668695634293
2021-01-16,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,13.0,14.0,13.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,6.44951229376161
2021-01-17,47.0,44.0,99.0,41.0,48.0,64.0,44.0,52.0,68.04123711340206,51.0,39.0,54.0,26.0,15.0,68.0,14.0,51.0,77.0,44.0,29.0,64.83031387306616
2021-01-18,45.0,97.0,62.0,77.0,34.0,49.0,70.0,49.0,96.90721649484536,61.0,49.0,91.0,75.0,57.0,89.0,26.0,61.0,61.0,55.0,84.0,85.69920554950065
2021-01-19,18.0,84.0,63.0,52.0,23.0,48.0,28.0,75.0,48.45360824742268,24.0,37.0,52.0,37.0,100.0,51.0,39.0,49.0,61.0,42.0,56.0,65.65561016403106
2021-01-20,34.0,66.0,73.0,86.0,65.0,34.0,40.0,12.0,30.927835051546392,57.0,47.0,12.0,59.0,27.0,24.0,73.0,46.0,46.0,66.0,40.0,62.362650544599596
2021-01-21,44.0,14.0,15.0,25.0,34.0,0.0,55.0,24.0,30.927835051546392,12.0,48.0,0.0,49.0,28.0,37.0,0.0,24.0,24.0,27.0,41.0,35.36778465524687
