date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2020-02-01,26.0,0.0,21.0,24.0,26.0,0.0,0.0,24.0,0.0,0.0,15.837696335078533
2020-02-02,50.0,30.0,39.0,23.0,48.0,34.0,43.0,45.0,0.0,40.0,46.07329842931937
2020-02-03,0.0,0.0,18.0,40.0,0.0,30.0,0.0,20.0,25.0,0.0,17.408376963350783
2020-02-04,26.0,16.0,20.0,23.0,25.0,35.0,22.0,23.0,57.0,41.0,37.69633507853403
2020-02-05,26.0,15.0,80.0,70.0,73.0,70.0,44.0,22.0,57.0,59.0,67.5392670157068
2020-02-06,55.0,17.0,85.0,74.0,53.0,19.0,23.0,24.0,30.0,43.0,55.366492146596855
2020-02-07,27.0,32.0,21.0,24.0,26.0,0.0,0.0,0.0,30.0,21.0,23.691099476439792
2020-02-08,26.0,31.0,62.0,24.0,25.0,53.0,0.0,0.0,29.0,20.0,35.34031413612565
2020-02-09,24.0,14.0,37.0,0.0,46.0,16.0,20.0,21.0,0.0,0.0,23.298429319371728
2020-02-10,98.0,15.0,57.0,89.0,70.0,66.0,83.0,66.0,54.0,78.0,88.48167539267014
2020-02-11,78.0,31.0,60.0,47.0,49.0,34.0,43.0,0.0,56.0,81.0,62.69633507853403
2020-02-12,51.0,15.0,20.0,22.0,0.0,34.0,21.0,0.0,27.0,20.0,27.486910994764397
2020-02-13,0.0,15.0,0.0,0.0,25.0,0.0,21.0,0.0,0.0,20.0,10.602094240837696
2020-02-14,0.0,32.0,63.0,24.0,26.0,19.0,0.0,48.0,30.0,0.0,31.675392670157066
2020-02-15,83.0,65.0,85.0,74.0,52.0,36.0,69.0,0.0,59.0,42.0,73.95287958115183
2020-02-16,77.0,60.0,100.0,92.0,100.0,52.0,86.0,45.0,28.0,100.0,96.85863874345549
2020-02-17,26.0,31.0,41.0,70.0,25.0,53.0,22.0,68.0,57.0,21.0,54.188481675392666
2020-02-18,51.0,45.0,0.0,0.0,24.0,35.0,21.0,0.0,56.0,20.0,32.98429319371728
2020-02-19,0.0,0.0,20.0,47.0,0.0,0.0,22.0,23.0,57.0,0.0,22.120418848167535
2020-02-20,27.0,16.0,63.0,97.0,26.0,19.0,0.0,70.0,30.0,42.0,51.047120418848166
2020-02-21,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,31.0,0.0,7.329842931937172
2020-02-22,28.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,13.350785340314134
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,77.0,15.0,20.0,93.0,75.0,0.0,65.0,45.0,28.0,60.0,62.565445026178004
2020-02-25,100.0,0.0,59.0,68.0,24.0,0.0,21.0,0.0,28.0,0.0,39.267015706806276
2020-02-26,73.0,0.0,37.0,43.0,69.0,16.0,81.0,0.0,26.0,19.0,47.64397905759162
2020-02-27,74.0,14.0,19.0,0.0,23.0,34.0,61.0,22.0,54.0,57.0,46.85863874345549
2020-02-28,52.0,16.0,40.0,69.0,73.0,51.0,65.0,0.0,28.0,60.0,59.424083769633505
2020-02-29,75.0,15.0,40.0,0.0,24.0,17.0,21.0,22.0,0.0,0.0,28.01047120418848
2020-03-01,24.0,14.0,37.0,43.0,0.0,48.0,40.0,62.0,53.0,37.0,46.85863874345549
2020-03-02,47.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,20.549738219895286
2020-03-03,74.0,15.0,39.0,22.0,24.0,0.0,0.0,44.0,0.0,0.0,28.534031413612563
2020-03-04,0.0,14.0,0.0,21.0,45.0,0.0,39.0,21.0,0.0,0.0,18.32460732984293
2020-03-05,24.0,0.0,57.0,43.0,23.0,81.0,20.0,21.0,27.0,75.0,48.560209424083766
2020-03-06,25.0,29.0,0.0,22.0,24.0,33.0,41.0,22.0,55.0,0.0,32.853403141361255
