date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06
2021-02-26,68.0,43.0,72.0,69.0,52.0,60.0,46.0,42.0,91.0,65.0,72.64038231780167
2021-02-27,41.0,54.0,7.0,62.0,39.0,20.0,30.0,17.0,72.0,35.0,45.04181600955795
2021-02-28,52.0,28.0,63.0,46.0,43.0,31.0,42.0,56.0,34.0,34.0,51.25448028673835
2021-03-01,38.0,33.0,72.0,45.0,24.0,45.0,48.0,27.0,59.0,46.0,52.210274790919954
2021-03-02,32.0,34.0,30.0,27.0,38.0,81.0,34.0,37.0,34.0,34.0,45.51971326164875
2021-03-03,38.0,33.0,65.0,26.0,53.0,56.0,54.0,42.0,52.0,26.0,53.16606929510155
2021-03-04,44.0,32.0,47.0,37.0,52.0,54.0,27.0,26.0,45.0,32.0,47.31182795698925
2021-03-05,57.0,32.0,47.0,57.0,40.0,47.0,86.0,52.0,84.0,64.0,67.62246117084827
2021-03-06,61.0,71.0,94.0,79.0,44.0,70.0,50.0,28.0,75.0,76.0,77.41935483870968
2021-03-07,46.0,47.0,44.0,55.0,44.0,51.0,64.0,51.0,83.0,48.0,63.67980884109916
2021-03-08,56.0,38.0,41.0,44.0,41.0,36.0,61.0,48.0,45.0,32.0,52.80764635603345
2021-03-09,64.0,44.0,35.0,51.0,35.0,66.0,74.0,56.0,40.0,47.0,61.17084826762246
2021-03-10,49.0,64.0,46.0,63.0,46.0,47.0,20.0,51.0,51.0,51.0,58.303464755077655
2021-03-11,49.0,32.0,12.0,56.0,29.0,55.0,39.0,47.0,44.0,51.0,49.46236559139785
2021-03-12,98.0,83.0,54.0,91.0,55.0,82.0,56.0,65.0,54.0,94.0,87.45519713261649
2021-03-13,81.0,65.0,71.0,94.0,57.0,75.0,64.0,47.0,71.0,84.0,84.70728793309439
2021-03-14,42.0,20.0,33.0,35.0,55.0,40.0,43.0,49.0,41.0,30.0,46.35603345280764
2021-03-15,48.0,21.0,37.0,30.0,41.0,34.0,31.0,37.0,30.0,15.0,38.70967741935484
2021-03-16,82.0,87.0,36.0,79.0,77.0,64.0,70.0,50.0,67.0,87.0,83.5125448028674
2021-03-17,74.0,37.0,52.0,50.0,93.0,48.0,59.0,48.0,56.0,69.0,70.01194743130226
2021-03-18,71.0,67.0,61.0,66.0,36.0,67.0,68.0,43.0,53.0,53.0,69.89247311827957
2021-03-19,58.0,40.0,42.0,39.0,49.0,37.0,34.0,43.0,40.0,58.0,52.56869772998805
2021-03-20,73.0,42.0,44.0,62.0,69.0,71.0,73.0,79.0,56.0,48.0,73.71565113500597
2021-03-21,82.0,83.0,83.0,71.0,30.0,37.0,55.0,54.0,80.0,72.0,77.29988052568697
2021-03-22,55.0,54.0,47.0,51.0,100.0,79.0,60.0,26.0,70.0,44.0,70.01194743130226
2021-03-23,100.0,100.0,100.0,83.0,73.0,61.0,81.0,90.0,52.0,97.0,100.0
2021-03-24,25.0,28.0,48.0,59.0,55.0,56.0,68.0,42.0,73.0,34.0,58.303464755077655
2021-03-25,32.0,28.0,65.0,57.0,48.0,43.0,68.0,53.0,40.0,59.0,58.900836320191154
2021-03-26,45.0,51.0,61.0,100.0,44.0,45.0,70.0,67.0,89.0,55.0,74.91039426523297
2021-03-27,66.0,58.0,55.0,59.0,49.0,46.0,42.0,44.0,89.0,69.0,68.93667861409797
2021-03-28,28.0,49.0,46.0,36.0,7.0,47.0,74.0,47.0,65.0,50.0,53.64396654719235
