date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2021-04-18,34.0,41.0,29.0,40.0,38.0,39.0,34.0,39.0,40.0,23.0,36.20689655172414
2021-04-19,71.0,54.0,48.0,56.0,61.0,42.0,40.0,58.0,41.0,45.0,52.33265720081136
2021-04-20,44.0,44.0,38.0,51.0,60.0,39.0,44.0,50.0,48.0,38.0,46.2474645030426
2021-04-21,44.0,50.0,45.0,48.0,46.0,42.0,40.0,42.0,32.0,44.0,43.91480730223124
2021-04-22,57.0,52.0,57.0,65.0,64.0,45.0,56.0,53.0,60.0,56.0,57.302231237322516
2021-04-23,43.0,37.0,38.0,51.0,36.0,34.0,38.0,33.0,36.0,26.0,37.728194726166336
2021-04-24,30.0,37.0,33.0,37.0,43.0,32.0,23.0,34.0,40.0,38.0,35.192697768762685
2021-04-25,40.0,33.0,33.0,34.0,30.0,28.0,27.0,21.0,24.0,23.0,29.716024340770794
2021-04-26,39.0,35.0,28.0,40.0,33.0,36.0,33.0,38.0,39.0,34.0,36.004056795131845
2021-04-27,47.0,48.0,37.0,45.0,45.0,40.0,41.0,55.0,47.0,44.0,45.537525354969574
2021-04-28,48.0,46.0,47.0,45.0,41.0,38.0,40.0,51.0,45.0,44.0,45.131845841784994
2021-04-29,44.0,49.0,45.0,48.0,47.0,38.0,43.0,46.0,44.0,46.0,45.63894523326572
2021-04-30,77.0,78.0,68.0,84.0,80.0,65.0,67.0,75.0,70.0,67.0,74.13793103448275
2021-05-01,62.0,64.0,51.0,63.0,64.0,55.0,61.0,72.0,64.0,61.0,62.57606490872211
2021-05-02,50.0,52.0,39.0,52.0,45.0,47.0,42.0,55.0,45.0,41.0,47.46450304259635
2021-05-03,64.0,74.0,55.0,65.0,62.0,58.0,53.0,68.0,50.0,55.0,61.25760649087221
2021-05-04,64.0,55.0,50.0,65.0,57.0,50.0,49.0,55.0,58.0,51.0,56.18661257606491
2021-05-05,54.0,52.0,55.0,49.0,59.0,48.0,43.0,59.0,44.0,53.0,52.33265720081136
2021-05-06,70.0,91.0,69.0,83.0,89.0,69.0,70.0,80.0,74.0,74.0,77.99188640973632
2021-05-07,74.0,69.0,70.0,73.0,75.0,64.0,57.0,70.0,77.0,66.0,70.48681541582151
2021-05-08,67.0,73.0,57.0,68.0,65.0,56.0,62.0,54.0,65.0,46.0,62.17038539553753
2021-05-09,45.0,52.0,52.0,48.0,50.0,48.0,42.0,54.0,49.0,42.0,48.88438133874239
2021-05-10,75.0,75.0,74.0,84.0,73.0,75.0,75.0,72.0,73.0,78.0,76.47058823529413
2021-05-11,95.0,100.0,100.0,100.0,96.0,95.0,100.0,100.0,100.0,100.0,100.0
2021-05-12,100.0,97.0,86.0,100.0,100.0,100.0,85.0,99.0,88.0,84.0,95.23326572008114
2021-05-13,77.0,87.0,76.0,93.0,95.0,75.0,67.0,82.0,70.0,75.0,80.8316430020284
2021-05-14,95.0,74.0,73.0,79.0,68.0,72.0,67.0,84.0,71.0,77.0,77.079107505071
2021-05-15,79.0,90.0,72.0,80.0,93.0,60.0,69.0,75.0,69.0,70.0,76.77484787018255
2021-05-16,69.0,71.0,66.0,69.0,80.0,59.0,58.0,74.0,66.0,77.0,69.87829614604463
2021-05-17,87.0,85.0,76.0,87.0,87.0,75.0,70.0,79.0,80.0,84.0,82.1501014198783
2021-05-18,83.0,65.0,60.0,78.0,75.0,75.0,65.0,84.0,57.0,62.0,71.39959432048683
2021-05-19,66.0,65.0,60.0,69.0,66.0,56.0,42.0,60.0,47.0,59.0,59.83772819472617
2021-05-20,67.0,78.0,64.0,64.0,78.0,63.0,62.0,60.0,70.0,63.0,67.84989858012172
2021-05-21,50.0,73.0,47.0,46.0,47.0,51.0,53.0,49.0,46.0,50.0,51.92697768762678
2021-05-22,54.0,52.0,51.0,51.0,50.0,48.0,49.0,58.0,50.0,48.0,51.82555780933063
2021-05-23,42.0,42.0,40.0,33.0,46.0,34.0,34.0,41.0,35.0,35.0,38.742393509127794
2021-05-24,39.0,39.0,38.0,43.0,50.0,32.0,35.0,43.0,36.0,40.0,40.06085192697769
2021-05-25,49.0,51.0,43.0,56.0,47.0,49.0,40.0,56.0,47.0,45.0,48.98580121703854
2021-05-26,50.0,52.0,37.0,67.0,55.0,45.0,41.0,43.0,49.0,46.0,49.18864097363083
2021-05-27,53.0,56.0,56.0,71.0,60.0,54.0,44.0,60.0,53.0,47.0,56.18661257606491
2021-05-28,51.0,50.0,46.0,49.0,53.0,48.0,58.0,57.0,49.0,44.0,51.217038539553755
2021-05-29,34.0,39.0,34.0,40.0,42.0,43.0,34.0,37.0,41.0,32.0,38.13387423935092
2021-05-30,42.0,37.0,25.0,43.0,40.0,33.0,28.0,24.0,35.0,34.0,34.5841784989858
2021-05-31,46.0,42.0,30.0,40.0,47.0,30.0,42.0,35.0,37.0,44.0,39.85801217038539
