date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty
2021-02-26,22.0,45.0,30.0,42.0,67.0,32.0,56.0,71.0,54.0,64.0,60.1494396014944
2021-02-27,62.0,9.0,43.0,25.0,51.0,37.0,26.0,35.0,25.0,18.0,41.220423412204234
2021-02-28,59.0,24.0,50.0,8.0,62.0,9.0,25.0,55.0,36.0,17.0,42.96388542963886
2021-03-01,10.0,0.0,7.0,20.0,10.0,8.0,31.0,19.0,0.0,15.0,14.943960149439603
2021-03-02,20.0,21.0,35.0,19.0,32.0,15.0,42.0,47.0,40.0,0.0,33.74844333748443
2021-03-03,20.0,41.0,20.0,26.0,41.0,7.0,20.0,28.0,10.0,14.0,28.268991282689914
2021-03-04,39.0,27.0,54.0,45.0,51.0,30.0,30.0,64.0,49.0,43.0,53.79825653798257
2021-03-05,51.0,35.0,14.0,13.0,42.0,15.0,21.0,28.0,21.0,7.0,30.759651307596513
2021-03-06,24.0,32.0,41.0,15.0,37.0,27.0,25.0,44.0,35.0,43.0,40.22415940224159
2021-03-07,35.0,24.0,24.0,0.0,25.0,9.0,36.0,22.0,24.0,0.0,24.78206724782067
2021-03-08,30.0,7.0,21.0,6.0,73.0,37.0,62.0,37.0,59.0,29.0,44.95641344956414
2021-03-09,0.0,20.0,21.0,19.0,21.0,15.0,31.0,9.0,30.0,15.0,22.540473225404735
2021-03-10,28.0,6.0,20.0,6.0,10.0,14.0,20.0,27.0,28.0,7.0,20.672478206724787
2021-03-11,0.0,14.0,28.0,13.0,10.0,15.0,21.0,28.0,20.0,15.0,20.42341220423412
2021-03-12,0.0,14.0,0.0,13.0,21.0,15.0,32.0,0.0,21.0,15.0,16.31382316313823
2021-03-13,45.0,23.0,47.0,22.0,23.0,34.0,47.0,21.0,33.0,25.0,39.85056039850561
2021-03-14,22.0,23.0,15.0,36.0,46.0,58.0,46.0,41.0,67.0,40.0,49.066002490660026
2021-03-15,31.0,21.0,5.0,10.0,32.0,17.0,16.0,15.0,8.0,17.0,21.419676214196762
2021-03-16,26.0,30.0,36.0,17.0,45.0,46.0,27.0,41.0,44.0,25.0,41.96762141967622
2021-03-17,28.0,7.0,20.0,19.0,20.0,7.0,49.0,9.0,29.0,14.0,25.155666251556664
2021-03-18,66.0,39.0,39.0,37.0,49.0,28.0,30.0,44.0,47.0,21.0,49.813200498132005
2021-03-19,30.0,21.0,21.0,33.0,52.0,22.0,51.0,28.0,30.0,22.0,38.605230386052305
2021-03-20,11.0,0.0,15.0,14.0,33.0,16.0,11.0,30.0,11.0,8.0,18.555417185554173
2021-03-21,11.0,37.0,15.0,29.0,46.0,8.0,34.0,21.0,44.0,24.0,33.499377334993774
2021-03-22,10.0,20.0,26.0,12.0,50.0,22.0,10.0,36.0,38.0,42.0,33.125778331257784
2021-03-23,48.0,13.0,27.0,51.0,20.0,29.0,20.0,27.0,48.0,36.0,39.726027397260275
2021-03-24,39.0,33.0,34.0,45.0,51.0,7.0,40.0,55.0,29.0,36.0,45.952677459526775
2021-03-25,58.0,53.0,53.0,45.0,71.0,65.0,40.0,27.0,39.0,43.0,61.51930261519303
2021-03-26,61.0,41.0,28.0,13.0,73.0,30.0,52.0,56.0,30.0,67.0,56.16438356164384
2021-03-27,23.0,23.0,48.0,30.0,36.0,68.0,0.0,43.0,23.0,25.0,39.726027397260275
2021-03-28,83.0,41.0,33.0,100.0,75.0,63.0,100.0,100.0,83.0,26.0,87.67123287671234
2021-03-29,30.0,40.0,20.0,45.0,62.0,30.0,51.0,46.0,29.0,51.0,50.31133250311333
2021-03-30,60.0,34.0,27.0,58.0,83.0,44.0,41.0,37.0,50.0,51.0,60.39850560398506
2021-03-31,39.0,39.0,47.0,38.0,41.0,51.0,51.0,54.0,59.0,43.0,57.534246575342465
2021-04-01,40.0,14.0,14.0,20.0,31.0,37.0,74.0,56.0,20.0,15.0,39.97509339975093
2021-04-02,42.0,14.0,22.0,34.0,75.0,23.0,33.0,29.0,63.0,31.0,45.579078455790786
2021-04-03,47.0,40.0,32.0,23.0,61.0,26.0,73.0,33.0,35.0,26.0,49.31506849315069
2021-04-04,100.0,43.0,43.0,89.0,77.0,83.0,77.0,91.0,100.0,100.0,100.0
2021-04-05,55.0,45.0,100.0,57.0,80.0,41.0,57.0,62.0,77.0,41.0,76.58779576587796
2021-04-06,27.0,25.0,25.0,42.0,47.0,27.0,38.0,42.0,27.0,33.0,41.46948941469489
2021-04-07,28.0,32.0,19.0,18.0,20.0,42.0,29.0,35.0,9.0,27.0,32.25404732254047
2021-04-08,47.0,51.0,59.0,25.0,39.0,43.0,68.0,71.0,76.0,21.0,62.266500622665006
2021-04-09,28.0,32.0,20.0,12.0,39.0,42.0,20.0,26.0,29.0,28.0,34.371108343711086
2021-04-10,55.0,37.0,69.0,43.0,92.0,25.0,23.0,31.0,33.0,32.0,54.794520547945204
2021-04-11,11.0,16.0,32.0,15.0,36.0,34.0,35.0,43.0,23.0,33.0,34.62017434620174
2021-04-12,20.0,20.0,21.0,13.0,31.0,7.0,20.0,18.0,30.0,15.0,24.283935242839352
2021-04-13,29.0,33.0,20.0,6.0,21.0,15.0,20.0,18.0,29.0,29.0,27.397260273972602
2021-04-14,40.0,34.0,35.0,20.0,74.0,75.0,74.0,47.0,30.0,44.0,58.9041095890411
2021-04-15,61.0,7.0,28.0,40.0,32.0,30.0,53.0,67.0,51.0,37.0,50.560398505603985
2021-04-16,73.0,43.0,44.0,27.0,54.0,32.0,33.0,49.0,32.0,31.0,52.054794520547944
2021-04-17,12.0,16.0,33.0,8.0,12.0,36.0,38.0,11.0,24.0,9.0,24.78206724782067
2021-04-18,12.0,16.0,17.0,24.0,50.0,45.0,38.0,44.0,49.0,18.0,38.978829389788295
2021-04-19,51.0,21.0,7.0,7.0,53.0,46.0,11.0,38.0,40.0,15.0,35.99003735990038
2021-04-20,10.0,21.0,14.0,27.0,21.0,8.0,64.0,29.0,41.0,23.0,32.12951432129515
2021-04-21,50.0,35.0,14.0,26.0,42.0,23.0,32.0,28.0,30.0,44.0,40.34869240348693
2021-04-22,52.0,14.0,36.0,34.0,43.0,39.0,33.0,38.0,42.0,15.0,43.08841843088418
2021-04-23,32.0,22.0,15.0,7.0,67.0,16.0,45.0,20.0,32.0,24.0,34.86924034869241
2021-04-24,0.0,42.0,9.0,0.0,13.0,28.0,13.0,35.0,12.0,18.0,21.1706102117061
2021-04-25,84.0,16.0,0.0,47.0,62.0,45.0,25.0,34.0,24.0,26.0,45.20547945205479
2021-04-26,66.0,26.0,40.0,25.0,100.0,36.0,81.0,63.0,19.0,42.0,62.01743462017435
2021-04-27,48.0,20.0,20.0,25.0,30.0,14.0,30.0,36.0,29.0,28.0,34.86924034869241
