date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty
2021-02-26,32.0,39.0,25.0,47.0,21.0,20.0,0.0,0.0,25.0,26.0,32.36914600550964
2021-02-27,0.0,42.0,0.0,50.0,23.0,0.0,28.0,0.0,27.0,54.0,30.85399449035813
2021-02-28,0.0,40.0,0.0,0.0,22.0,0.0,0.0,57.0,0.0,53.0,23.69146005509642
2021-03-01,0.0,0.0,25.0,23.0,20.0,20.0,0.0,0.0,0.0,0.0,12.121212121212123
2021-03-02,0.0,0.0,0.0,0.0,20.0,0.0,26.0,54.0,0.0,0.0,13.774104683195594
2021-03-03,31.0,57.0,75.0,24.0,20.0,61.0,52.0,27.0,50.0,25.0,58.126721763085406
2021-03-04,62.0,37.0,24.0,23.0,20.0,39.0,25.0,27.0,49.0,0.0,42.14876033057852
2021-03-05,32.0,37.0,0.0,47.0,0.0,41.0,52.0,27.0,0.0,51.0,39.53168044077135
2021-03-06,31.0,57.0,50.0,47.0,20.0,40.0,51.0,83.0,77.0,25.0,66.2534435261708
2021-03-07,64.0,0.0,25.0,23.0,0.0,0.0,0.0,27.0,0.0,0.0,19.146005509641874
2021-03-08,93.0,55.0,24.0,68.0,40.0,40.0,50.0,26.0,49.0,49.0,68.04407713498622
2021-03-09,31.0,37.0,48.0,23.0,100.0,20.0,25.0,53.0,0.0,73.0,56.473829201101935
2021-03-10,29.0,0.0,0.0,22.0,0.0,0.0,0.0,26.0,47.0,23.0,20.247933884297524
2021-03-11,31.0,0.0,24.0,45.0,40.0,20.0,0.0,26.0,25.0,24.0,32.36914600550964
2021-03-12,94.0,19.0,49.0,0.0,41.0,61.0,76.0,54.0,50.0,50.0,68.04407713498622
2021-03-13,30.0,18.0,24.0,44.0,19.0,19.0,25.0,52.0,24.0,48.0,41.735537190082646
2021-03-14,0.0,0.0,23.0,22.0,0.0,0.0,0.0,25.0,0.0,23.0,12.809917355371903
2021-03-15,73.0,0.0,38.0,72.0,47.0,16.0,59.0,42.0,39.0,38.0,58.40220385674932
2021-03-16,27.0,16.0,0.0,20.0,35.0,0.0,0.0,0.0,0.0,21.0,16.391184573002757
2021-03-17,0.0,18.0,24.0,0.0,20.0,0.0,0.0,26.0,24.0,0.0,15.426997245179065
2021-03-18,60.0,36.0,0.0,22.0,20.0,20.0,25.0,26.0,0.0,48.0,35.39944903581267
2021-03-19,31.0,19.0,49.0,46.0,40.0,40.0,26.0,80.0,50.0,0.0,52.47933884297521
2021-03-20,29.0,17.0,23.0,22.0,38.0,0.0,48.0,100.0,23.0,46.0,47.65840220385675
2021-03-21,61.0,36.0,49.0,46.0,20.0,39.0,25.0,26.0,24.0,72.0,54.82093663911846
2021-03-22,30.0,36.0,47.0,22.0,0.0,19.0,0.0,26.0,0.0,71.0,34.57300275482094
2021-03-23,31.0,73.0,24.0,68.0,20.0,40.0,0.0,26.0,98.0,49.0,59.09090909090909
2021-03-24,61.0,0.0,49.0,0.0,0.0,39.0,25.0,0.0,0.0,24.0,27.272727272727273
2021-03-25,62.0,19.0,24.0,92.0,0.0,40.0,25.0,0.0,0.0,49.0,42.837465564738295
2021-03-26,31.0,19.0,0.0,46.0,20.0,0.0,0.0,27.0,50.0,74.0,36.77685950413223
2021-03-27,31.0,38.0,49.0,0.0,20.0,40.0,26.0,28.0,50.0,50.0,45.73002754820938
2021-03-28,33.0,20.0,25.0,0.0,21.0,21.0,54.0,28.0,26.0,26.0,34.98622589531681
2021-03-29,31.0,19.0,49.0,23.0,0.0,100.0,25.0,27.0,100.0,73.0,61.5702479338843
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0,46.0,41.0,20.0,0.0,27.0,0.0,25.0,21.900826446280995
2021-04-01,31.0,37.0,24.0,23.0,20.0,20.0,0.0,27.0,25.0,25.0,31.955922865013775
2021-04-02,64.0,58.0,25.0,94.0,41.0,62.0,52.0,82.0,77.0,100.0,90.22038567493114
2021-04-03,96.0,0.0,51.0,47.0,81.0,0.0,52.0,27.0,51.0,50.0,62.67217630853995
2021-04-04,100.0,100.0,79.0,100.0,44.0,85.0,55.0,57.0,80.0,26.0,100.0
2021-04-05,30.0,18.0,24.0,22.0,0.0,39.0,49.0,0.0,24.0,0.0,28.374655647382923
2021-04-06,0.0,0.0,42.0,40.0,0.0,0.0,44.0,23.0,21.0,21.0,26.308539944903586
2021-04-07,28.0,17.0,22.0,21.0,0.0,0.0,46.0,24.0,0.0,0.0,21.763085399449036
2021-04-08,29.0,34.0,22.0,21.0,0.0,0.0,0.0,49.0,45.0,23.0,30.716253443526174
2021-04-09,0.0,0.0,46.0,22.0,19.0,0.0,72.0,75.0,47.0,70.0,48.347107438016536
2021-04-10,0.0,18.0,24.0,23.0,20.0,20.0,51.0,26.0,25.0,24.0,31.81818181818182
2021-04-11,66.0,39.0,77.0,0.0,21.0,63.0,27.0,85.0,0.0,0.0,52.06611570247934
2021-04-12,0.0,18.0,24.0,0.0,40.0,39.0,25.0,26.0,49.0,48.0,37.05234159779614
2021-04-13,95.0,19.0,25.0,23.0,41.0,20.0,26.0,54.0,25.0,25.0,48.62258953168044
