date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc
2020-12-15,28.0,47.0,26.0,45.0,30.0,33.0,46.0,34.0,57.0,27.0,37.33733733733733
2020-12-16,43.0,47.0,58.0,53.0,42.0,51.0,44.0,34.0,54.0,64.0,49.049049049049046
2020-12-17,35.0,31.0,47.0,50.0,25.0,21.0,36.0,47.0,70.0,37.0,39.93993993993994
2020-12-18,45.0,39.0,32.0,30.0,21.0,28.0,46.0,33.0,49.0,53.0,37.63763763763764
2020-12-19,31.0,37.0,71.0,42.0,35.0,55.0,47.0,41.0,71.0,60.0,49.049049049049046
2020-12-20,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0
2020-12-21,42.0,64.0,83.0,90.0,54.0,60.0,100.0,45.0,87.0,94.0,71.97197197197198
2020-12-22,35.0,69.0,31.0,47.0,28.0,45.0,48.0,20.0,59.0,46.0,42.84284284284284
2020-12-23,39.0,56.0,64.0,48.0,52.0,42.0,65.0,57.0,52.0,71.0,54.65465465465465
2020-12-24,34.0,28.0,27.0,21.0,29.0,36.0,30.0,27.0,36.0,32.0,30.03003003003003
2020-12-25,21.0,34.0,33.0,44.0,41.0,25.0,28.0,47.0,48.0,40.0,36.13613613613614
2020-12-26,23.0,53.0,39.0,32.0,31.0,54.0,41.0,42.0,39.0,56.0,41.04104104104104
2020-12-27,32.0,41.0,35.0,25.0,20.0,28.0,33.0,15.0,35.0,42.0,30.63063063063063
2020-12-28,32.0,38.0,54.0,46.0,22.0,38.0,48.0,38.0,46.0,46.0,40.84084084084083
2020-12-29,53.0,52.0,64.0,66.0,28.0,49.0,52.0,39.0,51.0,71.0,52.55255255255255
2020-12-30,33.0,50.0,36.0,64.0,27.0,39.0,35.0,36.0,41.0,58.0,41.94194194194194
2020-12-31,39.0,35.0,48.0,57.0,34.0,50.0,66.0,36.0,48.0,88.0,50.15015015015015
2021-01-01,28.0,54.0,43.0,39.0,43.0,46.0,49.0,46.0,52.0,28.0,42.84284284284284
2021-01-02,29.0,26.0,47.0,27.0,30.0,30.0,20.0,29.0,42.0,25.0,30.53053053053053
2021-01-03,44.0,44.0,42.0,42.0,22.0,41.0,61.0,28.0,59.0,35.0,41.84184184184184
2021-01-04,27.0,35.0,40.0,34.0,28.0,42.0,28.0,22.0,40.0,31.0,32.732732732732735
2021-01-05,51.0,47.0,45.0,38.0,34.0,43.0,43.0,31.0,60.0,85.0,47.747747747747745
2021-01-06,47.0,52.0,33.0,38.0,14.0,30.0,42.0,44.0,52.0,44.0,39.63963963963964
2021-01-07,41.0,40.0,63.0,38.0,31.0,49.0,50.0,36.0,56.0,62.0,46.646646646646644
2021-01-08,53.0,60.0,68.0,39.0,32.0,37.0,32.0,40.0,63.0,54.0,47.847847847847845
2021-01-09,31.0,29.0,45.0,27.0,14.0,33.0,32.0,13.0,33.0,15.0,27.227227227227225
2021-01-10,31.0,37.0,74.0,50.0,29.0,43.0,31.0,43.0,41.0,50.0,42.94294294294294
2021-01-11,33.0,13.0,25.0,27.0,35.0,22.0,10.0,11.0,18.0,43.0,23.723723723723722
2021-01-12,39.0,45.0,41.0,41.0,24.0,26.0,31.0,22.0,44.0,44.0,35.73573573573574
2021-01-13,22.0,56.0,71.0,51.0,22.0,59.0,67.0,42.0,74.0,84.0,54.85485485485485
2021-01-14,39.0,37.0,75.0,48.0,37.0,43.0,54.0,45.0,72.0,76.0,52.65265265265265
2021-01-15,35.0,69.0,86.0,58.0,33.0,41.0,55.0,32.0,43.0,56.0,50.85085085085085
2021-01-16,31.0,48.0,50.0,62.0,27.0,59.0,44.0,44.0,34.0,65.0,46.446446446446444
2021-01-17,39.0,50.0,61.0,49.0,26.0,50.0,58.0,31.0,61.0,72.0,49.749749749749746
2021-01-18,44.0,49.0,59.0,31.0,19.0,26.0,63.0,53.0,52.0,79.0,47.547547547547545
2021-01-19,30.0,41.0,69.0,47.0,45.0,67.0,69.0,52.0,73.0,60.0,55.35535535535535
2021-01-20,27.0,29.0,44.0,54.0,33.0,26.0,38.0,30.0,37.0,39.0,35.73573573573574
2021-01-21,34.0,23.0,33.0,38.0,29.0,43.0,43.0,25.0,22.0,49.0,33.93393393393393
2021-01-22,29.0,20.0,66.0,43.0,23.0,38.0,37.0,32.0,27.0,69.0,38.43843843843844
2021-01-23,27.0,40.0,41.0,45.0,26.0,29.0,47.0,15.0,49.0,63.0,38.23823823823824
2021-01-24,30.0,68.0,53.0,67.0,42.0,43.0,27.0,55.0,41.0,59.0,48.548548548548546
2021-01-25,55.0,65.0,48.0,51.0,48.0,55.0,63.0,64.0,55.0,79.0,58.35835835835835
2021-01-26,22.0,23.0,41.0,31.0,22.0,33.0,21.0,28.0,37.0,49.0,30.73073073073073
2021-01-27,22.0,36.0,52.0,28.0,22.0,43.0,46.0,39.0,22.0,53.0,36.33633633633633
2021-01-28,39.0,26.0,26.0,35.0,14.0,36.0,46.0,17.0,41.0,58.0,33.83383383383383
2021-01-29,17.0,27.0,42.0,35.0,20.0,44.0,33.0,23.0,23.0,50.0,31.43143143143143
2021-01-30,30.0,32.0,40.0,33.0,10.0,14.0,30.0,24.0,12.0,57.0,28.228228228228225
2021-01-31,36.0,57.0,69.0,53.0,35.0,44.0,39.0,43.0,61.0,77.0,51.45145145145145
2021-02-01,36.0,49.0,44.0,48.0,38.0,49.0,49.0,36.0,59.0,62.0,47.047047047047045
2021-02-02,44.0,36.0,37.0,41.0,36.0,43.0,31.0,36.0,51.0,39.0,39.43943943943944
2021-02-03,32.0,58.0,73.0,57.0,28.0,51.0,66.0,41.0,58.0,64.0,52.85285285285285
2021-02-04,31.0,41.0,46.0,35.0,35.0,44.0,55.0,37.0,34.0,49.0,40.74074074074074
2021-02-05,14.0,27.0,23.0,39.0,17.0,20.0,25.0,20.0,8.0,36.0,22.922922922922922
2021-02-06,24.0,32.0,36.0,30.0,13.0,25.0,23.0,30.0,16.0,33.0,26.226226226226224
2021-02-07,27.0,28.0,20.0,15.0,26.0,28.0,38.0,33.0,36.0,38.0,28.928928928928926
2021-02-08,44.0,41.0,47.0,60.0,33.0,52.0,45.0,44.0,58.0,39.0,46.346346346346344
2021-02-09,25.0,26.0,41.0,41.0,36.0,43.0,21.0,39.0,19.0,62.0,35.33533533533533
2021-02-10,44.0,49.0,55.0,48.0,17.0,45.0,39.0,30.0,48.0,44.0,41.94194194194194
2021-02-11,36.0,27.0,37.0,28.0,27.0,30.0,39.0,45.0,75.0,35.0,37.93793793793794
2021-02-12,26.0,24.0,47.0,29.0,20.0,20.0,33.0,17.0,43.0,23.0,28.228228228228225
2021-02-13,16.0,27.0,30.0,32.0,14.0,27.0,29.0,29.0,43.0,31.0,27.827827827827825
2021-02-14,32.0,46.0,17.0,36.0,11.0,34.0,36.0,38.0,26.0,30.0,30.63063063063063
2021-02-15,8.0,39.0,22.0,24.0,17.0,16.0,28.0,19.0,19.0,44.0,23.623623623623622
2021-02-16,17.0,17.0,30.0,39.0,20.0,20.0,22.0,23.0,19.0,46.0,25.325325325325323
2021-02-17,40.0,30.0,38.0,35.0,22.0,61.0,44.0,29.0,54.0,64.0,41.74174174174174
2021-02-18,14.0,26.0,26.0,31.0,10.0,20.0,29.0,28.0,22.0,36.0,24.224224224224223
2021-02-19,18.0,32.0,32.0,29.0,18.0,25.0,26.0,24.0,28.0,28.0,26.026026026026024
2021-02-20,24.0,40.0,45.0,29.0,26.0,32.0,61.0,17.0,28.0,70.0,37.23723723723724
2021-02-21,24.0,12.0,36.0,29.0,15.0,48.0,39.0,24.0,45.0,27.0,29.92992992992993
2021-02-22,24.0,32.0,18.0,26.0,7.0,19.0,34.0,24.0,36.0,30.0,25.025025025025023
2021-02-23,29.0,37.0,34.0,29.0,25.0,38.0,44.0,35.0,51.0,41.0,36.33633633633633
2021-02-24,18.0,21.0,39.0,25.0,15.0,42.0,34.0,35.0,39.0,66.0,33.43343343343343
2021-02-25,17.0,41.0,35.0,32.0,23.0,38.0,41.0,20.0,31.0,37.0,31.53153153153153
2021-02-26,35.0,41.0,43.0,36.0,20.0,28.0,41.0,35.0,39.0,37.0,35.53553553553553
2021-02-27,32.0,34.0,56.0,40.0,45.0,42.0,58.0,48.0,39.0,66.0,46.046046046046044
2021-02-28,19.0,48.0,38.0,27.0,22.0,22.0,32.0,13.0,46.0,30.0,29.729729729729726
2021-03-01,20.0,36.0,49.0,38.0,34.0,43.0,39.0,45.0,52.0,58.0,41.44144144144144
2021-03-02,38.0,24.0,67.0,32.0,38.0,27.0,37.0,35.0,47.0,65.0,41.04104104104104
2021-03-03,32.0,37.0,43.0,46.0,15.0,51.0,48.0,35.0,46.0,65.0,41.84184184184184
2021-03-04,36.0,32.0,48.0,54.0,24.0,36.0,52.0,36.0,37.0,70.0,42.54254254254254
2021-03-05,29.0,38.0,43.0,29.0,20.0,38.0,41.0,24.0,43.0,56.0,36.13613613613614
2021-03-06,36.0,23.0,31.0,16.0,25.0,30.0,41.0,26.0,9.0,31.0,26.826826826826824
