date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-11-04,67.0,94.0,63.0,62.0,56.0,64.0,43.0,66.0,43.0,19.0,54.0,57.0,63.0,54.0,33.0,60.0,74.0,81.70731707317074,62.0,44.0,70.66866816283459
2020-11-05,57.0,93.0,52.0,71.0,93.0,100.0,94.0,59.0,91.0,74.0,100.0,100.0,82.0,81.0,61.0,100.0,100.0,78.04878048780488,88.0,67.0,100.0
2020-11-06,69.0,66.0,88.0,61.0,65.0,68.0,40.0,85.0,47.0,36.0,58.0,54.0,68.0,85.0,23.0,58.0,30.0,67.07317073170732,73.0,64.0,73.43311088982358
2020-11-07,69.0,76.0,53.0,66.0,52.0,41.0,100.0,63.0,51.0,52.0,47.0,62.0,48.0,70.0,46.0,45.0,15.0,91.46341463414636,42.0,74.0,70.89755213055305
2020-11-08,67.0,96.0,57.0,51.0,78.0,44.0,53.0,77.0,60.0,65.0,49.0,77.0,96.0,61.0,72.0,50.0,41.0,41.46341463414634,90.0,55.0,78.02713909902948
2020-11-09,32.0,41.0,75.0,48.0,61.0,32.0,46.0,54.0,37.0,58.0,68.0,57.0,32.0,39.0,58.0,41.0,40.0,41.46341463414634,68.0,57.0,60.05083007594786
2020-11-10,83.0,52.0,69.0,36.0,42.0,41.0,46.0,48.0,41.0,36.0,37.0,43.0,49.0,58.0,68.0,29.0,35.0,32.92682926829269,43.0,50.0,57.2150468914882
2020-11-11,50.0,72.0,88.0,48.0,90.0,42.0,52.0,80.0,31.0,62.0,52.0,49.0,54.0,57.0,34.0,97.0,49.0,100.0,48.0,51.0,73.48958875198788
2020-11-12,82.0,41.0,69.0,49.0,54.0,36.0,52.0,96.0,10.0,41.0,69.0,62.0,43.0,20.0,35.0,53.0,15.0,68.29268292682927,61.0,34.0,60.34510946301444
2020-11-13,33.0,49.0,42.0,49.0,60.0,32.0,29.0,74.0,37.0,47.0,26.0,58.0,18.0,66.0,58.0,24.0,15.0,54.878048780487795,31.0,35.0,51.05747365604982
2020-11-14,67.0,62.0,28.0,58.0,33.0,49.0,48.0,81.0,43.0,61.0,33.0,51.0,45.0,62.0,54.0,30.0,26.0,69.51219512195122,52.0,30.0,59.87099267274053
2020-11-15,72.0,45.0,42.0,25.0,33.0,26.0,35.0,50.0,21.0,32.0,32.0,25.0,31.0,27.0,42.0,18.0,25.0,41.46341463414634,25.0,30.0,41.28234472303554
2020-11-16,26.0,30.0,56.0,43.0,44.0,42.0,52.0,41.0,16.0,26.0,43.0,42.0,50.0,13.0,40.0,30.0,20.0,41.46341463414634,25.0,18.0,42.56201417891592
