date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-03-28,32.0,43.0,35.0,12.0,29.0,25.0,47.0,41.0,10.0,41.0,32.340862422997944
2020-03-29,19.0,44.0,35.0,62.0,15.0,51.0,59.0,55.0,20.0,27.0,39.73305954825462
2020-03-30,17.0,28.0,20.0,10.0,13.0,43.0,0.0,23.0,0.0,23.0,18.17248459958932
2020-03-31,22.0,27.0,29.0,41.0,24.0,10.0,29.0,34.0,41.0,11.0,27.515400410677618
2020-04-01,11.0,19.0,30.0,10.0,19.0,33.0,20.0,35.0,25.0,35.0,24.33264887063655
2020-04-02,11.0,0.0,20.0,21.0,13.0,33.0,52.0,24.0,26.0,48.0,25.46201232032854
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,27.0,33.0,24.0,75.0,15.0,52.0,36.0,42.0,30.0,42.0,38.60369609856263
2020-04-05,0.0,11.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,3.6960985626283365
2020-04-06,11.0,9.0,29.0,21.0,19.0,32.0,10.0,0.0,8.0,11.0,15.40041067761807
2020-04-07,11.0,0.0,20.0,21.0,0.0,11.0,0.0,12.0,17.0,12.0,10.677618069815194
2020-04-08,23.0,19.0,31.0,11.0,19.0,0.0,31.0,36.0,35.0,36.0,24.743326488706366
2020-04-09,0.0,29.0,20.0,32.0,20.0,22.0,31.0,24.0,17.0,12.0,21.252566735112936
2020-04-10,12.0,10.0,0.0,22.0,20.0,11.0,21.0,12.0,9.0,25.0,14.579055441478438
2020-04-11,26.0,11.0,11.0,24.0,15.0,12.0,0.0,14.0,20.0,13.0,14.989733059548254
2020-04-12,26.0,33.0,47.0,62.0,38.0,39.0,36.0,28.0,10.0,56.0,38.50102669404517
2020-04-13,6.0,10.0,21.0,0.0,0.0,23.0,22.0,38.0,9.0,25.0,15.811088295687885
2020-04-14,18.0,58.0,62.0,54.0,7.0,23.0,32.0,49.0,18.0,37.0,36.755646817248454
2020-04-15,18.0,10.0,21.0,55.0,0.0,11.0,21.0,25.0,18.0,37.0,22.17659137577002
2020-04-16,24.0,49.0,31.0,33.0,33.0,34.0,0.0,25.0,45.0,25.0,30.698151950718685
2020-04-17,12.0,20.0,21.0,22.0,7.0,11.0,21.0,25.0,27.0,12.0,18.275154004106774
2020-04-18,6.0,0.0,11.0,24.0,14.0,25.0,0.0,0.0,20.0,13.0,11.601642710472278
2020-04-19,6.0,20.0,0.0,22.0,20.0,0.0,0.0,13.0,9.0,12.0,10.472279260780285
2020-04-20,0.0,9.0,0.0,20.0,6.0,0.0,10.0,0.0,17.0,0.0,6.365503080082135
2020-04-21,0.0,9.0,30.0,10.0,0.0,0.0,30.0,23.0,8.0,34.0,14.784394250513346
2020-04-22,11.0,28.0,10.0,21.0,13.0,22.0,31.0,24.0,17.0,59.0,24.229979466119094
2020-04-23,6.0,19.0,21.0,11.0,0.0,0.0,0.0,25.0,9.0,12.0,10.574948665297741
2020-04-24,6.0,0.0,11.0,11.0,7.0,23.0,11.0,13.0,18.0,25.0,12.833675564681725
2020-04-25,0.0,11.0,12.0,12.0,0.0,25.0,0.0,41.0,10.0,27.0,14.168377823408623
2020-04-26,0.0,11.0,0.0,24.0,0.0,0.0,0.0,13.0,20.0,13.0,8.316221765913758
2020-04-27,6.0,18.0,10.0,21.0,0.0,21.0,10.0,23.0,25.0,0.0,13.757700205338809
2020-04-28,10.0,0.0,18.0,10.0,6.0,20.0,19.0,22.0,8.0,11.0,12.73100616016427
2020-04-29,27.0,18.0,20.0,21.0,25.0,21.0,20.0,23.0,25.0,57.0,26.386036960985624
2020-04-30,21.0,52.0,28.0,39.0,41.0,60.0,75.0,33.0,56.0,54.0,47.12525667351129
2020-05-01,11.0,0.0,10.0,21.0,6.0,0.0,10.0,12.0,9.0,0.0,8.11088295687885
2020-05-02,6.0,10.0,22.0,23.0,14.0,23.0,11.0,0.0,18.0,0.0,13.03901437371663
2020-05-03,12.0,31.0,11.0,23.0,7.0,24.0,34.0,26.0,47.0,13.0,23.408624229979466
2020-05-04,16.0,0.0,0.0,0.0,0.0,21.0,10.0,12.0,8.0,23.0,9.240246406570842
2020-05-05,15.0,16.0,26.0,37.0,6.0,19.0,9.0,21.0,8.0,41.0,20.32854209445585
2020-05-06,16.0,45.0,10.0,40.0,24.0,10.0,19.0,45.0,24.0,46.0,28.644763860369608
2020-05-07,6.0,18.0,39.0,42.0,6.0,31.0,10.0,12.0,8.0,12.0,18.891170431211496
2020-05-08,12.0,20.0,21.0,23.0,34.0,34.0,22.0,13.0,37.0,51.0,27.41273100616016
2020-05-09,18.0,20.0,0.0,34.0,14.0,12.0,11.0,38.0,19.0,13.0,18.377823408624227
2020-05-10,6.0,28.0,30.0,32.0,6.0,22.0,31.0,12.0,26.0,36.0,23.51129363449692
2020-05-11,0.0,9.0,19.0,10.0,0.0,10.0,0.0,11.0,8.0,23.0,9.240246406570842
2020-05-12,6.0,10.0,31.0,0.0,7.0,11.0,11.0,13.0,18.0,0.0,10.985626283367555
2020-05-13,0.0,9.0,20.0,11.0,0.0,11.0,0.0,0.0,0.0,12.0,6.468172484599589
2020-05-14,29.0,29.0,31.0,22.0,6.0,11.0,21.0,12.0,44.0,36.0,24.743326488706366
2020-05-15,12.0,10.0,21.0,23.0,20.0,11.0,21.0,0.0,18.0,25.0,16.529774127310063
2020-05-16,7.0,22.0,12.0,37.0,7.0,25.0,48.0,14.0,30.0,14.0,22.17659137577002
