date,/m/0fd23_0,/m/0fd23_1,/m/0fd23_2,/m/0fd23_3,/m/0fd23_4,/m/0fd23_5,/m/0fd23_6,/m/0fd23_7,/m/0fd23_8,/m/0fd23_9,/m/0fd23
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,16.0,8.321167883211679
2020-02-02,24.0,20.0,15.0,37.0,19.0,0.0,0.0,33.0,0.0,0.0,21.605839416058394
2020-02-03,22.0,0.0,0.0,33.0,17.0,15.0,18.0,0.0,14.0,0.0,17.37226277372263
2020-02-04,0.0,21.0,0.0,19.0,38.0,34.0,20.0,17.0,32.0,16.0,28.759124087591243
2020-02-05,49.0,21.0,15.0,19.0,19.0,0.0,0.0,33.0,31.0,31.0,31.824817518248175
2020-02-06,26.0,22.0,16.0,0.0,20.0,0.0,0.0,18.0,17.0,17.0,19.854014598540147
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,17.0,5.109489051094891
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,46.0,40.0,0.0,18.0,18.0,0.0,38.0,0.0,15.0,0.0,25.547445255474454
2020-02-10,0.0,20.0,0.0,18.0,0.0,16.0,0.0,0.0,15.0,15.0,12.262773722627736
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,18.0,0.0,16.0,0.0,16.0,0.0,15.0,9.489051094890511
2020-02-13,100.0,42.0,31.0,56.0,38.0,34.0,20.0,51.0,16.0,15.0,58.83211678832116
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,27.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,7.153284671532847
2020-02-16,0.0,0.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,4.817518248175182
2020-02-17,0.0,22.0,17.0,0.0,0.0,0.0,21.0,17.0,16.0,0.0,13.576642335766426
2020-02-18,75.0,42.0,30.0,0.0,19.0,17.0,0.0,49.0,30.0,30.0,42.627737226277375
2020-02-19,25.0,21.0,16.0,0.0,100.0,34.0,84.0,34.0,32.0,0.0,50.51094890510949
2020-02-20,26.0,44.0,32.0,20.0,20.0,53.0,87.0,53.0,49.0,65.0,65.54744525547446
2020-02-21,27.0,0.0,0.0,20.0,21.0,18.0,22.0,18.0,17.0,0.0,20.875912408759124
2020-02-22,0.0,23.0,17.0,21.0,0.0,19.0,22.0,0.0,33.0,17.0,22.18978102189781
