date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-11-04,27.0,34.14634146341464,48.0,36.0,9.0,17.0,29.0,70.0,18.0,55.0,38.0,43.0,59.0,54.0,37.0,15.0,60.0,19.0,46.0,60.0,55.77815267819485
2020-11-05,47.0,26.82926829268293,40.0,25.0,37.0,44.0,59.0,52.0,38.0,17.0,30.0,53.0,41.0,24.0,29.0,53.0,9.0,20.0,39.0,70.0,54.31428370589061
2020-11-06,60.0,56.09756097560975,32.0,33.0,29.0,46.0,42.0,32.0,50.0,60.0,84.0,65.0,43.0,33.0,50.0,24.0,94.0,63.0,41.0,49.0,71.04948685505411
2020-11-07,41.0,56.09756097560975,21.0,46.0,67.0,9.0,52.0,33.0,69.0,26.0,53.0,19.0,22.0,25.0,50.0,48.0,37.0,31.0,10.0,49.0,55.05412624771545
2020-11-08,61.0,48.78048780487804,32.0,41.0,39.0,56.0,53.0,33.0,51.0,62.0,64.0,28.0,33.0,34.0,61.0,56.0,19.0,63.0,42.0,25.0,64.97434275270629
2020-11-09,20.0,48.78048780487804,32.0,27.0,49.0,37.0,64.0,34.0,50.0,26.0,54.0,9.0,55.0,26.0,41.0,32.0,48.0,63.0,31.0,59.0,58.057430057640936
2020-11-10,52.0,29.268292682926827,55.0,27.0,100.0,67.0,75.0,45.0,52.0,63.0,55.0,58.0,66.0,86.0,41.0,57.0,48.0,64.0,42.0,42.0,81.00485027414591
2020-11-11,40.0,18.29268292682927,64.0,20.0,48.0,37.0,42.0,11.0,40.0,43.0,31.0,37.0,11.0,25.0,50.0,32.0,18.0,52.0,41.0,49.0,51.10537044847461
2020-11-12,92.0,76.82926829268294,22.0,34.0,40.0,67.0,65.0,56.0,41.0,79.0,54.0,48.0,100.0,76.0,72.0,40.0,76.0,85.0,21.0,25.0,84.28757205117388
2020-11-13,62.0,29.268292682926827,55.0,20.0,10.0,39.0,44.0,57.0,72.0,18.0,33.0,10.0,67.0,34.0,21.0,57.0,0.0,43.0,21.0,43.0,52.976943624349786
2020-11-14,96.0,90.24390243902441,11.0,49.0,81.0,77.0,67.0,91.0,42.0,100.0,100.0,99.0,57.0,53.0,85.0,17.0,79.0,77.0,65.0,35.0,98.79973288345282
2020-11-15,0.0,30.48780487804878,79.0,28.0,20.0,10.0,22.0,57.0,52.0,9.0,56.0,69.0,57.0,36.0,11.0,34.0,70.0,44.0,54.0,43.0,56.30711373541403
2020-11-16,11.0,29.268292682926827,33.0,14.0,20.0,10.0,0.0,45.0,10.0,18.0,33.0,29.0,22.0,0.0,21.0,8.0,29.0,21.0,32.0,8.0,28.335442148179393
2020-11-17,85.0,59.75609756097561,44.0,14.0,50.0,29.0,88.0,91.0,52.0,18.0,98.0,77.0,57.0,35.0,64.0,33.0,78.0,65.0,95.0,43.0,84.71460705750034
2020-11-18,61.0,48.78048780487804,43.0,34.0,39.0,28.0,43.0,11.0,40.0,35.0,22.0,38.0,22.0,17.0,51.0,33.0,29.0,11.0,53.0,0.0,47.46590749332208
2020-11-19,31.0,9.75609756097561,43.0,20.0,20.0,47.0,54.0,22.0,20.0,35.0,32.0,67.0,11.0,26.0,31.0,33.0,19.0,42.0,10.0,34.0,43.71748910445662
2020-11-20,42.0,0.0,44.0,14.0,20.0,19.0,22.0,45.0,83.0,27.0,11.0,19.0,11.0,0.0,31.0,33.0,49.0,22.0,43.0,26.0,40.420708561788274
2020-11-21,21.0,9.75609756097561,56.0,14.0,20.0,39.0,22.0,23.0,21.0,37.0,11.0,20.0,34.0,18.0,32.0,26.0,20.0,44.0,33.0,18.0,37.3769858006467
2020-11-22,54.0,30.48780487804878,68.0,21.0,72.0,59.0,56.0,47.0,53.0,28.0,11.0,40.0,46.0,18.0,65.0,25.0,49.0,11.0,55.0,26.0,60.125825952481364
2020-11-23,53.0,39.02439024390244,33.0,21.0,20.0,29.0,66.0,23.0,42.0,27.0,44.0,10.0,34.0,18.0,21.0,41.0,29.0,11.0,42.0,34.0,45.89835512442007
2020-11-24,31.0,39.02439024390244,64.0,13.0,10.0,47.0,32.0,11.0,31.0,43.0,11.0,28.0,0.0,25.0,52.0,56.0,28.0,0.0,10.0,50.0,41.86348938563194
2020-11-25,30.0,37.804878048780495,10.0,7.0,29.0,55.0,42.0,32.0,10.0,26.0,21.0,19.0,11.0,17.0,20.0,8.0,19.0,10.0,20.0,16.0,31.688457753409253
2020-11-26,21.0,69.51219512195122,33.0,42.0,20.0,28.0,66.0,80.0,31.0,46.0,66.0,49.0,34.0,26.0,73.0,41.0,39.0,43.0,53.0,34.0,64.45065373260228
2020-11-27,10.0,29.268292682926827,65.0,7.0,20.0,9.0,32.0,22.0,51.0,9.0,11.0,10.0,22.0,26.0,0.0,41.0,19.0,11.0,31.0,50.0,34.243638408547724
2020-11-28,42.0,48.78048780487804,22.0,27.0,40.0,39.0,54.0,34.0,21.0,36.0,44.0,19.0,33.0,17.0,21.0,16.0,48.0,43.0,11.0,9.0,45.016167580486425
2020-11-29,41.0,39.02439024390244,43.0,27.0,49.0,28.0,64.0,66.0,40.0,26.0,64.0,29.0,22.0,51.0,62.0,32.0,37.0,32.0,52.0,25.0,59.73218051455081
2020-11-30,60.0,65.85365853658537,31.0,39.0,86.0,46.0,42.0,55.0,39.0,17.0,41.0,38.0,54.0,8.0,50.0,16.0,0.0,62.0,51.0,41.0,60.6565443554056
2020-12-01,31.0,86.58536585365853,32.0,33.0,39.0,19.0,64.0,33.0,30.0,53.0,53.0,38.0,77.0,17.0,20.0,40.0,29.0,64.0,10.0,42.0,58.40362716153521
2020-12-02,61.0,19.51219512195122,21.0,34.0,29.0,9.0,42.0,66.0,0.0,17.0,32.0,37.0,43.0,17.0,31.0,32.0,28.0,31.0,41.0,0.0,42.547096864895245
2020-12-03,42.0,30.48780487804878,33.0,35.0,40.0,29.0,22.0,23.0,10.0,18.0,0.0,49.0,23.0,35.0,21.0,33.0,49.0,43.0,21.0,26.0,41.968930127934755
2020-12-04,51.0,37.804878048780495,53.0,27.0,48.0,28.0,31.0,11.0,10.0,17.0,63.0,55.0,43.0,25.0,40.0,24.0,37.0,41.0,41.0,41.0,52.15099114297764
2020-12-05,11.0,0.0,11.0,14.0,10.0,0.0,0.0,0.0,21.0,19.0,11.0,30.0,23.0,18.0,11.0,17.0,10.0,11.0,33.0,26.0,19.88612399831295
2020-12-06,64.0,50.0,45.0,21.0,20.0,59.0,33.0,34.0,63.0,18.0,55.0,49.0,45.0,53.0,43.0,42.0,20.0,33.0,54.0,52.0,61.45965134261211
2020-12-07,21.0,40.24390243902439,11.0,14.0,30.0,19.0,22.0,45.0,21.0,36.0,11.0,0.0,34.0,9.0,21.0,8.0,39.0,32.0,32.0,9.0,32.72880641079713
2020-12-08,42.0,58.536585365853654,55.0,21.0,30.0,57.0,76.0,23.0,31.0,35.0,54.0,38.0,56.0,43.0,52.0,41.0,19.0,53.0,42.0,43.0,62.65113173063405
2020-12-09,52.0,29.268292682926827,22.0,14.0,0.0,19.0,65.0,67.0,52.0,54.0,44.0,39.0,45.0,35.0,21.0,49.0,29.0,21.0,74.0,34.0,55.138478841557706
2020-12-10,32.0,40.24390243902439,23.0,21.0,31.0,59.0,56.0,23.0,54.0,37.0,34.0,40.0,23.0,18.0,64.0,17.0,10.0,45.0,22.0,44.0,49.949036974553636
2020-12-11,21.0,41.46341463414634,46.0,28.0,31.0,40.0,22.0,35.0,11.0,28.0,23.0,40.0,46.0,27.0,22.0,0.0,10.0,55.0,33.0,18.0,41.60691691269506
2020-12-12,54.0,20.73170731707317,23.0,29.0,31.0,29.0,45.0,58.0,22.0,55.0,22.0,30.0,46.0,18.0,32.0,17.0,30.0,66.0,54.0,0.0,49.119569801771405
2020-12-13,22.0,20.73170731707317,35.0,22.0,32.0,20.0,35.0,48.0,67.0,10.0,35.0,10.0,12.0,28.0,44.0,62.0,21.0,23.0,57.0,37.0,46.16547167158723
2020-12-14,84.0,69.51219512195122,45.0,14.0,80.0,88.0,76.0,79.0,52.0,72.0,66.0,29.0,78.0,79.0,10.0,42.0,78.0,87.0,43.0,35.0,86.93061999156473
2020-12-15,43.0,30.48780487804878,23.0,21.0,20.0,20.0,34.0,47.0,11.0,18.0,33.0,20.0,12.0,9.0,43.0,9.0,40.0,22.0,22.0,0.0,34.40355686770702
2020-12-16,66.0,41.46341463414634,35.0,36.0,31.0,51.0,45.0,72.0,22.0,75.0,46.0,30.0,35.0,36.0,54.0,17.0,71.0,33.0,100.0,18.0,65.88816251933079
2020-12-17,0.0,41.46341463414634,35.0,22.0,43.0,31.0,35.0,36.0,33.0,38.0,47.0,31.0,24.0,19.0,45.0,35.0,31.0,35.0,45.0,18.0,46.43434556445944
2020-12-18,47.0,0.0,38.0,39.0,34.0,54.0,62.0,25.0,47.0,41.0,37.0,22.0,63.0,39.0,47.0,28.0,33.0,73.0,12.0,10.0,54.11043160410514
2020-12-19,24.0,46.34146341463415,50.0,40.0,46.0,22.0,38.0,13.0,94.0,21.0,64.0,45.0,26.0,20.0,48.0,56.0,11.0,50.0,49.0,59.0,59.2506677913679
2020-12-20,46.0,32.92682926829269,97.0,38.0,22.0,63.0,48.0,37.0,23.0,10.0,36.0,64.0,87.0,38.0,23.0,27.0,42.0,35.0,23.0,66.0,61.81463517503161
2020-12-21,11.0,42.68292682926829,35.0,38.0,43.0,21.0,24.0,61.0,55.0,30.0,71.0,62.0,48.0,47.0,45.0,27.0,21.0,35.0,58.0,55.0,59.77962884858707
2020-12-22,12.0,21.951219512195124,12.0,8.0,11.0,22.0,37.0,26.0,46.0,30.0,25.0,33.0,25.0,29.0,23.0,9.0,11.0,12.0,35.0,47.0,34.22079291438211
